"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","value","rec_all_val","rec_all_date","value_record","MONTH","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,5.7375,4.41327138138074,11.8,3.7,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-02",2001-04-02,6.6375,4.5068004171474,12.7,1.6,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-03",2001-04-03,6.35,4.31806835120917,12.9,2.4,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-04",2001-04-04,6.225,3.7170456778776,13,3.4,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-05",2001-04-05,6.6875,4.17113807696926,13.7,4.2,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-06",2001-04-06,6.2875,3.3112093172823,10.3,5,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-07",2001-04-07,6.4875,3.18543000012781,10.8,6.1,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-08",2001-04-08,6.75,3.91517195389569,11,7,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-09",2001-04-09,7.2625,3.56448253106755,11.9,7.9,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-10",2001-04-10,7.4,3.69052841744919,12.9,9,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-11",2001-04-11,7.775,4.16679047435107,14.3,9.5,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-12",2001-04-12,7.3875,5.48437716218924,16,8.6,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-13",2001-04-13,7.575,6.13299041484425,17.6,8.6,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-14",2001-04-14,8.5375,6.22413218276825,18.7,5.3,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-15",2001-04-15,9.6625,6.12767434326783,19.9,4.3,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-16",2001-04-16,9.74444444444444,6.63609657688748,21.6,4.8,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-17",2001-04-17,10.8444444444444,6.75446354478117,23,6.1,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-18",2001-04-18,11.3222222222222,7.4702372415101,23.9,7.4,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-19",2001-04-19,12.1666666666667,8.12065268312837,25.1,NA,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-20",2001-04-20,12.8333333333333,8.753999086132,26,NA,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-21",2001-04-21,13.9666666666667,8.76498716485084,27.2,NA,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-22",2001-04-22,12.6777777777778,7.96708506572162,27.4,NA,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-23",2001-04-23,12.5111111111111,8.79110977699125,28.7,NA,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-24",2001-04-24,11.9555555555556,7.32344029659407,21.4,NA,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-25",2001-04-25,11.81,7.33218930470293,21.5,NA,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-26",2001-04-26,12.48,8.10388110036721,22.8,NA,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-27",2001-04-27,13.02,8.19034662134502,24.3,NA,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-28",2001-04-28,13.84,8.37472387604511,25.3,NA,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-29",2001-04-29,14.24,8.51341425176892,26.8,NA,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","04-30",2001-04-30,14.67,9.23195537250912,28.2,NA,207.6,2022-10-20,NA,4,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","05-01",2001-05-01,15.3,9.17812617041191,30.2,NA,207.6,2022-10-20,NA,5,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","05-02",2001-05-02,15.6636363636364,9.66812005792985,32.5,NA,207.6,2022-10-20,NA,5,"1017101","SATURNA+ISLAND+CS",1988,2026
"BUI","05-03",2001-05-03,16.1090909090909,11.0429574431358,35,NA,207.6,2022-10-20,NA,5,"1017101","SATURNA+ISLAND+CS",1988,2026
