"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","value","rec_all_val","rec_all_date","value_record","MONTH","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-02",2001-04-02,NA,NA,NA,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-03",2001-04-03,NA,NA,NA,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-04",2001-04-04,NA,NA,NA,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-05",2001-04-05,NA,NA,NA,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-08",2001-04-08,NA,NA,NA,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-09",2001-04-09,15.3,NA,15.3,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-10",2001-04-10,16.2,NA,16.2,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-11",2001-04-11,16.8,NA,16.8,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-12",2001-04-12,17.8,NA,17.8,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-13",2001-04-13,19.4,NA,19.4,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-14",2001-04-14,19.9,NA,19.9,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-15",2001-04-15,20.1,NA,20.1,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-16",2001-04-16,15.4,NA,15.4,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-17",2001-04-17,17.3,NA,17.3,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-18",2001-04-18,20.75,1.90918830920368,22.1,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-19",2001-04-19,17.3,7.4222638056054,23.3,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-20",2001-04-20,17.9333333333333,6.70248710057195,24.1,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-21",2001-04-21,18.85,8.41457069611992,24.8,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-22",2001-04-22,22,5.40647759636531,26.2,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-23",2001-04-23,23.875,4.61979436771811,27.9,12.6,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-24",2001-04-24,25.85,4.69787185861854,30.3,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-25",2001-04-25,24.32,8.59400954153531,32.6,13,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-26",2001-04-26,25.4166666666667,8.18447717735633,35,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-27",2001-04-27,24.1857142857143,10.5931469311419,36.2,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-28",2001-04-28,26.4571428571429,10.8441777224551,39.2,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-29",2001-04-29,29.1,11.7213480453402,44.1,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","04-30",2001-04-30,30.5166666666667,13.8950950578493,47.4,NA,141.8,2012-10-03,NA,4,"5013117","WASAGAMING",1994,2026
"BUI","05-01",2001-05-01,21.0090909090909,16.5785074446076,47.7,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-02",2001-05-02,21.9090909090909,18.2454626987344,50.5,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-03",2001-05-03,25.47,18.4975103429864,54,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-04",2001-05-04,24.38,16.5935596609715,55.4,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-05",2001-05-05,25.22,18.4331103060649,58.1,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-06",2001-05-06,23.1727272727273,16.1198071272017,46.9,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-07",2001-05-07,21.3363636363636,15.0900147599181,44.9,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-08",2001-05-08,19.2,16.3604289785946,47.3,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-09",2001-05-09,20.5333333333333,17.3782692585954,50.3,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-10",2001-05-10,19.95,16.9469493098047,50.9,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-11",2001-05-11,18.5583333333333,17.4205447328113,52.4,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-12",2001-05-12,19.2384615384615,17.3228432260959,55.1,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-13",2001-05-13,21.4,15.7977846548179,58,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-14",2001-05-14,23.4846153846154,15.9218322937325,60.6,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-15",2001-05-15,24,17.6947732395756,64.4,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-16",2001-05-16,25.6571428571429,17.2738893346939,65.5,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-17",2001-05-17,26.7642857142857,17.3401538074474,66.3,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-18",2001-05-18,27.8785714285714,17.846058757799,68,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-19",2001-05-19,28.3857142857143,18.1749979216106,70.7,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-20",2001-05-20,29.8142857142857,20.0943106047786,74.1,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-21",2001-05-21,31.95,20.9578973548985,77.6,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-22",2001-05-22,32.8571428571429,22.839598349079,82.3,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-23",2001-05-23,31.0857142857143,24.9993186720345,86.6,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-24",2001-05-24,32.0714285714286,26.1557885510125,87.2,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
"BUI","05-25",2001-05-25,34.6,27.1599582719365,90,NA,141.8,2012-10-03,NA,5,"5013117","WASAGAMING",1994,2026
