"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","value","rec_all_val","rec_all_date","value_record","MONTH","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,18.2,NA,18.2,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-02",2001-04-02,20.9,NA,20.9,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-03",2001-04-03,24.3,NA,24.3,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-04",2001-04-04,25.5,NA,25.5,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-05",2001-04-05,26.9,NA,26.9,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-06",2001-04-06,28.5,NA,28.5,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-07",2001-04-07,19.55,17.0412734265958,31.6,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-08",2001-04-08,22.1,17.819090885901,34.7,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-09",2001-04-09,24.45,18.7383297014435,37.7,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-10",2001-04-10,24,22.2031529292576,39.7,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-11",2001-04-11,21.4333333333333,18.5368102254226,42.7,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-12",2001-04-12,19.35,16.1281327706175,43.4,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-13",2001-04-13,18.625,17.5273833376995,44.5,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-14",2001-04-14,19.225,15.5160937953683,42.1,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-15",2001-04-15,21.15,15.6887433106246,44.1,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-16",2001-04-16,23.15,16.2278567079369,46.6,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-17",2001-04-17,23.46,15.3066325493232,49.6,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-18",2001-04-18,24.0833333333333,14.9753686654675,53.3,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-19",2001-04-19,24.9833333333333,16.0162937868493,57.3,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-20",2001-04-20,26.6142857142857,15.6856015261798,61.1,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-21",2001-04-21,25.325,17.5226180366161,64.6,9.3,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-22",2001-04-22,25.2111111111111,18.3392641921946,67.4,10.7,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-23",2001-04-23,21.9454545454545,16.4906860764714,68.8,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-24",2001-04-24,20.3727272727273,14.1345032391726,58.2,4.6,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-25",2001-04-25,21.04,15.3385643251106,59.8,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-26",2001-04-26,20.2454545454545,9.75411335143935,37.1,NA,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-27",2001-04-27,19.35,9.30175936437442,30.3,6.6,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-28",2001-04-28,19.4416666666667,9.64293979441891,32.2,8.6,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-29",2001-04-29,19.475,11.2946588342375,34.9,11,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","04-30",2001-04-30,20.9583333333333,12.6241081293138,37.6,13.8,244.8,2017-09-18,NA,4,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-01",2001-05-01,22.4666666666667,13.7402747976579,40,16.9,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-02",2001-05-02,24.6166666666667,14.9098401511664,44.9,19.8,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-03",2001-05-03,24.5333333333333,16.9350273550163,50.1,23,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-04",2001-05-04,23.9076923076923,18.7392396474377,55,24.3,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-05",2001-05-05,25.3769230769231,20.0844945935147,56.8,26.1,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-06",2001-05-06,26.5153846153846,20.8383799015921,60.7,28.6,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-07",2001-05-07,29.875,22.6866450502573,64.8,31.6,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-08",2001-05-08,31.2916666666667,23.852366314223,68.5,34.4,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-09",2001-05-09,31.95,22.7788378664377,72,23.4,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-10",2001-05-10,29.5428571428571,24.2281373069132,74.4,26.5,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-11",2001-05-11,31.0066666666667,24.1180568592635,77.4,29.3,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-12",2001-05-12,31.2866666666667,24.0478649680966,80.9,NA,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-13",2001-05-13,31.81875,23.0088452194658,84.8,NA,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-14",2001-05-14,32.38125,22.0553007611927,86.2,NA,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-15",2001-05-15,32.675,21.0925737326355,87.5,NA,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-16",2001-05-16,32.9058823529412,21.6035723489263,89.7,NA,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-17",2001-05-17,30.2,17.717152705782,69.3,NA,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-18",2001-05-18,27.8882352941176,17.4229332473374,72.2,NA,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-19",2001-05-19,27.9529411764706,17.0180829431174,74.8,NA,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-20",2001-05-20,28.3764705882353,17.2316398454908,78.2,NA,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-21",2001-05-21,29.6647058823529,17.6135935138344,82,NA,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-22",2001-05-22,29.9176470588235,19.0981097001155,85.9,NA,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
"BUI","05-23",2001-05-23,30.2058823529412,20.9128091904291,90.5,NA,244.8,2017-09-18,NA,5,"1157631","SPARWOOD+CS",1994,2026
