"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","value","rec_all_val","rec_all_date","value_record","MONTH","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-02",2001-04-02,NA,NA,NA,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-03",2001-04-03,NA,NA,NA,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-04",2001-04-04,NA,NA,NA,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-05",2001-04-05,NA,NA,NA,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-08",2001-04-08,NA,NA,NA,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-09",2001-04-09,NA,NA,NA,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-10",2001-04-10,NA,NA,16.9,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-11",2001-04-11,53,NA,53,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-12",2001-04-12,55.4,NA,55.4,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-13",2001-04-13,56.2,NA,56.2,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-14",2001-04-14,56.3,NA,56.3,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-15",2001-04-15,56.3,NA,56.3,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-16",2001-04-16,NA,NA,17.7,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-17",2001-04-17,NA,NA,19,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-18",2001-04-18,33.05,34.8603643124968,57.7,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-19",2001-04-19,34.4,33.375440072005,58,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-20",2001-04-20,34.8,33.0925973595304,58.2,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-21",2001-04-21,27.1,21.9990908903073,59.8,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-22",2001-04-22,26.625,24.3156156958171,62.5,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-23",2001-04-23,26.12,22.5839987601842,65.1,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
"BUI","04-24",2001-04-24,34.8,27.5363396260287,66.3,NA,203.9,1995-07-18,NA,4,"2202101","FORT+SIMPSON+A",1965,2026
