"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","value","rec_all_val","rec_all_date","value_record","MONTH","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-02",2001-04-02,10.4,NA,10.4,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-03",2001-04-03,11.6,NA,11.6,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-04",2001-04-04,12.7,NA,12.7,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-05",2001-04-05,13.6,NA,13.6,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-06",2001-04-06,14.2,NA,14.2,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-07",2001-04-07,12.3,NA,12.3,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-08",2001-04-08,6.7,NA,6.7,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-09",2001-04-09,NA,NA,NA,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-10",2001-04-10,NA,NA,NA,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-11",2001-04-11,NA,NA,NA,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-12",2001-04-12,8.4,NA,8.4,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-13",2001-04-13,8.6,NA,8.6,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-14",2001-04-14,8.6,NA,8.6,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-15",2001-04-15,NA,NA,NA,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-16",2001-04-16,NA,NA,NA,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-17",2001-04-17,NA,NA,NA,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-18",2001-04-18,NA,NA,NA,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-19",2001-04-19,NA,NA,NA,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-20",2001-04-20,12.5,NA,12.5,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-21",2001-04-21,10.5,3.95979797464467,13.3,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-22",2001-04-22,13.3,4.71487009365051,16.6,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-23",2001-04-23,14.3,5.7,19.1,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-24",2001-04-24,15,5.04777178564958,19.2,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-25",2001-04-25,14,5.2373657500694,19.7,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-26",2001-04-26,14.7333333333333,6.08796627235511,21.5,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-27",2001-04-27,18.05,10.2530483272049,25.3,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-28",2001-04-28,16.725,8.15981004680869,28.6,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-29",2001-04-29,16.625,11.8187351269076,33.4,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","04-30",2001-04-30,20.9,11.3859562619922,33.7,NA,133.5,2012-07-21,NA,4,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-01",2001-05-01,10.7666666666667,7.75263396100534,17.3,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-02",2001-05-02,18.74,11.7891051399163,36.9,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-03",2001-05-03,18.56,13.7923167017003,40.8,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-04",2001-05-04,14.24,8.34224190490782,24.6,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-05",2001-05-05,15.2666666666667,8.64422736088464,25.3,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-06",2001-05-06,15.0333333333333,9.41183651933387,27.8,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-07",2001-05-07,13.9833333333333,9.9300386034832,30.8,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-08",2001-05-08,13.6857142857143,10.0843820784797,32.5,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-09",2001-05-09,14.8875,10.7401034179644,37.1,6.5,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-10",2001-05-10,15.4125,10.6456480041645,37.5,8.3,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-11",2001-05-11,10.9222222222222,5.734060031465,31.2,10,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-12",2001-05-12,12.4375,6.03298966398205,35.4,7,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-13",2001-05-13,13.2888888888889,7.97879133146814,36.4,8.1,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-14",2001-05-14,13.8272727272727,7.90823506341218,37.4,9.8,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-15",2001-05-15,14.6,8.22325969430615,39.9,4.6,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-16",2001-05-16,16.0909090909091,7.94813871865037,40.7,3.8,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-17",2001-05-17,18.01,8.69092118886779,42.2,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-18",2001-05-18,19.8727272727273,9.28278954938556,43.1,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-19",2001-05-19,21.8272727272727,9.82965827575821,47.5,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-20",2001-05-20,22.225,10.7397414053852,48.6,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-21",2001-05-21,23.9083333333333,11.2663181316002,49.3,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-22",2001-05-22,25.4692307692308,10.8715519143148,52.8,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-23",2001-05-23,24.1461538461538,10.8979826408848,53.7,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-24",2001-05-24,25.0615384615385,11.5617572526511,56.2,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-25",2001-05-25,25.2384615384615,10.7507781471497,57.6,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-26",2001-05-26,26.1307692307692,10.6137791428081,47.3,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-27",2001-05-27,27.4153846153846,11.1616789473214,50,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-28",2001-05-28,26.58,11.7378630325724,51.6,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-29",2001-05-29,26.24,13.3836147156567,54.7,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-30",2001-05-30,26.74,13.1833119619356,55.5,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","05-31",2001-05-31,27.6615384615385,15.1529721210911,57.5,NA,133.5,2012-07-21,NA,5,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-01",2001-06-01,27.7,13.3180328877804,49.2,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-02",2001-06-02,29.64,12.6187389000871,50.8,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-03",2001-06-03,29.3933333333333,13.5768956406866,53.2,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-04",2001-06-04,30.5928571428571,13.5422679776329,55,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-05",2001-06-05,28.8266666666667,11.4974200004465,57.7,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-06",2001-06-06,29.4733333333333,11.1622109091771,61.3,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-07",2001-06-07,31.4714285714286,10.5912466449661,62.3,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-08",2001-06-08,29.7125,12.7662510811384,54.6,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-09",2001-06-09,28.3764705882353,14.654501416449,56.9,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-10",2001-06-10,29.2333333333333,13.2565706978338,60.4,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-11",2001-06-11,29.22,15.1970015839592,61.8,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-12",2001-06-12,29.09375,14.587458940245,52.2,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-13",2001-06-13,28.675,11.3868052294458,52.5,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-14",2001-06-14,26.91875,11.7888771729966,56.5,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-15",2001-06-15,24.5,13.0937135043246,55.7,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-16",2001-06-16,25.41875,13.6641730448644,54.3,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-17",2001-06-17,25.5625,15.5365751266702,59.5,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-18",2001-06-18,25.8875,17.5126953950556,63,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-19",2001-06-19,27.4625,18.9491556540127,65.7,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-20",2001-06-20,27.8,18.5682524756639,68.2,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-21",2001-06-21,29.35625,19.6144154046626,72.8,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-22",2001-06-22,30.175,19.6437776407696,76.5,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-23",2001-06-23,30.63125,19.5335171350852,78.7,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-24",2001-06-24,33.1,20.7366342495594,83.2,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-25",2001-06-25,35.13125,21.5524080247815,86.8,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-26",2001-06-26,34.11875,21.4609480607607,88.5,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-27",2001-06-27,31.09375,20.9476321255331,90.6,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-28",2001-06-28,29.4882352941176,21.3011995657798,94.1,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-29",2001-06-29,30.1823529411765,21.8143941955225,96.7,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","06-30",2001-06-30,28.7117647058824,22.0097672168784,101.2,NA,133.5,2012-07-21,NA,6,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","07-01",2001-07-01,31.1117647058824,22.5397394159998,106.1,NA,133.5,2012-07-21,NA,7,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","07-02",2001-07-02,32.4411764705882,22.9807816126739,110.2,NA,133.5,2012-07-21,NA,7,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","07-03",2001-07-03,34.4529411764706,23.6546009701881,113,NA,133.5,2012-07-21,NA,7,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","07-04",2001-07-04,33.4352941176471,23.9004691684199,88,NA,133.5,2012-07-21,NA,7,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","07-05",2001-07-05,33.9176470588235,24.4369913065755,91.8,NA,133.5,2012-07-21,NA,7,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","07-06",2001-07-06,35,25.3647146642733,94.7,NA,133.5,2012-07-21,NA,7,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","07-07",2001-07-07,37.3529411764706,25.907578950161,90.4,NA,133.5,2012-07-21,NA,7,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","07-08",2001-07-08,37.7529411764706,27.2681388631279,94.8,NA,133.5,2012-07-21,NA,7,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","07-09",2001-07-09,38.9647058823529,25.2389069983347,93.7,NA,133.5,2012-07-21,NA,7,"5031A10","GRAND+RAPIDS+AUT",1994,2026
"BUI","07-10",2001-07-10,39.8941176470588,26.7390975583563,96.8,NA,133.5,2012-07-21,NA,7,"5031A10","GRAND+RAPIDS+AUT",1994,2026
