"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.745,0,9,0,0,0.375,1.05,0,0,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.7 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.7 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.4 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 1.1 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-02",2001-04-02,1.61,0,22.9,0,0,0.625,1.19000000000001,0,0,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",0,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.6 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>1.6 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 0.6 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 1.2 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-03",2001-04-03,1.98,0,25.9,0,0,0.825,2.55000000000001,0.2,0.2,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",10.1010101010101,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 0.2 mm<br>Anomaly: -1.8 mm<br>Percent of normal: <b>10%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>2.0 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 0.8 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 2.6 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-04",2001-04-04,2.47,0,25.9,0,0,2.2,5.72,0,0.2,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",8.09716599190283,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 0.2 mm<br>Anomaly: -2.3 mm<br>Percent of normal: <b>8%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>2.5 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 2.2 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 5.7 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-05",2001-04-05,3.055,0,25.9,0,0.2,3.3,6.13,0,0.2,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",6.54664484451719,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 0.2 mm<br>Anomaly: -2.9 mm<br>Percent of normal: <b>7%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>3.1 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.2 to 3.3 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 6.1 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-06",2001-04-06,3.445,0,25.9,0,0.2,4.125,7.52,2.2,2.4,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 2.2 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",69.6661828737301,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 2.4 mm<br>Anomaly: -1.0 mm<br>Percent of normal: <b>70%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>3.4 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.2 to 4.1 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 7.5 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-07",2001-04-07,4.235,0,25.9,0,0.2,6.275,10.08,0.2,2.6,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",61.3931523022432,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 2.6 mm<br>Anomaly: -1.6 mm<br>Percent of normal: <b>61%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>4.2 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.2 to 6.3 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 10.1 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-08",2001-04-08,4.7,0,25.9,0,0.2,7.95,11.82,0,2.6,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",55.3191489361702,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 2.6 mm<br>Anomaly: -2.1 mm<br>Percent of normal: <b>55%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>4.7 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.2 to 7.9 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 11.8 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-09",2001-04-09,5.135,0,26.5,0,0.275,8.55,12.02,0.2,2.8,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",54.5277507302824,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 2.8 mm<br>Anomaly: -2.3 mm<br>Percent of normal: <b>55%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>5.1 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.3 to 8.6 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 12.0 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-10",2001-04-10,5.485,0,26.5,0,0.525,8.8,12.96,0,2.8,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",51.0483135824977,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 2.8 mm<br>Anomaly: -2.7 mm<br>Percent of normal: <b>51%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>5.5 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.5 to 8.8 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 13.0 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-11",2001-04-11,5.83,0,27.5,0,0.525,9,12.96,0,2.8,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-11<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",48.0274442538594,"DATE: Apr-11<br><b>Cumulative precipitation</b><br>Value: 2.8 mm<br>Anomaly: -3.0 mm<br>Percent of normal: <b>48%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-11<br><b>Normal cumulative precipitation</b><br>5.8 mm<br>Period: 1991-2020","DATE: Apr-11<br><b>25-75 percentile</b><br>0.5 to 9.0 mm","DATE: Apr-11<br><b>10-90 percentile</b><br>0.0 to 13.0 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-12",2001-04-12,6.065,0,27.5,0.27,1.025,9.725,13.52,0,2.8,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-12<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",46.1665292662819,"DATE: Apr-12<br><b>Cumulative precipitation</b><br>Value: 2.8 mm<br>Anomaly: -3.3 mm<br>Percent of normal: <b>46%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-12<br><b>Normal cumulative precipitation</b><br>6.1 mm<br>Period: 1991-2020","DATE: Apr-12<br><b>25-75 percentile</b><br>1.0 to 9.7 mm","DATE: Apr-12<br><b>10-90 percentile</b><br>0.3 to 13.5 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-13",2001-04-13,7.585,0,29.5,0.54,1.475,11.35,13.9,0,2.8,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-13<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",36.914963744232,"DATE: Apr-13<br><b>Cumulative precipitation</b><br>Value: 2.8 mm<br>Anomaly: -4.8 mm<br>Percent of normal: <b>37%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-13<br><b>Normal cumulative precipitation</b><br>7.6 mm<br>Period: 1991-2020","DATE: Apr-13<br><b>25-75 percentile</b><br>1.5 to 11.3 mm","DATE: Apr-13<br><b>10-90 percentile</b><br>0.5 to 13.9 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-14",2001-04-14,9.665,0,37.2,1.08,1.875,13.05,18.85,0,2.8,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-14<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",28.9705121572685,"DATE: Apr-14<br><b>Cumulative precipitation</b><br>Value: 2.8 mm<br>Anomaly: -6.9 mm<br>Percent of normal: <b>29%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-14<br><b>Normal cumulative precipitation</b><br>9.7 mm<br>Period: 1991-2020","DATE: Apr-14<br><b>25-75 percentile</b><br>1.9 to 13.0 mm","DATE: Apr-14<br><b>10-90 percentile</b><br>1.1 to 18.9 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-15",2001-04-15,10.56,0,37.7,1.08,1.875,14.075,21.79,0,2.8,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-15<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",26.5151515151515,"DATE: Apr-15<br><b>Cumulative precipitation</b><br>Value: 2.8 mm<br>Anomaly: -7.8 mm<br>Percent of normal: <b>27%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-15<br><b>Normal cumulative precipitation</b><br>10.6 mm<br>Period: 1991-2020","DATE: Apr-15<br><b>25-75 percentile</b><br>1.9 to 14.1 mm","DATE: Apr-15<br><b>10-90 percentile</b><br>1.1 to 21.8 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-16",2001-04-16,11.225,0,37.7,1.08,2.325,14.125,21.79,0,2.8,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-16<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",24.9443207126949,"DATE: Apr-16<br><b>Cumulative precipitation</b><br>Value: 2.8 mm<br>Anomaly: -8.4 mm<br>Percent of normal: <b>25%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-16<br><b>Normal cumulative precipitation</b><br>11.2 mm<br>Period: 1991-2020","DATE: Apr-16<br><b>25-75 percentile</b><br>2.3 to 14.1 mm","DATE: Apr-16<br><b>10-90 percentile</b><br>1.1 to 21.8 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-17",2001-04-17,12.085,0,37.7,1.08,2.45,15.325,22.95,0,2.8,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-17<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",23.1692180388912,"DATE: Apr-17<br><b>Cumulative precipitation</b><br>Value: 2.8 mm<br>Anomaly: -9.3 mm<br>Percent of normal: <b>23%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-17<br><b>Normal cumulative precipitation</b><br>12.1 mm<br>Period: 1991-2020","DATE: Apr-17<br><b>25-75 percentile</b><br>2.4 to 15.3 mm","DATE: Apr-17<br><b>10-90 percentile</b><br>1.1 to 23.0 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-18",2001-04-18,12.315,0,37.7,1.62,2.5,15.325,23.12,0,2.8,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-18<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",22.7365002030045,"DATE: Apr-18<br><b>Cumulative precipitation</b><br>Value: 2.8 mm<br>Anomaly: -9.5 mm<br>Percent of normal: <b>23%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-18<br><b>Normal cumulative precipitation</b><br>12.3 mm<br>Period: 1991-2020","DATE: Apr-18<br><b>25-75 percentile</b><br>2.5 to 15.3 mm","DATE: Apr-18<br><b>10-90 percentile</b><br>1.6 to 23.1 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-19",2001-04-19,12.87,0,37.7,1.62,3.95,17.1,23.12,0,2.8,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-19<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",21.7560217560218,"DATE: Apr-19<br><b>Cumulative precipitation</b><br>Value: 2.8 mm<br>Anomaly: -10.1 mm<br>Percent of normal: <b>22%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-19<br><b>Normal cumulative precipitation</b><br>12.9 mm<br>Period: 1991-2020","DATE: Apr-19<br><b>25-75 percentile</b><br>4.0 to 17.1 mm","DATE: Apr-19<br><b>10-90 percentile</b><br>1.6 to 23.1 mm","3070600","BEAVERLODGE+RCS",2001,2026
"04-20",2001-04-20,13.545,0,37.7,1.62,6.65,17.75,23.12,0,2.8,"NA (ECCC AES NA; station_id 30669)",NA,30669,"","DATE: Apr-20<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 30669)",20.671834625323,"DATE: Apr-20<br><b>Cumulative precipitation</b><br>Value: 2.8 mm<br>Anomaly: -10.7 mm<br>Percent of normal: <b>21%</b><br>Weather station: NA (ECCC AES NA; station_id 30669)","DATE: Apr-20<br><b>Normal cumulative precipitation</b><br>13.5 mm<br>Period: 1991-2020","DATE: Apr-20<br><b>25-75 percentile</b><br>6.6 to 17.8 mm","DATE: Apr-20<br><b>10-90 percentile</b><br>1.6 to 23.1 mm","3070600","BEAVERLODGE+RCS",2001,2026
