"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,21.625,4.56097577279249,26.1,2019-04-01,5.9,331.5,2003-08-27,NA,4,"Daily record reached in 2019","3030830","BROCKET+AGDM",2001,2026
"BUI","04-02",2001-04-02,23.75,5.35692697977737,29.2,2013-04-02,2.3,331.5,2003-08-27,NA,4,"Daily record reached in 2013","3030830","BROCKET+AGDM",2001,2026
"BUI","04-03",2001-04-03,23.48,6.37393128296815,29.9,2019-04-03,4.5,331.5,2003-08-27,NA,4,"Daily record reached in 2019","3030830","BROCKET+AGDM",2001,2026
"BUI","04-04",2001-04-04,25,6.39335592627221,32.7,2019-04-04,7.6,331.5,2003-08-27,NA,4,"Daily record reached in 2019","3030830","BROCKET+AGDM",2001,2026
"BUI","04-05",2001-04-05,23.76,8.88836317889858,33.9,2019-04-05,8.7,331.5,2003-08-27,NA,4,"Daily record reached in 2019","3030830","BROCKET+AGDM",2001,2026
"BUI","04-06",2001-04-06,23.76,10.7867047794959,36,2019-04-06,9.2,331.5,2003-08-27,NA,4,"Daily record reached in 2019","3030830","BROCKET+AGDM",2001,2026
"BUI","04-07",2001-04-07,25.28,10.7529995815121,37.8,2019-04-07,5.3,331.5,2003-08-27,NA,4,"Daily record reached in 2019","3030830","BROCKET+AGDM",2001,2026
"BUI","04-08",2001-04-08,26.12,10.194949730136,40.6,2019-04-08,NA,331.5,2003-08-27,NA,4,"Daily record reached in 2019","3030830","BROCKET+AGDM",2001,2026
"BUI","04-09",2001-04-09,27.76,9.29424553151035,41,2019-04-09,3.9,331.5,2003-08-27,NA,4,"Daily record reached in 2019","3030830","BROCKET+AGDM",2001,2026
"BUI","04-10",2001-04-10,29.62,8.71389694683154,42.1,2019-04-10,8.7,331.5,2003-08-27,NA,4,"Daily record reached in 2019","3030830","BROCKET+AGDM",2001,2026
"BUI","04-11",2001-04-11,30.3714285714286,8.04812903427753,42.8,2019-04-11,12.1,331.5,2003-08-27,NA,4,"Daily record reached in 2019","3030830","BROCKET+AGDM",2001,2026
"BUI","04-12",2001-04-12,29.4375,6.90381623244916,42.3,2016-04-12,12.2,331.5,2003-08-27,NA,4,"Daily record reached in 2016","3030830","BROCKET+AGDM",2001,2026
"BUI","04-13",2001-04-13,30.3625,8.18202515971967,44.3,2016-04-13,14.8,331.5,2003-08-27,NA,4,"Daily record reached in 2016","3030830","BROCKET+AGDM",2001,2026
"BUI","04-14",2001-04-14,30.7875,9.93183014353347,45.4,2016-04-14,16.7,331.5,2003-08-27,NA,4,"Daily record reached in 2016","3030830","BROCKET+AGDM",2001,2026
