"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,6.10526315789474,-11.3,19.7,7.90593825229636,-3.74,2.05,11.3,13.48,NA,NA,NA,NA,NA,4,2016-04-01,"","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.7 to 13.5 °C","Historical daily maximum<br>19.7 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 6.1 °C<br>Period: 1991-2020","3030830","BROCKET+AGDM",2001,2024
"04-01","TMIN",2001-04-01,-4.03684210526316,-16,3.1,6.00621997287588,-13.2,-6.1,0.4,1.28,NA,NA,NA,NA,NA,4,2017-04-01,"","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-13.2 to 1.3 °C","Historical daily maximum<br>3.1 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -4.0 °C<br>Period: 1991-2020","3030830","BROCKET+AGDM",2001,2024
"04-01","VPD",2001-04-01,0.565132308975209,0.0823258645700085,1.6709432641952,0.403771531136003,0.154692422413712,0.266904650076459,0.701164300448195,0.949284565768973,NA,NA,NA,NA,NA,4,2016-04-01,"","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.7 kPa<br>2016-04-01","DATE: Apr-01</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3030830","BROCKET+AGDM",2001,2024
"04-02","TMAX",2001-04-02,6.18888888888889,-8.7,19.8,8.38134405119938,-6.7,1.475,10.875,14.19,NA,NA,NA,NA,NA,4,2013-04-02,"","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-6.7 to 14.2 °C","Historical daily maximum<br>19.8 °C<br>2013-04-02","DATE: Apr-02</b><br>Normal: 6.2 °C<br>Period: 1991-2020","3030830","BROCKET+AGDM",2001,2024
"04-02","TMIN",2001-04-02,-5.70526315789474,-20.9,6.3,6.85820463096822,-18.04,-7.35,-1.6,-0.8,NA,NA,NA,NA,NA,4,2016-04-02,"","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-18.0 to -0.8 °C","Historical daily maximum<br>6.3 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: -5.7 °C<br>Period: 1991-2020","3030830","BROCKET+AGDM",2001,2024
"04-02","VPD",2001-04-02,0.642075536179277,0.122138714442769,1.82350490360827,0.425980123839197,0.195688442913714,0.307821715951265,0.808232622714282,1.09802304034469,NA,NA,NA,NA,NA,4,2013-04-02,"","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.1 kPa","Historical daily maximum<br>1.8 kPa<br>2013-04-02","DATE: Apr-02</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3030830","BROCKET+AGDM",2001,2024
"04-03","TMAX",2001-04-03,6.87894736842105,-5,18.3,7.08798505668167,-2.64,1.5,12.25,15.8,NA,NA,NA,NA,NA,4,2016-04-03,"","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.6 to 15.8 °C","Historical daily maximum<br>18.3 °C<br>2016-04-03","DATE: Apr-03</b><br>Normal: 6.9 °C<br>Period: 1991-2020","3030830","BROCKET+AGDM",2001,2024
"04-03","TMIN",2001-04-03,-6.61052631578947,-18.8,3.5,6.81427380469703,-17.6,-11.55,-2.15,0.5,NA,NA,NA,NA,NA,4,2024-04-03,"","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-17.6 to 0.5 °C","Historical daily maximum<br>3.5 °C<br>2024-04-03","DATE: Apr-03</b><br>Normal: -6.6 °C<br>Period: 1991-2020","3030830","BROCKET+AGDM",2001,2024
"04-03","VPD",2001-04-03,0.679053874919181,0.215436811224766,1.47744236529075,0.390352896041623,0.296922947740048,0.392512935740037,0.877359220723642,1.25726186421045,NA,NA,NA,NA,NA,4,2004-04-03,"","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.3 kPa","Historical daily maximum<br>1.5 kPa<br>2004-04-03","DATE: Apr-03</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","3030830","BROCKET+AGDM",2001,2024
"04-04","TMAX",2001-04-04,7.47777777777778,-4.2,18.8,6.31716201689591,-2.12,5,10.475,14.07,NA,NA,NA,NA,NA,4,2004-04-04,"","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.1 to 14.1 °C","Historical daily maximum<br>18.8 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: 7.5 °C<br>Period: 1991-2020","3030830","BROCKET+AGDM",2001,2024
"04-04","TMIN",2001-04-04,-3.45263157894737,-15.5,4.6,5.33118377734591,-10.76,-7.05,-0.65,2.22,NA,NA,NA,NA,NA,4,2004-04-04,"","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-10.8 to 2.2 °C","Historical daily maximum<br>4.6 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: -3.5 °C<br>Period: 1991-2020","3030830","BROCKET+AGDM",2001,2024
"04-04","VPD",2001-04-04,0.592129615075329,0.196969796162695,1.3218726335864,0.314472623866495,0.208821635259091,0.341248739316764,0.729681609411419,0.972562372018518,NA,NA,NA,NA,NA,4,2004-04-04,"","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.0 kPa","Historical daily maximum<br>1.3 kPa<br>2004-04-04","DATE: Apr-04</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3030830","BROCKET+AGDM",2001,2024
"04-05","TMAX",2001-04-05,7.44444444444444,-8.7,17.9,6.82247343643416,-0.34,1.975,11.675,14.99,NA,NA,NA,NA,NA,4,2004-04-05,"","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.3 to 15.0 °C","Historical daily maximum<br>17.9 °C<br>2004-04-05","DATE: Apr-05</b><br>Normal: 7.4 °C<br>Period: 1991-2020","3030830","BROCKET+AGDM",2001,2024
