"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,26.6,NA,26.6,2012-04-01,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2012","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-02",2001-04-02,28.9,NA,28.9,2012-04-02,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2012","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-03",2001-04-03,33.4,NA,33.4,2012-04-03,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2012","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-04",2001-04-04,34.8,NA,34.8,2012-04-04,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2012","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-05",2001-04-05,NA,NA,NA,NA,NA,169.4,2021-08-16,NA,4,"Daily record reached in NA","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-06",2001-04-06,35.5,NA,35.5,2012-04-06,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2012","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-07",2001-04-07,NA,NA,15.4,2025-04-07,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2025","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-08",2001-04-08,37.9,NA,37.9,2012-04-08,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2012","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-09",2001-04-09,39.7,NA,39.7,2012-04-09,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2012","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-10",2001-04-10,NA,NA,23.9,2025-04-10,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2025","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-11",2001-04-11,44.7,NA,44.7,2012-04-11,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2012","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-12",2001-04-12,29.4,21.920310216783,44.9,2012-04-12,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2012","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-13",2001-04-13,14.5,NA,31.2,2025-04-13,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2025","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-14",2001-04-14,17.3,NA,34,2025-04-14,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2025","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-15",2001-04-15,18.9,NA,37.3,2025-04-15,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2025","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-16",2001-04-16,18.4333333333333,1.62890556304942,38.7,2025-04-16,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2025","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-17",2001-04-17,22.75,0.777817459305203,39.4,2025-04-17,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2025","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-18",2001-04-18,22.9,6.99356847396234,42.4,2025-04-18,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2025","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-19",2001-04-19,27.5333333333333,6.823733093647,43.3,2025-04-19,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2025","3031094","CALGARY+INT'L+CS",2004,2026
"BUI","04-20",2001-04-20,31.2,6.39296488336984,43.9,2025-04-20,NA,169.4,2021-08-16,NA,4,"Daily record reached in 2025","3031094","CALGARY+INT'L+CS",2004,2026
