"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,4.49444444444444,-10,18.3,6.9727597897079,-5,0.9,7.95,10.37,NA,NA,NA,NA,NA,4,2016-04-01,"","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.0 to 10.4 °C","Historical daily maximum<br>18.3 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 4.5 °C<br>Period: 1991-2020","3074935","CLEARDALE+AGDM",2003,2024
"04-01","TMIN",2001-04-01,-9.23333333333333,-27.1,-1.3,7.77189506756084,-20.86,-13.15,-3.45,-1.82,NA,NA,NA,NA,NA,4,2017-04-01,"","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-20.9 to -1.8 °C","Historical daily maximum<br>-1.3 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -9.2 °C<br>Period: 1991-2020","3074935","CLEARDALE+AGDM",2003,2024
"04-01","VPD",2001-04-01,0.57817194363248,0.169890959906599,1.57583508038918,0.318192784079319,0.195188627046258,0.40465093102479,0.654133873543729,0.766764620870817,NA,NA,NA,NA,NA,4,2016-04-01,"","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.6 kPa<br>2016-04-01","DATE: Apr-01</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3074935","CLEARDALE+AGDM",2003,2024
"04-02","TMAX",2001-04-02,4.89444444444444,-8.2,16.4,6.84994394328478,-4.82,0.625,8.675,10.76,NA,NA,NA,NA,NA,4,2016-04-02,"","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-4.8 to 10.8 °C","Historical daily maximum<br>16.4 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 4.9 °C<br>Period: 1991-2020","3074935","CLEARDALE+AGDM",2003,2024
"04-02","TMIN",2001-04-02,-8.17777777777778,-22.1,-0.1,7.05103709981777,-21.14,-9.85,-2.3,-1.72,NA,NA,NA,NA,NA,4,2024-04-02,"","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-21.1 to -1.7 °C","Historical daily maximum<br>-0.1 °C<br>2024-04-02","DATE: Apr-02</b><br>Normal: -8.2 °C<br>Period: 1991-2020","3074935","CLEARDALE+AGDM",2003,2024
"04-02","VPD",2001-04-02,0.57663316472598,0.183664448908412,1.2588970605893,0.287832841763724,0.224900011523524,0.353144389126167,0.711201607618576,0.875242582987189,NA,NA,NA,NA,NA,4,2016-04-02,"","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.3 kPa<br>2016-04-02","DATE: Apr-02</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3074935","CLEARDALE+AGDM",2003,2024
"04-03","TMAX",2001-04-03,4.82222222222222,-8.9,15.9,7.03115383013389,-5.29,0.55,10.15,11.8,NA,NA,NA,NA,NA,4,2004-04-03,"","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.3 to 11.8 °C","Historical daily maximum<br>15.9 °C<br>2004-04-03","DATE: Apr-03</b><br>Normal: 4.8 °C<br>Period: 1991-2020","3074935","CLEARDALE+AGDM",2003,2024
"04-03","TMIN",2001-04-03,-7.81666666666667,-25.1,1.1,7.55787474017897,-19.14,-8.525,-2.55,-2.2,NA,NA,NA,NA,NA,4,2008-04-03,"","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-19.1 to -2.2 °C","Historical daily maximum<br>1.1 °C<br>2008-04-03","DATE: Apr-03</b><br>Normal: -7.8 °C<br>Period: 1991-2020","3074935","CLEARDALE+AGDM",2003,2024
"04-03","VPD",2001-04-03,0.563689205978828,0.123797304123911,1.28705188700256,0.299636002686766,0.237743991191056,0.349204732062216,0.792269639222714,0.875883254791397,NA,NA,NA,NA,NA,4,2004-04-03,"","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.3 kPa<br>2004-04-03","DATE: Apr-03</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3074935","CLEARDALE+AGDM",2003,2024
"04-04","TMAX",2001-04-04,5.21764705882353,-3,15.8,5.09917092453735,-1.64,2,7.7,10.12,NA,NA,NA,NA,NA,4,2006-04-04,"","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.6 to 10.1 °C","Historical daily maximum<br>15.8 °C<br>2006-04-04","DATE: Apr-04</b><br>Normal: 5.2 °C<br>Period: 1991-2020","3074935","CLEARDALE+AGDM",2003,2024
