"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,8.6,NA,8.6,2019-04-01,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2019","3051R4R","CROWSNEST",1994,2026
"BUI","04-02",2001-04-02,10.2,NA,10.2,2019-04-02,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2019","3051R4R","CROWSNEST",1994,2026
"BUI","04-03",2001-04-03,10,3.25269119345812,12.3,2019-04-03,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2019","3051R4R","CROWSNEST",1994,2026
"BUI","04-04",2001-04-04,11.45,3.7476659402887,14.1,2019-04-04,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2019","3051R4R","CROWSNEST",1994,2026
"BUI","04-05",2001-04-05,12.4,3.81837661840736,15.1,2019-04-05,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2019","3051R4R","CROWSNEST",1994,2026
"BUI","04-06",2001-04-06,14.4,3.20468407179241,16.3,2019-04-06,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2019","3051R4R","CROWSNEST",1994,2026
"BUI","04-07",2001-04-07,16.5666666666667,3.51188458428425,19.9,2004-04-07,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-08",2001-04-08,17.075,3.37774579663222,20.2,2004-04-08,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-09",2001-04-09,18.55,3.08274769213008,23,2004-04-09,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-10",2001-04-10,16.575,7.41681647788771,26.5,2004-04-10,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-11",2001-04-11,19.9666666666667,10.9097815437952,30.6,2004-04-11,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-12",2001-04-12,21.8333333333333,13.0005128103984,34.9,2004-04-12,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-13",2001-04-13,19.575,12.8896276129297,36.4,2004-04-13,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-14",2001-04-14,20.725,12.6707997642874,37.5,2004-04-14,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-15",2001-04-15,21.6,11.8313143817583,38.1,2004-04-15,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-16",2001-04-16,22.5,11.2038683795672,38.2,2004-04-16,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-17",2001-04-17,27.14,11.3759834739683,39.3,2004-04-17,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-18",2001-04-18,27.35,11.7741666371765,41.8,2004-04-18,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-19",2001-04-19,29.5166666666667,12.2682381239796,44.4,2010-04-19,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2010","3051R4R","CROWSNEST",1994,2026
"BUI","04-20",2001-04-20,29.7857142857143,13.7122121448278,47.4,2010-04-20,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2010","3051R4R","CROWSNEST",1994,2026
"BUI","04-21",2001-04-21,31.5,15.9839204917227,50.3,2010-04-21,14.6,330.1,2003-09-04,NA,4,"Daily record reached in 2010","3051R4R","CROWSNEST",1994,2026
"BUI","04-22",2001-04-22,30.2923076923077,16.6152270291672,53.1,2010-04-22,15.6,330.1,2003-09-04,NA,4,"Daily record reached in 2010","3051R4R","CROWSNEST",1994,2026
"BUI","04-23",2001-04-23,28.4,15.8081202761956,53.5,2004-04-23,7.7,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-24",2001-04-24,26.4357142857143,16.3226415256118,55.8,2003-04-24,8,330.1,2003-09-04,NA,4,"Daily record reached in 2003","3051R4R","CROWSNEST",1994,2026
"BUI","04-25",2001-04-25,25.3333333333333,15.0061401574236,58.5,2004-04-25,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-26",2001-04-26,26.975,15.340506392021,62.6,2004-04-26,NA,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-27",2001-04-27,26.0066666666667,15.0810887569578,67.1,2004-04-27,4.8,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-28",2001-04-28,25.64375,12.8054138941309,59,2004-04-28,7.4,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-29",2001-04-29,24.75,14.9830570979357,61.8,2004-04-29,9.7,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","04-30",2001-04-30,24.4294117647059,15.679116871889,64.3,2004-04-30,12.7,330.1,2003-09-04,NA,4,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","05-01",2001-05-01,24.9722222222222,16.8246599670405,68.6,2004-05-01,15.8,330.1,2003-09-04,NA,5,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","05-02",2001-05-02,25.46,16.3262268822446,72.9,2004-05-02,18.1,330.1,2003-09-04,NA,5,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","05-03",2001-05-03,26.7157894736842,13.8908148372263,52.7,2004-05-03,21.2,330.1,2003-09-04,NA,5,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","05-04",2001-05-04,28.005,14.1306116007244,56.4,2004-05-04,22.8,330.1,2003-09-04,NA,5,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","05-05",2001-05-05,26.8619047619048,16.0818679322545,56.5,2004-05-05,23.6,330.1,2003-09-04,NA,5,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","05-06",2001-05-06,29.32,16.5296734772093,56.7,2004-05-06,26.3,330.1,2003-09-04,NA,5,"Daily record reached in 2004","3051R4R","CROWSNEST",1994,2026
"BUI","05-07",2001-05-07,32.225,17.129871569863,61.4,1998-05-07,29.1,330.1,2003-09-04,NA,5,"Daily record reached in 1998","3051R4R","CROWSNEST",1994,2026
"BUI","05-08",2001-05-08,32.55,18.6545747176058,64.7,1998-05-08,32,330.1,2003-09-04,NA,5,"Daily record reached in 1998","3051R4R","CROWSNEST",1994,2026
"BUI","05-09",2001-05-09,31.2333333333333,18.7532219453974,67.7,1998-05-09,29.1,330.1,2003-09-04,NA,5,"Daily record reached in 1998","3051R4R","CROWSNEST",1994,2026
"BUI","05-10",2001-05-10,31.8809523809524,19.5096545086688,70.1,1994-05-10,32.4,330.1,2003-09-04,NA,5,"Daily record reached in 1994","3051R4R","CROWSNEST",1994,2026
"BUI","05-11",2001-05-11,32.6090909090909,20.6545949941483,74,1994-05-11,34.8,330.1,2003-09-04,NA,5,"Daily record reached in 1994","3051R4R","CROWSNEST",1994,2026
"BUI","05-12",2001-05-12,33.4260869565217,20.7482138856973,77.1,1994-05-12,37.8,330.1,2003-09-04,NA,5,"Daily record reached in 1994","3051R4R","CROWSNEST",1994,2026
"BUI","05-13",2001-05-13,33.52,20.7224918064085,79.2,1998-05-13,39.9,330.1,2003-09-04,NA,5,"Daily record reached in 1998","3051R4R","CROWSNEST",1994,2026
"BUI","05-14",2001-05-14,33.872,21.0515937638935,81.2,1998-05-14,41.7,330.1,2003-09-04,NA,5,"Daily record reached in 1998","3051R4R","CROWSNEST",1994,2026
"BUI","05-15",2001-05-15,34.416,19.5306101628529,82.7,1998-05-15,43.2,330.1,2003-09-04,NA,5,"Daily record reached in 1998","3051R4R","CROWSNEST",1994,2026
"BUI","05-16",2001-05-16,35.5,20.6513922048854,85,1998-05-16,44.5,330.1,2003-09-04,NA,5,"Daily record reached in 1998","3051R4R","CROWSNEST",1994,2026
"BUI","05-17",2001-05-17,33.0346153846154,18.3926494515106,70.2,2001-05-17,45.5,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","05-18",2001-05-18,33.876,18.851266093643,72.4,2001-05-18,47.2,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","05-19",2001-05-19,33.344,19.7611799580221,73.1,2001-05-19,49,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","05-20",2001-05-20,32.4,19.9399306250883,76.4,2001-05-20,45.6,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","05-21",2001-05-21,31.96,19.3064971792745,80.2,2001-05-21,46.5,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","05-22",2001-05-22,30.948,21.5124793240265,85.6,2001-05-22,49.2,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","05-23",2001-05-23,31.1230769230769,22.6818395672363,92.2,2001-05-23,52,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","05-24",2001-05-24,31.2038461538462,24.7755925179477,98.2,2001-05-24,55,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","05-25",2001-05-25,32.4769230769231,25.4968438469126,101.9,2001-05-25,58.7,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","05-26",2001-05-26,30.8846153846154,24.3586484404647,105.6,2001-05-26,62.2,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","05-27",2001-05-27,30.2230769230769,23.6160167291998,109.9,2001-05-27,50.9,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","05-28",2001-05-28,31.656,24.9527733929517,112.6,2001-05-28,54.2,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","05-29",2001-05-29,30.0769230769231,25.6213864994431,115,2001-05-29,46.6,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","05-30",2001-05-30,30.8461538461538,27.1104737069529,118.2,2001-05-30,48.7,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","05-31",2001-05-31,31.748,27.9941678449875,121.9,2001-05-31,21.8,330.1,2003-09-04,NA,5,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","06-01",2001-06-01,31.9384615384615,27.692209401535,126.3,2001-06-01,9.8,330.1,2003-09-04,NA,6,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","06-02",2001-06-02,30.9269230769231,25.8016985129632,107.2,2001-06-02,4.3,330.1,2003-09-04,NA,6,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","06-03",2001-06-03,32.2269230769231,27.4811725760355,109.7,2001-06-03,6.2,330.1,2003-09-04,NA,6,"Daily record reached in 2001","3051R4R","CROWSNEST",1994,2026
"BUI","06-04",2001-06-04,31.6,23.8869671578457,100.4,2003-06-04,9.6,330.1,2003-09-04,NA,6,"Daily record reached in 2003","3051R4R","CROWSNEST",1994,2026
"BUI","06-05",2001-06-05,32.0038461538462,23.6545890815162,104,2003-06-05,12.9,330.1,2003-09-04,NA,6,"Daily record reached in 2003","3051R4R","CROWSNEST",1994,2026
"BUI","06-06",2001-06-06,29.5884615384615,20.7321070211993,103.5,2003-06-06,15.7,330.1,2003-09-04,NA,6,"Daily record reached in 2003","3051R4R","CROWSNEST",1994,2026
"BUI","06-07",2001-06-07,30.2038461538462,21.4137615709007,108.1,2003-06-07,17.7,330.1,2003-09-04,NA,6,"Daily record reached in 2003","3051R4R","CROWSNEST",1994,2026
"BUI","06-08",2001-06-08,30.0461538461539,20.6025285976111,106.1,2003-06-08,20.6,330.1,2003-09-04,NA,6,"Daily record reached in 2003","3051R4R","CROWSNEST",1994,2026
"BUI","06-09",2001-06-09,28.4423076923077,14.7670219902842,69,2025-06-09,22.5,330.1,2003-09-04,NA,6,"Daily record reached in 2025","3051R4R","CROWSNEST",1994,2026
"BUI","06-10",2001-06-10,28.3115384615385,15.8734073701415,73.3,2025-06-10,23.5,330.1,2003-09-04,NA,6,"Daily record reached in 2025","3051R4R","CROWSNEST",1994,2026
"BUI","06-11",2001-06-11,29.5076923076923,15.839341478153,76.9,2025-06-11,25.9,330.1,2003-09-04,NA,6,"Daily record reached in 2025","3051R4R","CROWSNEST",1994,2026
"BUI","06-12",2001-06-12,31.4384615384615,16.3655510612525,68.5,2025-06-12,20.4,330.1,2003-09-04,NA,6,"Daily record reached in 2025","3051R4R","CROWSNEST",1994,2026
"BUI","06-13",2001-06-13,32.6307692307692,17.7952076521915,72.2,2025-06-13,16.2,330.1,2003-09-04,NA,6,"Daily record reached in 2025","3051R4R","CROWSNEST",1994,2026
"BUI","06-14",2001-06-14,31.5269230769231,18.7468516331102,76.1,2025-06-14,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2025","3051R4R","CROWSNEST",1994,2026
"BUI","06-15",2001-06-15,32.4692307692308,19.4332451068939,80.2,2025-06-15,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2025","3051R4R","CROWSNEST",1994,2026
"BUI","06-16",2001-06-16,32.1307692307692,19.2102008158326,84.3,2025-06-16,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2025","3051R4R","CROWSNEST",1994,2026
"BUI","06-17",2001-06-17,30.4076923076923,19.0761195860568,89.3,2025-06-17,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2025","3051R4R","CROWSNEST",1994,2026
"BUI","06-18",2001-06-18,31.0346153846154,20.4478447237393,93.5,2025-06-18,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2025","3051R4R","CROWSNEST",1994,2026
"BUI","06-19",2001-06-19,30.5730769230769,19.3233859909139,97.4,2025-06-19,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2025","3051R4R","CROWSNEST",1994,2026
"BUI","06-20",2001-06-20,30.9653846153846,17.5707015752404,97.9,2025-06-20,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2025","3051R4R","CROWSNEST",1994,2026
"BUI","06-21",2001-06-21,32.3153846153846,17.9743304144036,69.4,2002-06-21,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","06-22",2001-06-22,33.4038461538462,18.4677985860628,74.3,2002-06-22,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","06-23",2001-06-23,35.6269230769231,18.8485237128494,77.7,2002-06-23,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","06-24",2001-06-24,33.6461538461538,19.4516267858343,82,2002-06-24,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","06-25",2001-06-25,35.5461538461538,20.6160758781924,87.3,2002-06-25,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","06-26",2001-06-26,36,22.1742373036819,93.4,2002-06-26,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","06-27",2001-06-27,38.5615384615385,23.840487862845,99.8,2002-06-27,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","06-28",2001-06-28,40.5692307692308,25.2141193656375,102.7,2002-06-28,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","06-29",2001-06-29,42.8923076923077,25.8790714373901,105,2002-06-29,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","06-30",2001-06-30,43.4076923076923,24.1662230905357,97.8,2016-06-30,NA,330.1,2003-09-04,NA,6,"Daily record reached in 2016","3051R4R","CROWSNEST",1994,2026
"BUI","07-01",2001-07-01,45.5884615384615,24.6883507253616,102.1,2016-07-01,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2016","3051R4R","CROWSNEST",1994,2026
"BUI","07-02",2001-07-02,46.3884615384615,23.8846448903571,106.1,2016-07-02,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2016","3051R4R","CROWSNEST",1994,2026
"BUI","07-03",2001-07-03,47.8076923076923,25.7453828571559,109.8,2016-07-03,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2016","3051R4R","CROWSNEST",1994,2026
"BUI","07-04",2001-07-04,50.3692307692308,26.2481659432543,112.8,2016-07-04,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2016","3051R4R","CROWSNEST",1994,2026
"BUI","07-05",2001-07-05,52.3269230769231,26.6320942877921,114.9,2016-07-05,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2016","3051R4R","CROWSNEST",1994,2026
"BUI","07-06",2001-07-06,52.1846153846154,25.9988721648873,116.4,2016-07-06,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2016","3051R4R","CROWSNEST",1994,2026
"BUI","07-07",2001-07-07,53.0846153846154,25.4315660911033,117.4,2002-07-07,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","07-08",2001-07-08,55.4923076923077,22.6052369698161,109.4,2016-07-08,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2016","3051R4R","CROWSNEST",1994,2026
"BUI","07-09",2001-07-09,58.9538461538462,23.5426630739894,112.1,2016-07-09,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2016","3051R4R","CROWSNEST",1994,2026
"BUI","07-10",2001-07-10,62.3038461538462,23.894174700445,115.4,2016-07-10,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2016","3051R4R","CROWSNEST",1994,2026
"BUI","07-11",2001-07-11,62.7076923076923,24.4402278725371,117.5,2016-07-11,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2016","3051R4R","CROWSNEST",1994,2026
"BUI","07-12",2001-07-12,64.0846153846154,24.90000308928,118,2002-07-12,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","07-13",2001-07-13,64.3423076923077,26.3996995903654,125.8,2002-07-13,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","07-14",2001-07-14,66.1576923076923,28.8340239727572,130.5,2002-07-14,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","07-15",2001-07-15,68.1807692307692,29.4876654787153,135.7,2002-07-15,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","07-16",2001-07-16,69.5615384615385,29.0603245256907,140.1,2002-07-16,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","07-17",2001-07-17,70.6076923076923,31.6356371590891,145.7,2002-07-17,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
"BUI","07-18",2001-07-18,71.0269230769231,34.7268029935646,150.7,2002-07-18,NA,330.1,2003-09-04,NA,7,"Daily record reached in 2002","3051R4R","CROWSNEST",1994,2026
