"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,5.7037037037037,-12.1,17.5,6.02363814685249,-1.12,2.5,8.15,13.26,4.4,"NA (ECCC AES NA; station_id 10890)","",10890,"",4,2016-04-01,"DATE: Apr-01<br>Value: 4.4 °C<br>Anomaly: -1.3 °C<br>Weather station: NA (ECCC AES NA; station_id 10890)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.1 to 13.3 °C","Historical daily maximum<br>17.5 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 5.7 °C<br>Period: 1991-2020","3051R4R","CROWSNEST",1994,2026
"04-01","TMIN",2001-04-01,-5.7037037037037,-18.4,4.4,5.66110083623871,-14.3,-7.9,-2,-0.0199999999999985,-12.3,"NA (ECCC AES NA; station_id 10890)","",10890,"",4,2017-04-01,"DATE: Apr-01<br>Value: -12.3 °C<br>Anomaly: -6.6 °C<br>Weather station: NA (ECCC AES NA; station_id 10890)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-14.3 to 0.0 °C","Historical daily maximum<br>4.4 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -5.7 °C<br>Period: 1991-2020","3051R4R","CROWSNEST",1994,2026
"04-01","VPD",2001-04-01,0.551686738299757,0.0541696137347321,1.59143379222062,0.329217750315809,0.284246402330649,0.398082436238718,0.618333051885294,0.987579379093472,0.598822955465746,"NA (ECCC AES NA; station_id 10890)","",10890,"",4,2016-04-01,"DATE: Apr-01<br>Value: 0.6 kPa<br>Anomaly: +0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 10890)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.0 kPa","Historical daily maximum<br>1.6 kPa<br>2016-04-01","DATE: Apr-01</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3051R4R","CROWSNEST",1994,2026
"04-02","TMAX",2001-04-02,5.26666666666667,-8.9,17.1,6.69684196526186,-5,2.15,8.6,11.64,2.4,"NA (ECCC AES NA; station_id 10890)","",10890,"",4,2013-04-02,"DATE: Apr-02<br>Value: 2.4 °C<br>Anomaly: -2.9 °C<br>Weather station: NA (ECCC AES NA; station_id 10890)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.0 to 11.6 °C","Historical daily maximum<br>17.1 °C<br>2013-04-02","DATE: Apr-02</b><br>Normal: 5.3 °C<br>Period: 1991-2020","3051R4R","CROWSNEST",1994,2026
"04-02","TMIN",2001-04-02,-7.32592592592593,-23.7,-0.8,5.86886128337796,-16.28,-8.8,-3.5,-1.9,-1.1,"NA (ECCC AES NA; station_id 10890)","",10890,"",4,2024-04-02,"DATE: Apr-02<br>Value: -1.1 °C<br>Anomaly: +6.2 °C<br>Weather station: NA (ECCC AES NA; station_id 10890)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-16.3 to -1.9 °C","Historical daily maximum<br>-0.8 °C<br>2024-04-02","DATE: Apr-02</b><br>Normal: -7.3 °C<br>Period: 1991-2020","3051R4R","CROWSNEST",1994,2026
"04-02","VPD",2001-04-02,0.587987562800986,0.13583576953735,1.54149008037895,0.355165777432879,0.228749601601326,0.293425245426292,0.739741217602793,1.02676432732691,0.162500111514597,"NA (ECCC AES NA; station_id 10890)","",10890,"",4,2013-04-02,"DATE: Apr-02<br>Value: 0.2 kPa<br>Anomaly: -0.4 kPa<br>Weather station: NA (ECCC AES NA; station_id 10890)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.0 kPa","Historical daily maximum<br>1.5 kPa<br>2013-04-02","DATE: Apr-02</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3051R4R","CROWSNEST",1994,2026
"04-03","TMAX",2001-04-03,6.96296296296296,-3.8,17.5,5.30566809743259,0.68,4.5,9.2,14.06,10,"NA (ECCC AES NA; station_id 10890)","",10890,"",4,2004-04-03,"DATE: Apr-03<br>Value: 10.0 °C<br>Anomaly: +3.0 °C<br>Weather station: NA (ECCC AES NA; station_id 10890)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>0.7 to 14.1 °C","Historical daily maximum<br>17.5 °C<br>2004-04-03","DATE: Apr-03</b><br>Normal: 7.0 °C<br>Period: 1991-2020","3051R4R","CROWSNEST",1994,2026
"04-03","TMIN",2001-04-03,-7.10740740740741,-23,-0.3,6.0169584653535,-16.1,-8.4,-3.5,-1.26,-2.1,"NA (ECCC AES NA; station_id 10890)","",10890,"",4,2024-04-03,"DATE: Apr-03<br>Value: -2.1 °C<br>Anomaly: +5.0 °C<br>Weather station: NA (ECCC AES NA; station_id 10890)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-16.1 to -1.3 °C","Historical daily maximum<br>-0.3 °C<br>2024-04-03","DATE: Apr-03</b><br>Normal: -7.1 °C<br>Period: 1991-2020","3051R4R","CROWSNEST",1994,2026
"04-03","VPD",2001-04-03,0.669671272694938,0.1978158694553,1.67842733394619,0.362706107784041,0.311678402332341,0.412743333690624,0.841301622557936,1.15082915521128,0.704443713076889,"NA (ECCC AES NA; station_id 10890)","",10890,"",4,2004-04-03,"DATE: Apr-03<br>Value: 0.7 kPa<br>Anomaly: +0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 10890)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.2 kPa","Historical daily maximum<br>1.7 kPa<br>2004-04-03","DATE: Apr-03</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","3051R4R","CROWSNEST",1994,2026
"04-04","TMAX",2001-04-04,6.55384615384615,-3.2,15.2,4.54860249036829,-0.1,4.925,8.425,12.4,11.3,"NA (ECCC AES NA; station_id 10890)","",10890,"",4,2004-04-04,"DATE: Apr-04<br>Value: 11.3 °C<br>Anomaly: +4.7 °C<br>Weather station: NA (ECCC AES NA; station_id 10890)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.1 to 12.4 °C","Historical daily maximum<br>15.2 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: 6.6 °C<br>Period: 1991-2020","3051R4R","CROWSNEST",1994,2026
