"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,38.4,14.6358008549811,65.4,2021-04-01,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2021","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-02",2001-04-02,41.075,13.8805319302492,67.4,2021-04-02,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2021","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-03",2001-04-03,44.225,12.7322098108171,69,2021-04-03,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2021","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-04",2001-04-04,46.325,11.623933642848,70.1,2021-04-04,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2021","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-05",2001-04-05,46.5,13.3558975737312,72.2,2021-04-05,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2021","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-06",2001-04-06,48.6,12.9681661515163,74.7,2021-04-06,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2021","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-07",2001-04-07,50.675,12.2548969803911,77.7,2021-04-07,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2021","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-08",2001-04-08,47.6833333333333,18.0289119656918,64,2015-04-08,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-09",2001-04-09,50.35,17.8794574861767,67.1,2015-04-09,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-10",2001-04-10,52.4166666666667,18.7430431538389,71,2015-04-10,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-11",2001-04-11,61.08,10.607167388139,73.6,2015-04-11,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-12",2001-04-12,55.2833333333333,21.3347056850257,75.7,2015-04-12,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-13",2001-04-13,45.5857142857143,26.3783641501533,78.2,2015-04-13,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-14",2001-04-14,43.8857142857143,29.1682149248932,79.7,2015-04-14,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-15",2001-04-15,46.3142857142857,28.9857682648703,82.2,2015-04-15,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-16",2001-04-16,49.1714285714286,28.9293803531816,85.7,2015-04-16,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-17",2001-04-17,46.5125,30.8716901059855,88.9,2015-04-17,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-18",2001-04-18,45.9222222222222,30.4937607461665,90.8,2015-04-18,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-19",2001-04-19,47.3,32.0815757094317,93.4,2015-04-19,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-20",2001-04-20,45.18,33.6520034074248,96.8,2015-04-20,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-21",2001-04-21,42.3,30.9564613610794,100,2015-04-21,17.7,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-22",2001-04-22,48.2090909090909,33.6994200111947,103.1,2015-04-22,20.4,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-23",2001-04-23,49.9916666666667,33.5852364300239,105.5,2015-04-23,21.7,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-24",2001-04-24,49.8666666666667,33.4395338520504,107.2,2015-04-24,21.7,205.1,2023-09-12,NA,4,"Daily record reached in 2015","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-25",2001-04-25,44.6769230769231,29.4396318434338,97.4,2019-04-25,21.8,205.1,2023-09-12,NA,4,"Daily record reached in 2019","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-26",2001-04-26,41.7466666666667,26.0006831412085,99.2,2023-04-26,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2023","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-27",2001-04-27,39.4466666666667,22.1861883247428,79.2,2020-04-27,NA,205.1,2023-09-12,NA,4,"Daily record reached in 2020","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-28",2001-04-28,36.2266666666667,24.3470580993934,82.1,2020-04-28,25.7,205.1,2023-09-12,NA,4,"Daily record reached in 2020","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-29",2001-04-29,36.5466666666667,26.5776185826309,85.3,2020-04-29,29.9,205.1,2023-09-12,NA,4,"Daily record reached in 2020","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","04-30",2001-04-30,38.3,27.2364776409453,88.7,2020-04-30,34.9,205.1,2023-09-12,NA,4,"Daily record reached in 2020","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","05-01",2001-05-01,39.25,27.7910297278336,91.2,2020-05-01,40.8,205.1,2023-09-12,NA,5,"Daily record reached in 2020","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","05-02",2001-05-02,41.175,28.9822589411753,96.1,2023-05-02,45.2,205.1,2023-09-12,NA,5,"Daily record reached in 2023","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","05-03",2001-05-03,43.0875,30.0782285604278,103.2,2023-05-03,50.5,205.1,2023-09-12,NA,5,"Daily record reached in 2023","30221LG","DRUMHELLER+EAST",1994,2026
"BUI","05-04",2001-05-04,42.75,28.8870443855603,110,2023-05-04,53.5,205.1,2023-09-12,NA,5,"Daily record reached in 2023","30221LG","DRUMHELLER+EAST",1994,2026
