"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"3012205","EDMONTON+INTL+A","04-01","BUI",1960,2026,24.82,10.3323279080757,43.2,1995-04-01,NA,172.4,2009-10-03,NA
"3012205","EDMONTON+INTL+A","04-02","BUI",1960,2026,27.1,8.70011494176945,44.4,1995-04-02,NA,172.4,2009-10-03,NA
"3012205","EDMONTON+INTL+A","04-03","BUI",1960,2026,22.55,4.50518220127296,27.6,2016-04-03,NA,172.4,2009-10-03,NA
"3012205","EDMONTON+INTL+A","04-04","BUI",1960,2026,21.2833333333333,5.36410912143542,29.7,2016-04-04,NA,172.4,2009-10-03,NA
"3012205","EDMONTON+INTL+A","04-05","BUI",1960,2026,24.9333333333333,10.8339589562942,45.3,1995-04-05,NA,172.4,2009-10-03,NA
"3012205","EDMONTON+INTL+A","04-06","BUI",1960,2026,25.2,12.1249054979135,46.1,1995-04-06,NA,172.4,2009-10-03,NA
"3012205","EDMONTON+INTL+A","04-07","BUI",1960,2026,30.2333333333333,9.18535065561825,46.3,1995-04-07,NA,172.4,2009-10-03,NA
"3012205","EDMONTON+INTL+A","04-08","BUI",1960,2026,23.2625,12.7689285264773,44,1995-04-08,NA,172.4,2009-10-03,NA
"3012205","EDMONTON+INTL+A","04-09","BUI",1960,2026,19.8111111111111,8.21164484808684,39.2,1984-04-09,NA,172.4,2009-10-03,NA
"3012205","EDMONTON+INTL+A","04-10","BUI",1960,2026,24.8,10.9428058559037,45.1,1995-04-10,NA,172.4,2009-10-03,NA
"3012205","EDMONTON+INTL+A","04-11","BUI",1960,2026,26.3555555555556,9.8065171074025,42.9,1984-04-11,NA,172.4,2009-10-03,NA
"3012205","EDMONTON+INTL+A","04-12","BUI",1960,2026,26.0818181818182,12.0532832192576,45.2,1984-04-12,NA,172.4,2009-10-03,NA
"3012205","EDMONTON+INTL+A","04-13","BUI",1960,2026,25.3,12.4906364929895,47.7,1984-04-13,NA,172.4,2009-10-03,NA
"3012205","EDMONTON+INTL+A","04-14","BUI",1960,2026,27.7,12.7084398902637,51.5,1984-04-14,NA,172.4,2009-10-03,NA
