"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,1.35,0,9.6,0,0,0.4,3.58,0,0,"NA (ECCC AES NA; station_id 50149)",NA,50149,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 50149)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.3 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 50149)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>1.3 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.4 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 3.6 mm","3012205","EDMONTON+INTL+A",2012,2026
"04-02",2001-04-02,1.425,0,9.6,0,0,0.55,3.58,1.1,1.1,"NA (ECCC AES NA; station_id 50149)",NA,50149,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 1.1 mm<br>Weather station: NA (ECCC AES NA; station_id 50149)",77.1929824561404,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 1.1 mm<br>Anomaly: -0.3 mm<br>Percent of normal: <b>77%</b><br>Weather station: NA (ECCC AES NA; station_id 50149)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>1.4 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 0.6 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 3.6 mm","3012205","EDMONTON+INTL+A",2012,2026
"04-03",2001-04-03,2.075,0,9.6,0,0.15,2.05,6.52,0,1.1,"NA (ECCC AES NA; station_id 50149)",NA,50149,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 50149)",53.0120481927711,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 1.1 mm<br>Anomaly: -1.0 mm<br>Percent of normal: <b>53%</b><br>Weather station: NA (ECCC AES NA; station_id 50149)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>2.1 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.2 to 2.0 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 6.5 mm","3012205","EDMONTON+INTL+A",2012,2026
"04-04",2001-04-04,2.325,0.2,10.2,0.2,0.2,2.65,6.7,0,1.1,"NA (ECCC AES NA; station_id 50149)",NA,50149,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 50149)",47.3118279569893,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 1.1 mm<br>Anomaly: -1.2 mm<br>Percent of normal: <b>47%</b><br>Weather station: NA (ECCC AES NA; station_id 50149)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>2.3 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.2 to 2.7 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.2 to 6.7 mm","3012205","EDMONTON+INTL+A",2012,2026
"04-05",2001-04-05,3.325,0.2,10.2,0.34,0.4,4.3,6.7,0,1.1,"NA (ECCC AES NA; station_id 50149)",NA,50149,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 50149)",33.0827067669173,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 1.1 mm<br>Anomaly: -2.2 mm<br>Percent of normal: <b>33%</b><br>Weather station: NA (ECCC AES NA; station_id 50149)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>3.3 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.4 to 4.3 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.3 to 6.7 mm","3012205","EDMONTON+INTL+A",2012,2026
"04-06",2001-04-06,3.725,0.2,10.2,0.34,0.55,5.75,7.4,0,1.1,"NA (ECCC AES NA; station_id 50149)",NA,50149,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 50149)",29.5302013422819,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 1.1 mm<br>Anomaly: -2.6 mm<br>Percent of normal: <b>30%</b><br>Weather station: NA (ECCC AES NA; station_id 50149)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>3.7 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.6 to 5.8 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.3 to 7.4 mm","3012205","EDMONTON+INTL+A",2012,2026
"04-07",2001-04-07,5.525,0.2,17.2,0.48,0.6,9.15,12.3,2.6,3.7,"NA (ECCC AES NA; station_id 50149)",NA,50149,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 2.6 mm<br>Weather station: NA (ECCC AES NA; station_id 50149)",66.9683257918552,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 3.7 mm<br>Anomaly: -1.8 mm<br>Percent of normal: <b>67%</b><br>Weather station: NA (ECCC AES NA; station_id 50149)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>5.5 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.6 to 9.2 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.5 to 12.3 mm","3012205","EDMONTON+INTL+A",2012,2026
"04-08",2001-04-08,6.525,0.2,25.2,0.48,0.6,9.15,14.7,0.2,3.9,"NA (ECCC AES NA; station_id 50149)",NA,50149,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 50149)",59.7701149425287,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 3.9 mm<br>Anomaly: -2.6 mm<br>Percent of normal: <b>60%</b><br>Weather station: NA (ECCC AES NA; station_id 50149)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>6.5 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.6 to 9.2 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.5 to 14.7 mm","3012205","EDMONTON+INTL+A",2012,2026
"04-09",2001-04-09,6.55,0.2,25.2,0.48,0.6,9.15,14.7,0,3.9,"NA (ECCC AES NA; station_id 50149)",NA,50149,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 50149)",59.5419847328244,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 3.9 mm<br>Anomaly: -2.6 mm<br>Percent of normal: <b>60%</b><br>Weather station: NA (ECCC AES NA; station_id 50149)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>6.6 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.6 to 9.2 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.5 to 14.7 mm","3012205","EDMONTON+INTL+A",2012,2026
"04-10",2001-04-10,6.9625,0.2,26,0.48,0.6,10.425,15.57,0,3.9,"NA (ECCC AES NA; station_id 50149)",NA,50149,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 50149)",56.0143626570916,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 3.9 mm<br>Anomaly: -3.1 mm<br>Percent of normal: <b>56%</b><br>Weather station: NA (ECCC AES NA; station_id 50149)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>7.0 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.6 to 10.4 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.5 to 15.6 mm","3012205","EDMONTON+INTL+A",2012,2026
