"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,4.91,-10.9,17.7,7.23681377984887,-3.4,1.2,9.275,10.62,3.5,"EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","3012209",27214,"EDMONTON BLATCHFORD",4,2016-04-01,"DATE: Apr-01<br>Value: 3.5 °C<br>Anomaly: -1.4 °C<br>Weather station: EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.4 to 10.6 °C","Historical daily maximum<br>17.7 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 4.9 °C<br>Period: 1991-2020","3012209","EDMONTON+MUNICIPAL+CR10",1999,2026
"04-01","TMIN",2001-04-01,-4.98095238095238,-19.2,2.4,6.69392403957642,-16.5,-6.3,0.6,1.6,-8.5,"EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","3012209",27214,"EDMONTON BLATCHFORD",4,2017-04-01,"DATE: Apr-01<br>Value: -8.5 °C<br>Anomaly: -3.5 °C<br>Weather station: EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-16.5 to 1.6 °C","Historical daily maximum<br>2.4 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -5.0 °C<br>Period: 1991-2020","3012209","EDMONTON+MUNICIPAL+CR10",1999,2026
"04-01","VPD",2001-04-01,0.50300579072954,0.124540498944625,1.3297711154769,0.304294120494684,0.166176565893065,0.325464330965361,0.63740822167705,0.753143317937976,0.463521451711191,"EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","3012209",27214,"EDMONTON BLATCHFORD",4,2016-04-01,"DATE: Apr-01<br>Value: 0.5 kPa<br>Anomaly: 0.0 kPa<br>Weather station: EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.3 kPa<br>2016-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","3012209","EDMONTON+MUNICIPAL+CR10",1999,2026
"04-02","TMAX",2001-04-02,5.12380952380952,-8,21.5,7.52402184751644,-4.7,-0.5,9.2,12,1.1,"EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","3012209",27214,"EDMONTON BLATCHFORD",4,2016-04-02,"DATE: Apr-02<br>Value: 1.1 °C<br>Anomaly: -4.0 °C<br>Weather station: EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-4.7 to 12.0 °C","Historical daily maximum<br>21.5 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 5.1 °C<br>Period: 1991-2020","3012209","EDMONTON+MUNICIPAL+CR10",1999,2026
"04-02","TMIN",2001-04-02,-5.5047619047619,-20.8,3.9,6.53096288386913,-17.7,-7.1,-2.1,0.4,-2.5,"EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","3012209",27214,"EDMONTON BLATCHFORD",4,2016-04-02,"DATE: Apr-02<br>Value: -2.5 °C<br>Anomaly: +3.0 °C<br>Weather station: EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-17.7 to 0.4 °C","Historical daily maximum<br>3.9 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: -5.5 °C<br>Period: 1991-2020","3012209","EDMONTON+MUNICIPAL+CR10",1999,2026
"04-02","VPD",2001-04-02,0.540320477393104,0.0991249886096542,1.75686496078645,0.375372591013295,0.214804493532879,0.317460823818792,0.627090387154152,0.948303687152975,0.153256191373295,"EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","3012209",27214,"EDMONTON BLATCHFORD",4,2016-04-02,"DATE: Apr-02<br>Value: 0.2 kPa<br>Anomaly: -0.4 kPa<br>Weather station: EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.8 kPa<br>2016-04-02","DATE: Apr-02</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","3012209","EDMONTON+MUNICIPAL+CR10",1999,2026
"04-03","TMAX",2001-04-03,6.3,-6.9,17.7,7.79846138670956,-5.1,0,12.5,15.6,8.3,"EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","3012209",27214,"EDMONTON BLATCHFORD",4,2004-04-03,"DATE: Apr-03<br>Value: 8.3 °C<br>Anomaly: +2.0 °C<br>Weather station: EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.1 to 15.6 °C","Historical daily maximum<br>17.7 °C<br>2004-04-03","DATE: Apr-03</b><br>Normal: 6.3 °C<br>Period: 1991-2020","3012209","EDMONTON+MUNICIPAL+CR10",1999,2026
"04-03","TMIN",2001-04-03,-4.76190476190476,-18,2.5,6.00237254679149,-14,-10.2,0.3,1.6,-1.9,"EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","3012209",27214,"EDMONTON BLATCHFORD",4,2004-04-03,"DATE: Apr-03<br>Value: -1.9 °C<br>Anomaly: +2.9 °C<br>Weather station: EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-14.0 to 1.6 °C","Historical daily maximum<br>2.5 °C<br>2004-04-03","DATE: Apr-03</b><br>Normal: -4.8 °C<br>Period: 1991-2020","3012209","EDMONTON+MUNICIPAL+CR10",1999,2026
"04-03","VPD",2001-04-03,0.604442462115148,0.0851676048363981,1.29408230953222,0.358183037316542,0.259006849724114,0.297448227496444,0.902229052908163,1.12101005469455,0.56355936263577,"EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","3012209",27214,"EDMONTON BLATCHFORD",4,2004-04-03,"DATE: Apr-03<br>Value: 0.6 kPa<br>Anomaly: 0.0 kPa<br>Weather station: EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.1 kPa","Historical daily maximum<br>1.3 kPa<br>2004-04-03","DATE: Apr-03</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3012209","EDMONTON+MUNICIPAL+CR10",1999,2026
"04-04","TMAX",2001-04-04,5.69047619047619,-4.4,14.6,6.39921126092152,-4.1,2.2,11,14.1,8,"EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","3012209",27214,"EDMONTON BLATCHFORD",4,2004-04-04,"DATE: Apr-04<br>Value: 8.0 °C<br>Anomaly: +2.3 °C<br>Weather station: EDMONTON BLATCHFORD (ECCC AES 3012209; station_id 27214)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-4.1 to 14.1 °C","Historical daily maximum<br>14.6 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: 5.7 °C<br>Period: 1991-2020","3012209","EDMONTON+MUNICIPAL+CR10",1999,2026
