"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,55.6166666666667,24.1273634420893,85.8,2007-04-01,46.1,356,2007-08-05,NA,4,"Daily record reached in 2007","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-02",2001-04-02,57.4333333333333,24.4929105389022,88.9,2016-04-02,25,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-03",2001-04-03,57.25,24.4446108580194,91.3,2016-04-03,20.4,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-04",2001-04-04,59.2,24.8744045154854,94.8,2016-04-04,23.6,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-05",2001-04-05,46.4,33.2203552058072,96.8,2016-04-05,24.2,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-06",2001-04-06,47.8666666666667,34.4022479885642,99.3,2016-04-06,25.7,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-07",2001-04-07,49.7666666666667,34.8878011153851,102,2016-04-07,25.8,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-08",2001-04-08,48.9,31.1178762485845,106.1,2016-04-08,26.3,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-09",2001-04-09,50,32.1699307497614,108.8,2016-04-09,28,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-10",2001-04-10,48.01,29.3422884057956,110,2016-04-10,32.2,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-11",2001-04-11,48,30.5816575381024,113.4,2016-04-11,34.4,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-12",2001-04-12,49.34,31.2444910699826,117,2016-04-12,34.6,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-13",2001-04-13,45.7888888888889,32.0233682037213,119.4,2016-04-13,36.5,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-14",2001-04-14,46.4818181818182,33.1637699359352,121.1,2016-04-14,40.5,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-15",2001-04-15,40.1166666666667,22.2756219516613,85,2021-04-15,43.9,356,2007-08-05,NA,4,"Daily record reached in 2021","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-16",2001-04-16,41.4333333333333,22.018435801653,88.1,2021-04-16,43.9,356,2007-08-05,NA,4,"Daily record reached in 2021","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-17",2001-04-17,43.6083333333333,22.6685388041477,92,2021-04-17,44.6,356,2007-08-05,NA,4,"Daily record reached in 2021","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-18",2001-04-18,43.85,25.0416562043038,93.4,2016-04-18,47.6,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-19",2001-04-19,41.8166666666667,27.4274193706468,99,2016-04-19,52.6,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-20",2001-04-20,46.8272727272727,27.7056705715307,103.7,2016-04-20,58.3,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-21",2001-04-21,45.1083333333333,30.6842410940071,107.8,2016-04-21,64.3,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-22",2001-04-22,48.125,30.5418974525159,110.5,2016-04-22,67.5,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-23",2001-04-23,46.75,29.8252028873691,111.5,2016-04-23,69.1,356,2007-08-05,NA,4,"Daily record reached in 2016","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-24",2001-04-24,42.025,17.7517796803076,80.2,2019-04-24,59.9,356,2007-08-05,NA,4,"Daily record reached in 2019","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-25",2001-04-25,40.9166666666667,17.8472729433701,83,2019-04-25,52.4,356,2007-08-05,NA,4,"Daily record reached in 2019","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-26",2001-04-26,35.71875,18.4108380671096,85.3,2019-04-26,NA,356,2007-08-05,NA,4,"Daily record reached in 2019","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-27",2001-04-27,36.525,16.4632317605019,88.5,2019-04-27,53.6,356,2007-08-05,NA,4,"Daily record reached in 2019","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-28",2001-04-28,35.08125,13.145656760568,82.5,2023-04-28,56.5,356,2007-08-05,NA,4,"Daily record reached in 2023","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-29",2001-04-29,36.5,15.2435778827238,86,2023-04-29,59.9,356,2007-08-05,NA,4,"Daily record reached in 2023","3032550","FINCASTLE+AGDM",2004,2026
"BUI","04-30",2001-04-30,36.61875,16.5995670124254,90,2023-04-30,65,356,2007-08-05,NA,4,"Daily record reached in 2023","3032550","FINCASTLE+AGDM",2004,2026
"BUI","05-01",2001-05-01,36.625,17.4431075213105,94.6,2023-05-01,71.2,356,2007-08-05,NA,5,"Daily record reached in 2023","3032550","FINCASTLE+AGDM",2004,2026
