"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-02",2001-04-02,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-03",2001-04-03,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-04",2001-04-04,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-05",2001-04-05,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-08",2001-04-08,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-09",2001-04-09,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-10",2001-04-10,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-11",2001-04-11,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-12",2001-04-12,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-13",2001-04-13,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-14",2001-04-14,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-15",2001-04-15,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-16",2001-04-16,13.8,NA,13.8,2006-04-16,NA,193.2,2004-07-18,NA,4,"Daily record reached in 2006","3072723","FORT+VERMILION",2000,2026
"BUI","04-17",2001-04-17,16.4,NA,16.4,2006-04-17,NA,193.2,2004-07-18,NA,4,"Daily record reached in 2006","3072723","FORT+VERMILION",2000,2026
"BUI","04-18",2001-04-18,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-19",2001-04-19,NA,NA,NA,NA,NA,193.2,2004-07-18,NA,4,"Daily record reached in NA","3072723","FORT+VERMILION",2000,2026
"BUI","04-20",2001-04-20,21.65,9.26309883354377,28.2,2006-04-20,NA,193.2,2004-07-18,NA,4,"Daily record reached in 2006","3072723","FORT+VERMILION",2000,2026
"BUI","04-21",2001-04-21,30.6,15.6195390456953,47.8,2015-04-21,NA,193.2,2004-07-18,NA,4,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","04-22",2001-04-22,26.85,17.1060418176347,49.4,2015-04-22,NA,193.2,2004-07-18,NA,4,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","04-23",2001-04-23,28.1,20.3928909181607,50.4,2015-04-23,NA,193.2,2004-07-18,NA,4,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","04-24",2001-04-24,32.125,17.1897983311808,51,2015-04-24,NA,193.2,2004-07-18,NA,4,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","04-25",2001-04-25,25.625,17.6125665364251,51.6,2015-04-25,NA,193.2,2004-07-18,NA,4,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","04-26",2001-04-26,24.9,16.3762022459421,53.5,2015-04-26,NA,193.2,2004-07-18,NA,4,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","04-27",2001-04-27,25.55,18.6080627685958,56.1,2015-04-27,NA,193.2,2004-07-18,NA,4,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","04-28",2001-04-28,22.8142857142857,17.10140623569,59,2015-04-28,NA,193.2,2004-07-18,NA,4,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","04-29",2001-04-29,25.9,15.8121110906437,61.9,2015-04-29,NA,193.2,2004-07-18,NA,4,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","04-30",2001-04-30,32.1888888888889,19.7938402315243,65.7,2006-04-30,18.1,193.2,2004-07-18,NA,4,"Daily record reached in 2006","3072723","FORT+VERMILION",2000,2026
"BUI","05-01",2001-05-01,34.5272727272727,19.4826122945097,69.2,2006-05-01,21.4,193.2,2004-07-18,NA,5,"Daily record reached in 2006","3072723","FORT+VERMILION",2000,2026
"BUI","05-02",2001-05-02,36.0916666666667,19.3313903151106,72.5,2006-05-02,24.9,193.2,2004-07-18,NA,5,"Daily record reached in 2006","3072723","FORT+VERMILION",2000,2026
"BUI","05-03",2001-05-03,30.9357142857143,17.0546004234751,68.7,2015-05-03,27.7,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-04",2001-05-04,32.2571428571429,16.8397749978443,70.2,2015-05-04,29.8,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-05",2001-05-05,36.7142857142857,22.8564031473713,83.4,2006-05-05,32.2,193.2,2004-07-18,NA,5,"Daily record reached in 2006","3072723","FORT+VERMILION",2000,2026
"BUI","05-06",2001-05-06,39.0857142857143,23.6143000073084,86.3,2006-05-06,34.2,193.2,2004-07-18,NA,5,"Daily record reached in 2006","3072723","FORT+VERMILION",2000,2026
"BUI","05-07",2001-05-07,42.4076923076923,24.1940578633977,89.9,2006-05-07,37.5,193.2,2004-07-18,NA,5,"Daily record reached in 2006","3072723","FORT+VERMILION",2000,2026
"BUI","05-08",2001-05-08,42.7142857142857,24.9153600181728,92.8,2006-05-08,38.9,193.2,2004-07-18,NA,5,"Daily record reached in 2006","3072723","FORT+VERMILION",2000,2026
"BUI","05-09",2001-05-09,36.7352941176471,21.1293025552333,80.7,2015-05-09,41.6,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-10",2001-05-10,37.4705882352941,19.8270574186477,84,2015-05-10,44.5,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-11",2001-05-11,42.7555555555556,21.0047955931139,88.2,2015-05-11,48.2,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-12",2001-05-12,45.8789473684211,20.7295435697023,92.3,2015-05-12,52.5,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-13",2001-05-13,50.1166666666667,21.0640270436144,96.7,2015-05-13,56.5,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-14",2001-05-14,47.3944444444444,22.6110975413876,100.9,2015-05-14,56.5,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-15",2001-05-15,49.4388888888889,23.2212919255758,104.8,2015-05-15,58.6,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-16",2001-05-16,51.9117647058824,23.4591368754517,106.5,2015-05-16,61.1,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-17",2001-05-17,53.5352941176471,23.1539937477444,109.2,2015-05-17,63.5,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-18",2001-05-18,55.3611111111111,24.3945784451451,112.9,2015-05-18,67.2,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-19",2001-05-19,53.24375,26.6593065363674,117.3,2015-05-19,70.8,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-20",2001-05-20,53.5611111111111,27.1442581706332,121.9,2015-05-20,73.5,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-21",2001-05-21,51.321052631579,27.5906300308108,128.6,2015-05-21,76.8,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-22",2001-05-22,51.9235294117647,31.3387046918775,135.3,2015-05-22,81.1,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-23",2001-05-23,57.33125,31.2499539999661,140.1,2015-05-23,85.3,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-24",2001-05-24,58.16875,32.8166770357187,146.2,2015-05-24,73.2,193.2,2004-07-18,NA,5,"Daily record reached in 2015","3072723","FORT+VERMILION",2000,2026
"BUI","05-25",2001-05-25,54.7157894736842,23.4283129557639,94.8,2025-05-25,75.6,193.2,2004-07-18,NA,5,"Daily record reached in 2025","3072723","FORT+VERMILION",2000,2026
"BUI","05-26",2001-05-26,52.1263157894737,24.6350211894743,98.4,2025-05-26,79.3,193.2,2004-07-18,NA,5,"Daily record reached in 2025","3072723","FORT+VERMILION",2000,2026
"BUI","05-27",2001-05-27,54.0263157894737,25.7137845026805,101.9,2025-05-27,84.2,193.2,2004-07-18,NA,5,"Daily record reached in 2025","3072723","FORT+VERMILION",2000,2026
"BUI","05-28",2001-05-28,57.1157894736842,27.0405305494855,106.5,2025-05-28,88.3,193.2,2004-07-18,NA,5,"Daily record reached in 2025","3072723","FORT+VERMILION",2000,2026
"BUI","05-29",2001-05-29,59.64,28.0038794304985,111.8,2025-05-29,93.2,193.2,2004-07-18,NA,5,"Daily record reached in 2025","3072723","FORT+VERMILION",2000,2026
"BUI","05-30",2001-05-30,61.1894736842105,29.5023519728483,115.3,2025-05-30,54.7,193.2,2004-07-18,NA,5,"Daily record reached in 2025","3072723","FORT+VERMILION",2000,2026
"BUI","05-31",2001-05-31,62.4315789473684,31.4580505970796,118.2,2025-05-31,58.5,193.2,2004-07-18,NA,5,"Daily record reached in 2025","3072723","FORT+VERMILION",2000,2026
"BUI","06-01",2001-06-01,61.23,30.4905179393615,120.7,2025-06-01,63.7,193.2,2004-07-18,NA,6,"Daily record reached in 2025","3072723","FORT+VERMILION",2000,2026
"BUI","06-02",2001-06-02,61.605,31.3689164787793,124,2003-06-02,68,193.2,2004-07-18,NA,6,"Daily record reached in 2003","3072723","FORT+VERMILION",2000,2026
"BUI","06-03",2001-06-03,55.7684210526316,26.6739584328898,126.6,2025-06-03,69.6,193.2,2004-07-18,NA,6,"Daily record reached in 2025","3072723","FORT+VERMILION",2000,2026
"BUI","06-04",2001-06-04,54.2947368421053,28.8486370501125,130.6,2003-06-04,72.8,193.2,2004-07-18,NA,6,"Daily record reached in 2003","3072723","FORT+VERMILION",2000,2026
"BUI","06-05",2001-06-05,54.6473684210526,26.2916836961604,132.2,2003-06-05,75.5,193.2,2004-07-18,NA,6,"Daily record reached in 2003","3072723","FORT+VERMILION",2000,2026
"BUI","06-06",2001-06-06,58.2842105263158,25.9712290206318,135.7,2003-06-06,77.3,193.2,2004-07-18,NA,6,"Daily record reached in 2003","3072723","FORT+VERMILION",2000,2026
"BUI","06-07",2001-06-07,61.775,28.5345566121612,139.7,2003-06-07,80,193.2,2004-07-18,NA,6,"Daily record reached in 2003","3072723","FORT+VERMILION",2000,2026
"BUI","06-08",2001-06-08,65.721052631579,30.3387830076614,142.9,2003-06-08,84,193.2,2004-07-18,NA,6,"Daily record reached in 2003","3072723","FORT+VERMILION",2000,2026
