"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.22962962962963,0,6,0,0,0,0,NA,0,"GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","307KPFP",10932,"GARDEN RIVER","",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.2 mm<br>Percent of normal: <b>0%</b><br>Weather station: GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.2 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 0.0 mm","307KPFP","GARDEN+RIVER",1994,2026
"04-02",2001-04-02,0.22962962962963,0,6,0,0,0,0,NA,0,"GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","307KPFP",10932,"GARDEN RIVER","",0,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.2 mm<br>Percent of normal: <b>0%</b><br>Weather station: GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>0.2 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 0.0 mm","307KPFP","GARDEN+RIVER",1994,2026
"04-03",2001-04-03,0.288888888888889,0,6.6,0,0,0,0,NA,0,"GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","307KPFP",10932,"GARDEN RIVER","",0,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.3 mm<br>Percent of normal: <b>0%</b><br>Weather station: GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>0.3 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 0.0 mm","307KPFP","GARDEN+RIVER",1994,2026
"04-04",2001-04-04,0.296296296296296,0,6.8,0,0,0,0,NA,0,"GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","307KPFP",10932,"GARDEN RIVER","",0,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.3 mm<br>Percent of normal: <b>0%</b><br>Weather station: GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>0.3 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 0.0 mm","307KPFP","GARDEN+RIVER",1994,2026
"04-05",2001-04-05,0.362962962962963,0,6.8,0,0,0,0.480000000000003,NA,0,"GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","307KPFP",10932,"GARDEN RIVER","",0,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.4 mm<br>Percent of normal: <b>0%</b><br>Weather station: GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>0.4 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 0.5 mm","307KPFP","GARDEN+RIVER",1994,2026
"04-06",2001-04-06,0.362962962962963,0,6.8,0,0,0,0.480000000000003,NA,0,"GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","307KPFP",10932,"GARDEN RIVER","",0,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.4 mm<br>Percent of normal: <b>0%</b><br>Weather station: GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>0.4 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 0.5 mm","307KPFP","GARDEN+RIVER",1994,2026
"04-07",2001-04-07,0.362962962962963,0,6.8,0,0,0,0.480000000000003,NA,0,"GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","307KPFP",10932,"GARDEN RIVER","",0,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.4 mm<br>Percent of normal: <b>0%</b><br>Weather station: GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>0.4 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 0.5 mm","307KPFP","GARDEN+RIVER",1994,2026
"04-08",2001-04-08,0.362962962962963,0,6.8,0,0,0,0.480000000000003,NA,0,"GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","307KPFP",10932,"GARDEN RIVER","",0,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.4 mm<br>Percent of normal: <b>0%</b><br>Weather station: GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>0.4 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 0.5 mm","307KPFP","GARDEN+RIVER",1994,2026
"04-09",2001-04-09,0.511111111111111,0,6.8,0,0,0,0.800000000000004,NA,0,"GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","307KPFP",10932,"GARDEN RIVER","",0,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.5 mm<br>Percent of normal: <b>0%</b><br>Weather station: GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>0.5 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 0.8 mm","307KPFP","GARDEN+RIVER",1994,2026
"04-10",2001-04-10,0.511111111111111,0,6.8,0,0,0,0.800000000000004,NA,0,"GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","307KPFP",10932,"GARDEN RIVER","",0,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.5 mm<br>Percent of normal: <b>0%</b><br>Weather station: GARDEN RIVER (ECCC AES 307KPFP; station_id 10932)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>0.5 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 0.8 mm","307KPFP","GARDEN+RIVER",1994,2026
