"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"3063135","HENDRICKSON+CREEK","04-01","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-02","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-03","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-04","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-05","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-06","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-07","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-08","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-09","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-10","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-11","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-12","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-13","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-14","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-15","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-16","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-17","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-18","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-19","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-20","BUI",1995,2026,10.5,NA,10.5,2010-04-20,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-21","BUI",1995,2026,13.1,NA,13.1,2010-04-21,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-22","BUI",1995,2026,14,NA,14,2010-04-22,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-23","BUI",1995,2026,15,NA,15,2010-04-23,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-24","BUI",1995,2026,15.7,NA,15.7,2010-04-24,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-25","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-26","BUI",1995,2026,7.5,NA,7.5,2010-04-26,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-27","BUI",1995,2026,8.2,NA,8.2,2010-04-27,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-28","BUI",1995,2026,NA,NA,NA,NA,NA,180.9,2006-09-09,NA
"3063135","HENDRICKSON+CREEK","04-29","BUI",1995,2026,4.3,NA,4.3,2010-04-29,NA,180.9,2006-09-09,NA
