"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.688,0,7.4,0,0,0,1.6,0,0,"NA (ECCC AES NA; station_id 26870)",NA,26870,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 26870)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.7 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.7 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 1.6 mm","3063135","HENDRICKSON+CREEK",1995,2026
"04-02",2001-04-02,1.424,0,11.1,0,0,0.8,5.52,0,0,"NA (ECCC AES NA; station_id 26870)",NA,26870,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 26870)",0,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.4 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>1.4 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 0.8 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 5.5 mm","3063135","HENDRICKSON+CREEK",1995,2026
"04-03",2001-04-03,2.7,0,17.7,0,0,3,10.58,0,0,"NA (ECCC AES NA; station_id 26870)",NA,26870,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 26870)",0,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -2.7 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>2.7 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 3.0 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 10.6 mm","3063135","HENDRICKSON+CREEK",1995,2026
"04-04",2001-04-04,3.072,0,18.4,0,0,3,11.84,2.4,2.4,"NA (ECCC AES NA; station_id 26870)",NA,26870,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 2.4 mm<br>Weather station: NA (ECCC AES NA; station_id 26870)",78.125,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 2.4 mm<br>Anomaly: -0.7 mm<br>Percent of normal: <b>78%</b><br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>3.1 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 3.0 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 11.8 mm","3063135","HENDRICKSON+CREEK",1995,2026
"04-05",2001-04-05,3.752,0,19.1,0,0,3.9,12.68,1.6,4,"NA (ECCC AES NA; station_id 26870)",NA,26870,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 1.6 mm<br>Weather station: NA (ECCC AES NA; station_id 26870)",106.609808102345,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 4.0 mm<br>Anomaly: +0.2 mm<br>Percent of normal: <b>107%</b><br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>3.8 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.0 to 3.9 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 12.7 mm","3063135","HENDRICKSON+CREEK",1995,2026
"04-06",2001-04-06,4.036,0,19.1,0,0,4.5,13.36,5.3,9.3,"NA (ECCC AES NA; station_id 26870)",NA,26870,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 5.3 mm<br>Weather station: NA (ECCC AES NA; station_id 26870)",230.426164519326,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 9.3 mm<br>Anomaly: +5.3 mm<br>Percent of normal: <b>230%</b><br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>4.0 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.0 to 4.5 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 13.4 mm","3063135","HENDRICKSON+CREEK",1995,2026
"04-07",2001-04-07,4.272,0,19.1,0,0,5.8,13.36,1.3,10.6,"NA (ECCC AES NA; station_id 26870)",NA,26870,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 1.3 mm<br>Weather station: NA (ECCC AES NA; station_id 26870)",248.12734082397,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 10.6 mm<br>Anomaly: +6.3 mm<br>Percent of normal: <b>248%</b><br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>4.3 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.0 to 5.8 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 13.4 mm","3063135","HENDRICKSON+CREEK",1995,2026
"04-08",2001-04-08,4.924,0,20.9,0,0,8.2,15.1,6.4,17,"NA (ECCC AES NA; station_id 26870)",NA,26870,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 6.4 mm<br>Weather station: NA (ECCC AES NA; station_id 26870)",345.247766043867,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 17.0 mm<br>Anomaly: +12.1 mm<br>Percent of normal: <b>345%</b><br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>4.9 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.0 to 8.2 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 15.1 mm","3063135","HENDRICKSON+CREEK",1995,2026
"04-09",2001-04-09,6.384,0,28.1,0,0.7,8.2,19.02,0.1,17.1,"NA (ECCC AES NA; station_id 26870)",NA,26870,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.1 mm<br>Weather station: NA (ECCC AES NA; station_id 26870)",267.857142857143,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 17.1 mm<br>Anomaly: +10.7 mm<br>Percent of normal: <b>268%</b><br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>6.4 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.7 to 8.2 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 19.0 mm","3063135","HENDRICKSON+CREEK",1995,2026
"04-10",2001-04-10,7.352,0,28.8,0,0.7,10.3,21.68,0,17.1,"NA (ECCC AES NA; station_id 26870)",NA,26870,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 26870)",232.589771490751,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 17.1 mm<br>Anomaly: +9.7 mm<br>Percent of normal: <b>233%</b><br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>7.4 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.7 to 10.3 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 21.7 mm","3063135","HENDRICKSON+CREEK",1995,2026
