"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,3.38095238095238,-11.8,15.7,6.20496728819895,-3.6,-1.4,6.6,8.2,2.6,"NA (ECCC AES NA; station_id 26870)",NA,26870,"",4,2016-04-01,"DATE: Apr-01<br>Value: 2.6 °C<br>Anomaly: -0.8 °C<br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.6 to 8.2 °C","Historical daily maximum<br>15.7 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 3.4 °C<br>Period: 1991-2020","3063135","HENDRICKSON+CREEK",1995,2026
"04-01","TMIN",2001-04-01,-12.6619047619048,-25.1,-3.6,7.267976072503,-24.1,-18.4,-8.1,-4.9,-17,"NA (ECCC AES NA; station_id 26870)",NA,26870,"",4,2024-04-01,"DATE: Apr-01<br>Value: -17.0 °C<br>Anomaly: -4.3 °C<br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-24.1 to -4.9 °C","Historical daily maximum<br>-3.6 °C<br>2024-04-01","DATE: Apr-01</b><br>Normal: -12.7 °C<br>Period: 1991-2020","3063135","HENDRICKSON+CREEK",1995,2026
"04-01","VPD",2001-04-01,0.57783624588378,0.165281595647654,1.31561043663765,0.302042913477002,0.224016155061218,0.42092993399344,0.720089976271923,0.831633320363621,0.575412168562153,"NA (ECCC AES NA; station_id 26870)",NA,26870,"",4,2016-04-01,"DATE: Apr-01<br>Value: 0.6 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.8 kPa","Historical daily maximum<br>1.3 kPa<br>2016-04-01","DATE: Apr-01</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3063135","HENDRICKSON+CREEK",1995,2026
"04-02","TMAX",2001-04-02,3.97272727272727,-6.8,13.1,5.97512158220048,-4.22,0.575,9.4,11.05,5.1,"NA (ECCC AES NA; station_id 26870)",NA,26870,"",4,2024-04-02,"DATE: Apr-02<br>Value: 5.1 °C<br>Anomaly: +1.1 °C<br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-4.2 to 11.0 °C","Historical daily maximum<br>13.1 °C<br>2024-04-02","DATE: Apr-02</b><br>Normal: 4.0 °C<br>Period: 1991-2020","3063135","HENDRICKSON+CREEK",1995,2026
"04-02","TMIN",2001-04-02,-12.75,-31.9,-3.4,8.33876489655393,-28.33,-15.125,-7.975,-4.26,-5.9,"NA (ECCC AES NA; station_id 26870)",NA,26870,"",4,2013-04-02,"DATE: Apr-02<br>Value: -5.9 °C<br>Anomaly: +6.8 °C<br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-28.3 to -4.3 °C","Historical daily maximum<br>-3.4 °C<br>2013-04-02","DATE: Apr-02</b><br>Normal: -12.8 °C<br>Period: 1991-2020","3063135","HENDRICKSON+CREEK",1995,2026
"04-02","VPD",2001-04-02,0.604877587582698,0.109407761709684,1.20323526062913,0.308607054616368,0.271004880587491,0.405232041620666,0.819478411599741,1.01165100153148,0.485172284664725,"NA (ECCC AES NA; station_id 26870)",NA,26870,"",4,2024-04-02,"DATE: Apr-02<br>Value: 0.5 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.0 kPa","Historical daily maximum<br>1.2 kPa<br>2024-04-02","DATE: Apr-02</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3063135","HENDRICKSON+CREEK",1995,2026
"04-03","TMAX",2001-04-03,4.45,-6.4,18.3,5.78370041376544,-2.92,1.525,8.125,10.91,10.1,"NA (ECCC AES NA; station_id 26870)",NA,26870,"",4,2004-04-03,"DATE: Apr-03<br>Value: 10.1 °C<br>Anomaly: +5.6 °C<br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.9 to 10.9 °C","Historical daily maximum<br>18.3 °C<br>2004-04-03","DATE: Apr-03</b><br>Normal: 4.4 °C<br>Period: 1991-2020","3063135","HENDRICKSON+CREEK",1995,2026
"04-03","TMIN",2001-04-03,-12.1090909090909,-26.2,-3,6.65839313454824,-22.52,-16.575,-7.675,-4.44,-8.5,"NA (ECCC AES NA; station_id 26870)",NA,26870,"",4,2000-04-03,"DATE: Apr-03<br>Value: -8.5 °C<br>Anomaly: +3.6 °C<br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-22.5 to -4.4 °C","Historical daily maximum<br>-3.0 °C<br>2000-04-03","DATE: Apr-03</b><br>Normal: -12.1 °C<br>Period: 1991-2020","3063135","HENDRICKSON+CREEK",1995,2026
"04-03","VPD",2001-04-03,0.630961154694977,0.156064964828888,1.75561905478151,0.34406019727484,0.245090228893527,0.398057552710644,0.792689595821779,0.932651266239471,0.914655881478082,"NA (ECCC AES NA; station_id 26870)",NA,26870,"",4,2004-04-03,"DATE: Apr-03<br>Value: 0.9 kPa<br>Anomaly: +0.3 kPa<br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.8 kPa<br>2004-04-03","DATE: Apr-03</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3063135","HENDRICKSON+CREEK",1995,2026
"04-04","TMAX",2001-04-04,3.515,-7.1,10.3,4.65835695000761,-1.1,0.525,6.575,9.72,3.1,"NA (ECCC AES NA; station_id 26870)",NA,26870,"",4,2025-04-04,"DATE: Apr-04<br>Value: 3.1 °C<br>Anomaly: -0.4 °C<br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.1 to 9.7 °C","Historical daily maximum<br>10.3 °C<br>2025-04-04","DATE: Apr-04</b><br>Normal: 3.5 °C<br>Period: 1991-2020","3063135","HENDRICKSON+CREEK",1995,2026
"04-04","TMIN",2001-04-04,-10.5333333333333,-31.2,-2.2,6.68575600312585,-16.2,-15.5,-5.2,-4,-4.7,"NA (ECCC AES NA; station_id 26870)",NA,26870,"",4,2004-04-04,"DATE: Apr-04<br>Value: -4.7 °C<br>Anomaly: +5.8 °C<br>Weather station: NA (ECCC AES NA; station_id 26870)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-16.2 to -4.0 °C","Historical daily maximum<br>-2.2 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: -10.5 °C<br>Period: 1991-2020","3063135","HENDRICKSON+CREEK",1995,2026
