"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,21.5,NA,21.5,2012-04-01,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2012","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-02",2001-04-02,23.5,NA,23.5,2012-04-02,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2012","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-03",2001-04-03,27.2,NA,27.2,2012-04-03,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2012","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-04",2001-04-04,29.6,NA,29.6,2012-04-04,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2012","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-05",2001-04-05,26.95,4.31335136523794,30,2012-04-05,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2012","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-06",2001-04-06,28.05,4.59619407771256,31.3,2012-04-06,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2012","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-07",2001-04-07,30.4,3.67695526217005,33,2012-04-07,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2012","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-08",2001-04-08,26.9,9.70721381241806,33.8,2012-04-08,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2012","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-09",2001-04-09,27.2666666666667,13.224724319748,35.2,2012-04-09,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2012","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-10",2001-04-10,28.9666666666667,14.6936494218874,37.5,2012-04-10,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2012","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-11",2001-04-11,40.75,0.353553390593274,41,2012-04-11,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2012","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-12",2001-04-12,42.65,0.0707106781186558,42.7,2004-04-12,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2004","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-13",2001-04-13,32.05,15.2027957955108,42.8,2004-04-13,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2004","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-14",2001-04-14,24.5,14.4249783362056,34.7,2004-04-14,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2004","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-15",2001-04-15,10.6,NA,10.6,2010-04-15,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2010","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-16",2001-04-16,12.65,0.353553390593274,12.9,2010-04-16,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2010","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-17",2001-04-17,16.1,2.59422435421457,41.1,2021-04-17,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2021","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-18",2001-04-18,22.05,5.31946112559032,35.6,2021-04-18,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2021","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-19",2001-04-19,26.425,6.42151332112091,36.8,2021-04-19,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2021","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-20",2001-04-20,26.96,6.80903811121659,39,2021-04-20,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2021","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-21",2001-04-21,28.2666666666667,8.20650148764178,43.4,2021-04-21,16.5,224.4,2011-10-12,NA,4,"Daily record reached in 2021","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-22",2001-04-22,29.3571428571429,9.10564973754521,43.8,2010-04-22,11.3,224.4,2011-10-12,NA,4,"Daily record reached in 2010","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-23",2001-04-23,30.475,7.78473781556854,44,2021-04-23,11.4,224.4,2011-10-12,NA,4,"Daily record reached in 2021","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-24",2001-04-24,31.2,7.74670436840264,45.5,2021-04-24,7.5,224.4,2011-10-12,NA,4,"Daily record reached in 2021","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-25",2001-04-25,29.6777777777778,11.5683596263448,47.3,2020-04-25,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2020","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-26",2001-04-26,27.4545454545455,13.5593040851191,50.2,2021-04-26,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2021","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-27",2001-04-27,29.5833333333333,13.6432356421737,50.5,2021-04-27,NA,224.4,2011-10-12,NA,4,"Daily record reached in 2021","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-28",2001-04-28,29.0666666666667,12.7233738616863,53,2020-04-28,8.7,224.4,2011-10-12,NA,4,"Daily record reached in 2020","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-29",2001-04-29,26.5916666666667,12.7454418471384,55.9,2020-04-29,12.6,224.4,2011-10-12,NA,4,"Daily record reached in 2020","3013340","HOLDEN+AGDM",2002,2026
"BUI","04-30",2001-04-30,26.3,13.5548716502424,58.6,2020-04-30,17.8,224.4,2011-10-12,NA,4,"Daily record reached in 2020","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-01",2001-05-01,27.2636363636364,14.2914150962928,61.4,2021-05-01,22.1,224.4,2011-10-12,NA,5,"Daily record reached in 2021","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-02",2001-05-02,30.2153846153846,13.8928546474945,63.5,2020-05-02,26.7,224.4,2011-10-12,NA,5,"Daily record reached in 2020","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-03",2001-05-03,32.4714285714286,13.9480039140665,66.7,2020-05-03,31.2,224.4,2011-10-12,NA,5,"Daily record reached in 2020","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-04",2001-05-04,30.85,13.697150180856,67.4,2021-05-04,32.5,224.4,2011-10-12,NA,5,"Daily record reached in 2021","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-05",2001-05-05,31.5133333333333,15.3990197585369,69.8,2021-05-05,34,224.4,2011-10-12,NA,5,"Daily record reached in 2021","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-06",2001-05-06,34.4357142857143,15.2051411924164,73.7,2021-05-06,37.6,224.4,2011-10-12,NA,5,"Daily record reached in 2021","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-07",2001-05-07,35.7533333333333,16.1350491019956,76.6,2021-05-07,42.6,224.4,2011-10-12,NA,5,"Daily record reached in 2021","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-08",2001-05-08,36.4466666666667,16.1508012479995,70.6,2016-05-08,47.1,224.4,2011-10-12,NA,5,"Daily record reached in 2016","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-09",2001-05-09,38.16,16.3205304535641,72.1,2016-05-09,49.6,224.4,2011-10-12,NA,5,"Daily record reached in 2016","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-10",2001-05-10,37.675,17.201065858448,74.4,2016-05-10,54.7,224.4,2011-10-12,NA,5,"Daily record reached in 2016","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-11",2001-05-11,40.85,16.9843457336454,76.6,2016-05-11,58.9,224.4,2011-10-12,NA,5,"Daily record reached in 2016","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-12",2001-05-12,43.64375,17.5074448449795,78.6,2016-05-12,63.3,224.4,2011-10-12,NA,5,"Daily record reached in 2016","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-13",2001-05-13,45.0875,19.9865246270247,81.2,2016-05-13,67.1,224.4,2011-10-12,NA,5,"Daily record reached in 2016","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-14",2001-05-14,48.1625,20.6322037924535,84.7,2016-05-14,59.9,224.4,2011-10-12,NA,5,"Daily record reached in 2016","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-15",2001-05-15,48.9529411764706,22.7185254155903,88.6,2016-05-15,61.7,224.4,2011-10-12,NA,5,"Daily record reached in 2016","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-16",2001-05-16,51.2,23.2765708385063,93,2016-05-16,62.4,224.4,2011-10-12,NA,5,"Daily record reached in 2016","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-17",2001-05-17,52.4411764705882,23.9532894093778,96.5,2016-05-17,64.8,224.4,2011-10-12,NA,5,"Daily record reached in 2016","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-18",2001-05-18,52.7647058823529,26.1545154126508,101,2016-05-18,67.4,224.4,2011-10-12,NA,5,"Daily record reached in 2016","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-19",2001-05-19,54.4,25.9578986052415,103,2013-05-19,71.7,224.4,2011-10-12,NA,5,"Daily record reached in 2013","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-20",2001-05-20,51.7529411764706,21.8661587174982,102.4,2013-05-20,50.6,224.4,2011-10-12,NA,5,"Daily record reached in 2013","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-21",2001-05-21,46.5058823529412,17.8122314221238,79.8,2023-05-21,53.9,224.4,2011-10-12,NA,5,"Daily record reached in 2023","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-22",2001-05-22,45.1058823529412,22.2537207728347,83,2023-05-22,57.9,224.4,2011-10-12,NA,5,"Daily record reached in 2023","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-23",2001-05-23,45.6,25.1049048992423,87.4,2023-05-23,63.3,224.4,2011-10-12,NA,5,"Daily record reached in 2023","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-24",2001-05-24,46.4411764705882,27.2913461289364,90,2023-05-24,67.2,224.4,2011-10-12,NA,5,"Daily record reached in 2023","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-25",2001-05-25,43.4470588235294,28.7846772964163,91.3,2023-05-25,73.2,224.4,2011-10-12,NA,5,"Daily record reached in 2023","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-26",2001-05-26,43.6117647058824,28.8002361612049,95.7,2015-05-26,80.5,224.4,2011-10-12,NA,5,"Daily record reached in 2015","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-27",2001-05-27,45.7823529411765,28.0500943691398,98.8,2015-05-27,84.5,224.4,2011-10-12,NA,5,"Daily record reached in 2015","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-28",2001-05-28,47.5117647058823,28.1171185035234,103.7,2023-05-28,90.3,224.4,2011-10-12,NA,5,"Daily record reached in 2023","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-29",2001-05-29,46.6176470588235,27.381956542907,108,2023-05-29,93.2,224.4,2011-10-12,NA,5,"Daily record reached in 2023","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-30",2001-05-30,44.5941176470588,27.7722539278917,111.5,2023-05-30,95.4,224.4,2011-10-12,NA,5,"Daily record reached in 2023","3013340","HOLDEN+AGDM",2002,2026
"BUI","05-31",2001-05-31,46.7941176470588,27.9095743112519,102.8,2015-05-31,40.8,224.4,2011-10-12,NA,5,"Daily record reached in 2015","3013340","HOLDEN+AGDM",2002,2026
"BUI","06-01",2001-06-01,47.6529411764706,26.4307850253984,93.6,2011-06-01,15.5,224.4,2011-10-12,NA,6,"Daily record reached in 2011","3013340","HOLDEN+AGDM",2002,2026
"BUI","06-02",2001-06-02,49.5,26.7036982457487,96.6,2011-06-02,7.1,224.4,2011-10-12,NA,6,"Daily record reached in 2011","3013340","HOLDEN+AGDM",2002,2026
"BUI","06-03",2001-06-03,52.8176470588235,27.1760058529146,97.6,2011-06-03,7.8,224.4,2011-10-12,NA,6,"Daily record reached in 2011","3013340","HOLDEN+AGDM",2002,2026
"BUI","06-04",2001-06-04,54.6470588235294,26.7286390798114,101,2015-06-04,9.7,224.4,2011-10-12,NA,6,"Daily record reached in 2015","3013340","HOLDEN+AGDM",2002,2026
"BUI","06-05",2001-06-05,55.6647058823529,27.5431920167323,104.5,2015-06-05,12.6,224.4,2011-10-12,NA,6,"Daily record reached in 2015","3013340","HOLDEN+AGDM",2002,2026
"BUI","06-06",2001-06-06,53.9882352941177,25.7122996431898,109.5,2015-06-06,10.5,224.4,2011-10-12,NA,6,"Daily record reached in 2015","3013340","HOLDEN+AGDM",2002,2026
"BUI","06-07",2001-06-07,54.8235294117647,28.7258491913591,114.4,2015-06-07,13.2,224.4,2011-10-12,NA,6,"Daily record reached in 2015","3013340","HOLDEN+AGDM",2002,2026
"BUI","06-08",2001-06-08,53.9823529411765,31.9820503426164,118.7,2015-06-08,10.7,224.4,2011-10-12,NA,6,"Daily record reached in 2015","3013340","HOLDEN+AGDM",2002,2026
"BUI","06-09",2001-06-09,52.0823529411765,34.506996306802,123.2,2015-06-09,NA,224.4,2011-10-12,NA,6,"Daily record reached in 2015","3013340","HOLDEN+AGDM",2002,2026
"BUI","06-10",2001-06-10,49.0588235294118,35.9709094064831,127.3,2015-06-10,NA,224.4,2011-10-12,NA,6,"Daily record reached in 2015","3013340","HOLDEN+AGDM",2002,2026
"BUI","06-11",2001-06-11,45.0705882352941,37.7216742189733,130.8,2015-06-11,NA,224.4,2011-10-12,NA,6,"Daily record reached in 2015","3013340","HOLDEN+AGDM",2002,2026
"BUI","06-12",2001-06-12,41.6222222222222,34.824003816765,117.1,2009-06-12,NA,224.4,2011-10-12,NA,6,"Daily record reached in 2009","3013340","HOLDEN+AGDM",2002,2026
