"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,3.75882352941176,-13.3,15.7,6.98883563474001,-3.3,1,7.6,11.32,NA,NA,NA,NA,NA,4,2021-04-01,"","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.3 to 11.3 °C","Historical daily maximum<br>15.7 °C<br>2021-04-01","DATE: Apr-01</b><br>Normal: 3.8 °C<br>Period: 1991-2020","3013340","HOLDEN+AGDM",2002,2024
"04-01","TMIN",2001-04-01,-7.53888888888889,-25.6,1,7.49557821721964,-17.45,-9.35,-3.275,-1.04,NA,NA,NA,NA,NA,4,2017-04-01,"","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-17.4 to -1.0 °C","Historical daily maximum<br>1.0 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -7.5 °C<br>Period: 1991-2020","3013340","HOLDEN+AGDM",2002,2024
"04-01","VPD",2001-04-01,0.504852081243958,0.129406211788676,1.30137158907273,0.317346658807929,0.143681403765097,0.314003981884938,0.620342565025084,0.891083903449815,NA,NA,NA,NA,NA,4,2021-04-01,"","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.9 kPa","Historical daily maximum<br>1.3 kPa<br>2021-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","3013340","HOLDEN+AGDM",2002,2024
"04-02","TMAX",2001-04-02,4.57777777777778,-11.9,21.7,7.98539516540743,-5.33,-0.175,8.4,12.57,NA,NA,NA,NA,NA,4,2016-04-02,"","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.3 to 12.6 °C","Historical daily maximum<br>21.7 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 4.6 °C<br>Period: 1991-2020","3013340","HOLDEN+AGDM",2002,2024
"04-02","TMIN",2001-04-02,-8.06666666666667,-30.1,2,8.23264663326657,-18.82,-8.725,-3.7,-0.429999999999999,NA,NA,NA,NA,NA,4,2016-04-02,"","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-18.8 to -0.4 °C","Historical daily maximum<br>2.0 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: -8.1 °C<br>Period: 1991-2020","3013340","HOLDEN+AGDM",2002,2024
"04-02","VPD",2001-04-02,0.580128367376836,0.063615630880665,1.89032856007627,0.432168106968853,0.175235635526048,0.364457477789049,0.63339003283552,1.06715891489487,NA,NA,NA,NA,NA,4,2016-04-02,"","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.1 kPa","Historical daily maximum<br>1.9 kPa<br>2016-04-02","DATE: Apr-02</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3013340","HOLDEN+AGDM",2002,2024
"04-03","TMAX",2001-04-03,5.36111111111111,-8.2,18,7.87648315735548,-5.88,-0.275,11.175,13.71,NA,NA,NA,NA,NA,4,2012-04-03,"","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.9 to 13.7 °C","Historical daily maximum<br>18.0 °C<br>2012-04-03","DATE: Apr-03</b><br>Normal: 5.4 °C<br>Period: 1991-2020","3013340","HOLDEN+AGDM",2002,2024
"04-03","TMIN",2001-04-03,-7.95,-26.1,-1.1,7.76168947648718,-19.44,-11.175,-2.475,-1.86,NA,NA,NA,NA,NA,4,2019-04-03,"","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-19.4 to -1.9 °C","Historical daily maximum<br>-1.1 °C<br>2019-04-03","DATE: Apr-03</b><br>Normal: -8.0 °C<br>Period: 1991-2020","3013340","HOLDEN+AGDM",2002,2024
"04-03","VPD",2001-04-03,0.62461037983127,0.123728646526581,1.54817633433068,0.369604470636824,0.250473886243481,0.373744226634175,0.788257376454838,1.0887115664702,NA,NA,NA,NA,NA,4,2012-04-03,"","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.1 kPa","Historical daily maximum<br>1.5 kPa<br>2012-04-03","DATE: Apr-03</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3013340","HOLDEN+AGDM",2002,2024
"04-04","TMAX",2001-04-04,5.73529411764706,-8,15.5,6.59326751092266,-3.98,3.2,10.9,11.66,NA,NA,NA,NA,NA,4,2004-04-04,"","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-4.0 to 11.7 °C","Historical daily maximum<br>15.5 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: 5.7 °C<br>Period: 1991-2020","3013340","HOLDEN+AGDM",2002,2024
"04-04","TMIN",2001-04-04,-7.14444444444444,-22.9,0.2,6.3411097768935,-15.04,-11.15,-3.625,-1.02,NA,NA,NA,NA,NA,4,2005-04-04,"","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-15.0 to -1.0 °C","Historical daily maximum<br>0.2 °C<br>2005-04-04","DATE: Apr-04</b><br>Normal: -7.1 °C<br>Period: 1991-2020","3013340","HOLDEN+AGDM",2002,2024
"04-04","VPD",2001-04-04,0.586198693309134,0.129207679111844,1.17638502192132,0.290961970527759,0.272117126819288,0.350877581359128,0.86735930132003,0.907183255669623,NA,NA,NA,NA,NA,4,2004-04-04,"","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 0.9 kPa","Historical daily maximum<br>1.2 kPa<br>2004-04-04","DATE: Apr-04</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3013340","HOLDEN+AGDM",2002,2024
"04-05","TMAX",2001-04-05,5.0125,-12.6,15.6,8.19340181690934,-5.35,-1.5,11.525,13.4,NA,NA,NA,NA,NA,4,2004-04-05,"","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.3 to 13.4 °C","Historical daily maximum<br>15.6 °C<br>2004-04-05","DATE: Apr-05</b><br>Normal: 5.0 °C<br>Period: 1991-2020","3013340","HOLDEN+AGDM",2002,2024
