"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,12.2,NA,12.2,2012-04-01,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2012","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-02",2001-04-02,14.6,NA,14.6,2012-04-02,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2012","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-03",2001-04-03,20.6,2.9698484809835,22.7,2016-04-03,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-04",2001-04-04,23,2.40416305603426,24.7,2016-04-04,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-05",2001-04-05,24.55,3.88908729652601,27.3,2016-04-05,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-06",2001-04-06,26.5,5.65685424949238,30.5,2016-04-06,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-07",2001-04-07,28.65,6.85893577750951,33.5,2016-04-07,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-08",2001-04-08,30.75,7.84888527117068,36.3,2016-04-08,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-09",2001-04-09,32.65,8.1317279836453,38.4,2016-04-09,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-10",2001-04-10,34.4,6.78822509939086,39.2,2016-04-10,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-11",2001-04-11,29.4666666666667,13.3121498389003,41.2,2016-04-11,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-12",2001-04-12,31.5666666666667,13.763114957499,44.2,2016-04-12,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-13",2001-04-13,28.3333333333333,16.607929832864,47.5,2016-04-13,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-14",2001-04-14,29.7,17.0493401631852,49.3,2016-04-14,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-15",2001-04-15,31.0666666666667,17.7218321099522,51.3,2016-04-15,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-16",2001-04-16,33.5,18.0186014995615,53.8,2016-04-16,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-17",2001-04-17,35.8,19.5951524617697,57.5,2016-04-17,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-18",2001-04-18,37.9333333333333,21.6973116614325,61.8,2016-04-18,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-19",2001-04-19,50.5,22.2031529292576,66.2,2016-04-19,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-20",2001-04-20,37.275,23.1695741580778,69.5,2016-04-20,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-21",2001-04-21,27.725,9.45176350388293,41.1,2015-04-21,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2015","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-22",2001-04-22,33.4777777777778,19.2135874954274,74.1,2016-04-22,13.9,193.3,2002-07-29,NA,4,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-23",2001-04-23,37.61,22.4644138336367,85.9,2019-04-23,14.5,193.3,2002-07-29,NA,4,"Daily record reached in 2019","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-24",2001-04-24,38.63,21.7097034116596,88.4,2019-04-24,14.5,193.3,2002-07-29,NA,4,"Daily record reached in 2019","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-25",2001-04-25,36.7444444444444,22.3123906782258,90.4,2019-04-25,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2019","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-26",2001-04-26,33.0272727272727,22.0571118195058,90.9,2019-04-26,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2019","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-27",2001-04-27,29.7692307692308,14.6817565147694,59.3,2019-04-27,NA,193.3,2002-07-29,NA,4,"Daily record reached in 2019","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-28",2001-04-28,27.5857142857143,13.1336243250707,57,2024-04-28,17.4,193.3,2002-07-29,NA,4,"Daily record reached in 2024","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-29",2001-04-29,27.3545454545455,16.8957606301914,57.2,2024-04-29,21.3,193.3,2002-07-29,NA,4,"Daily record reached in 2024","3023402","HUSSAR+AGDM",2001,2026
"BUI","04-30",2001-04-30,26.2692307692308,17.3521557073554,59.8,2015-04-30,26.2,193.3,2002-07-29,NA,4,"Daily record reached in 2015","3023402","HUSSAR+AGDM",2001,2026
"BUI","05-01",2001-05-01,28.1230769230769,18.6424763128969,63.1,2015-05-01,32.2,193.3,2002-07-29,NA,5,"Daily record reached in 2015","3023402","HUSSAR+AGDM",2001,2026
"BUI","05-02",2001-05-02,29.3642857142857,19.3005223979861,64.8,2015-05-02,36.2,193.3,2002-07-29,NA,5,"Daily record reached in 2015","3023402","HUSSAR+AGDM",2001,2026
"BUI","05-03",2001-05-03,30.9642857142857,21.0152913976341,66.3,2015-05-03,41.3,193.3,2002-07-29,NA,5,"Daily record reached in 2015","3023402","HUSSAR+AGDM",2001,2026
"BUI","05-04",2001-05-04,29.8571428571429,22.7053607457227,72.5,2016-05-04,43.9,193.3,2002-07-29,NA,5,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","05-05",2001-05-05,32.6142857142857,23.5463162934038,75,2016-05-05,45.3,193.3,2002-07-29,NA,5,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","05-06",2001-05-06,37.1846153846154,23.190797246388,79.1,2016-05-06,48.8,193.3,2002-07-29,NA,5,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","05-07",2001-05-07,38.1142857142857,23.2736185128424,84.1,2016-05-07,53.2,193.3,2002-07-29,NA,5,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","05-08",2001-05-08,35.2375,24.9524581287429,86.9,2016-05-08,58.6,193.3,2002-07-29,NA,5,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
"BUI","05-09",2001-05-09,36.59375,26.1472616475735,88.2,2016-05-09,61.4,193.3,2002-07-29,NA,5,"Daily record reached in 2016","3023402","HUSSAR+AGDM",2001,2026
