"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.6,0,4.9,0,0,0.5,1.94000000000001,0,0,"NA (ECCC AES NA; station_id 10906)",NA,10906,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10906)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -0.6 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 10906)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.6 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.5 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 1.9 mm","3023722","LACOMBE+CDA+2",1994,2026
"04-02",2001-04-02,1.2037037037037,0,12.4,0,0,0.8,4.24,3.3,3.3,"NA (ECCC AES NA; station_id 10906)",NA,10906,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 3.3 mm<br>Weather station: NA (ECCC AES NA; station_id 10906)",274.153846153846,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 3.3 mm<br>Anomaly: +2.1 mm<br>Percent of normal: <b>274%</b><br>Weather station: NA (ECCC AES NA; station_id 10906)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>1.2 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 0.8 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 4.2 mm","3023722","LACOMBE+CDA+2",1994,2026
"04-03",2001-04-03,1.6,0,13.7,0,0,1.55,4.3,0,3.3,"NA (ECCC AES NA; station_id 10906)",NA,10906,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10906)",206.25,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 3.3 mm<br>Anomaly: +1.7 mm<br>Percent of normal: <b>206%</b><br>Weather station: NA (ECCC AES NA; station_id 10906)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>1.6 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 1.5 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 4.3 mm","3023722","LACOMBE+CDA+2",1994,2026
"04-04",2001-04-04,1.92222222222222,0,13.7,0,0,1.65,6.04,0,3.3,"NA (ECCC AES NA; station_id 10906)",NA,10906,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10906)",171.676300578035,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 3.3 mm<br>Anomaly: +1.4 mm<br>Percent of normal: <b>172%</b><br>Weather station: NA (ECCC AES NA; station_id 10906)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>1.9 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 1.6 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 6.0 mm","3023722","LACOMBE+CDA+2",1994,2026
"04-05",2001-04-05,2.48888888888889,0,13.7,0,0,3.45,7.38,1.1,4.4,"NA (ECCC AES NA; station_id 10906)",NA,10906,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 1.1 mm<br>Weather station: NA (ECCC AES NA; station_id 10906)",176.785714285714,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 4.4 mm<br>Anomaly: +1.9 mm<br>Percent of normal: <b>177%</b><br>Weather station: NA (ECCC AES NA; station_id 10906)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>2.5 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.0 to 3.4 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 7.4 mm","3023722","LACOMBE+CDA+2",1994,2026
"04-06",2001-04-06,3.17037037037037,0,13.7,0,0,5.25,8.46,1,5.4,"NA (ECCC AES NA; station_id 10906)",NA,10906,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 1.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10906)",170.327102803738,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 5.4 mm<br>Anomaly: +2.2 mm<br>Percent of normal: <b>170%</b><br>Weather station: NA (ECCC AES NA; station_id 10906)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>3.2 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.0 to 5.2 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 8.5 mm","3023722","LACOMBE+CDA+2",1994,2026
"04-07",2001-04-07,3.75555555555556,0,16.2,0,0.05,5.25,10.68,0.2,5.6,"NA (ECCC AES NA; station_id 10906)",NA,10906,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 10906)",149.112426035503,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 5.6 mm<br>Anomaly: +1.8 mm<br>Percent of normal: <b>149%</b><br>Weather station: NA (ECCC AES NA; station_id 10906)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>3.8 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.0 to 5.2 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 10.7 mm","3023722","LACOMBE+CDA+2",1994,2026
"04-08",2001-04-08,4.57777777777778,0,17.1,0,0.25,6.3,13.06,0,5.6,"NA (ECCC AES NA; station_id 10906)",NA,10906,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10906)",122.330097087379,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 5.6 mm<br>Anomaly: +1.0 mm<br>Percent of normal: <b>122%</b><br>Weather station: NA (ECCC AES NA; station_id 10906)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>4.6 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.2 to 6.3 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 13.1 mm","3023722","LACOMBE+CDA+2",1994,2026
"04-09",2001-04-09,4.80740740740741,0,17.1,0,0.55,6.35,13.22,0,5.6,"NA (ECCC AES NA; station_id 10906)",NA,10906,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10906)",116.486902927581,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 5.6 mm<br>Anomaly: +0.8 mm<br>Percent of normal: <b>116%</b><br>Weather station: NA (ECCC AES NA; station_id 10906)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>4.8 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.6 to 6.3 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 13.2 mm","3023722","LACOMBE+CDA+2",1994,2026
"04-10",2001-04-10,5.22592592592593,0,22.1,0,0.7,6.8,14.18,0,5.6,"NA (ECCC AES NA; station_id 10906)",NA,10906,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10906)",107.158043940468,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 5.6 mm<br>Anomaly: +0.4 mm<br>Percent of normal: <b>107%</b><br>Weather station: NA (ECCC AES NA; station_id 10906)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>5.2 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.7 to 6.8 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 14.2 mm","3023722","LACOMBE+CDA+2",1994,2026
