"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,43.45,15.394382092179,67.3,2015-04-01,37.5,332.3,2001-09-06,NA,4,"Daily record reached in 2015","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-02",2001-04-02,45.7666666666667,15.628137018425,68.7,2015-04-02,20.3,332.3,2001-09-06,NA,4,"Daily record reached in 2015","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-03",2001-04-03,44.4833333333333,19.9239972562402,70.5,2015-04-03,21.1,332.3,2001-09-06,NA,4,"Daily record reached in 2015","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-04",2001-04-04,46.6833333333333,19.2418727432302,72.4,2015-04-04,24.1,332.3,2001-09-06,NA,4,"Daily record reached in 2015","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-05",2001-04-05,45.2857142857143,14.0592115202606,58.5,2013-04-05,24.6,332.3,2001-09-06,NA,4,"Daily record reached in 2013","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-06",2001-04-06,47.2142857142857,13.2695677612886,58.9,2013-04-06,26,332.3,2001-09-06,NA,4,"Daily record reached in 2013","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-07",2001-04-07,49.5666666666667,13.5762537788105,61.8,2004-04-07,NA,332.3,2001-09-06,NA,4,"Daily record reached in 2004","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-08",2001-04-08,41.5,15.8825550701251,64.6,2004-04-08,NA,332.3,2001-09-06,NA,4,"Daily record reached in 2004","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-09",2001-04-09,43.7666666666667,17.6882729513087,67.2,2004-04-09,16.8,332.3,2001-09-06,NA,4,"Daily record reached in 2004","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-10",2001-04-10,45.11,18.7264192460219,70,2004-04-10,20.3,332.3,2001-09-06,NA,4,"Daily record reached in 2004","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-11",2001-04-11,43.8333333333333,20.9728540275425,74.6,2004-04-11,22.5,332.3,2001-09-06,NA,4,"Daily record reached in 2004","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-12",2001-04-12,42.9583333333333,20.1209279712503,80.1,2004-04-12,22.7,332.3,2001-09-06,NA,4,"Daily record reached in 2004","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-13",2001-04-13,41.8769230769231,20.8530235156341,81.9,2004-04-13,24.6,332.3,2001-09-06,NA,4,"Daily record reached in 2004","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-14",2001-04-14,38.7923076923077,19.9482439301668,66.7,2015-04-14,28.1,332.3,2001-09-06,NA,4,"Daily record reached in 2015","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-15",2001-04-15,34.1857142857143,18.6641514527328,69,2015-04-15,31.1,332.3,2001-09-06,NA,4,"Daily record reached in 2015","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-16",2001-04-16,34.4692307692308,17.4483229669494,73,2015-04-16,31,332.3,2001-09-06,NA,4,"Daily record reached in 2015","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-17",2001-04-17,35.9,17.2771970661198,76,2015-04-17,31.7,332.3,2001-09-06,NA,4,"Daily record reached in 2015","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-18",2001-04-18,36.825,16.0835941256922,65.3,2013-04-18,34.6,332.3,2001-09-06,NA,4,"Daily record reached in 2013","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-19",2001-04-19,39.8470588235294,17.3438432032472,68,2013-04-19,39.7,332.3,2001-09-06,NA,4,"Daily record reached in 2013","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-20",2001-04-20,44.3411764705882,16.3596706424491,71,2013-04-20,45.4,332.3,2001-09-06,NA,4,"Daily record reached in 2013","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-21",2001-04-21,42.3684210526316,19.636022810459,73.6,2004-04-21,51.7,332.3,2001-09-06,NA,4,"Daily record reached in 2004","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-22",2001-04-22,43.925,20.3795272658359,77.6,2004-04-22,54.9,332.3,2001-09-06,NA,4,"Daily record reached in 2004","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-23",2001-04-23,45.76,20.7650110573177,83.7,2004-04-23,54.5,332.3,2001-09-06,NA,4,"Daily record reached in 2004","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-24",2001-04-24,48.9238095238095,20.4218487106801,87.6,2004-04-24,54.5,332.3,2001-09-06,NA,4,"Daily record reached in 2004","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-25",2001-04-25,47.455,21.0218050955118,91.3,2004-04-25,NA,332.3,2001-09-06,NA,4,"Daily record reached in 2004","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-26",2001-04-26,47.6047619047619,23.1243697468812,97.6,2004-04-26,NA,332.3,2001-09-06,NA,4,"Daily record reached in 2004","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-27",2001-04-27,48.0095238095238,25.3859588111599,104.2,2004-04-27,56,332.3,2001-09-06,NA,4,"Daily record reached in 2004","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-28",2001-04-28,46.6190476190476,23.7667965667992,87.9,2015-04-28,59.2,332.3,2001-09-06,NA,4,"Daily record reached in 2015","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-29",2001-04-29,43.9636363636364,25.3564032573073,91.6,2015-04-29,62.6,332.3,2001-09-06,NA,4,"Daily record reached in 2015","3033890","LETHBRIDGE+CDA",1994,2026
"BUI","04-30",2001-04-30,44.0090909090909,23.7554386573026,95.7,2015-04-30,67,332.3,2001-09-06,NA,4,"Daily record reached in 2015","3033890","LETHBRIDGE+CDA",1994,2026
