"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,16.5,NA,16.5,2012-04-01,NA,129,2007-11-12,NA,4,"Daily record reached in 2012","3054843","NORDEGG+CS",2000,2026
"BUI","04-02",2001-04-02,17.8,NA,17.8,2012-04-02,NA,129,2007-11-12,NA,4,"Daily record reached in 2012","3054843","NORDEGG+CS",2000,2026
"BUI","04-03",2001-04-03,20.1,NA,20.1,2012-04-03,NA,129,2007-11-12,NA,4,"Daily record reached in 2012","3054843","NORDEGG+CS",2000,2026
"BUI","04-04",2001-04-04,20.1,NA,20.1,2012-04-04,NA,129,2007-11-12,NA,4,"Daily record reached in 2012","3054843","NORDEGG+CS",2000,2026
"BUI","04-05",2001-04-05,NA,NA,NA,NA,NA,129,2007-11-12,NA,4,"Daily record reached in NA","3054843","NORDEGG+CS",2000,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,NA,129,2007-11-12,NA,4,"Daily record reached in NA","3054843","NORDEGG+CS",2000,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,NA,129,2007-11-12,NA,4,"Daily record reached in NA","3054843","NORDEGG+CS",2000,2026
"BUI","04-08",2001-04-08,NA,NA,NA,NA,NA,129,2007-11-12,NA,4,"Daily record reached in NA","3054843","NORDEGG+CS",2000,2026
"BUI","04-09",2001-04-09,13.4,NA,13.4,2012-04-09,NA,129,2007-11-12,NA,4,"Daily record reached in 2012","3054843","NORDEGG+CS",2000,2026
"BUI","04-10",2001-04-10,15.2,NA,15.2,2012-04-10,NA,129,2007-11-12,NA,4,"Daily record reached in 2012","3054843","NORDEGG+CS",2000,2026
"BUI","04-11",2001-04-11,17.9,NA,17.9,2012-04-11,NA,129,2007-11-12,NA,4,"Daily record reached in 2012","3054843","NORDEGG+CS",2000,2026
"BUI","04-12",2001-04-12,19,NA,19,2012-04-12,NA,129,2007-11-12,NA,4,"Daily record reached in 2012","3054843","NORDEGG+CS",2000,2026
"BUI","04-13",2001-04-13,NA,NA,NA,NA,NA,129,2007-11-12,NA,4,"Daily record reached in NA","3054843","NORDEGG+CS",2000,2026
"BUI","04-14",2001-04-14,7.5,NA,7.5,2007-04-14,NA,129,2007-11-12,NA,4,"Daily record reached in 2007","3054843","NORDEGG+CS",2000,2026
"BUI","04-15",2001-04-15,8.5,NA,8.5,2007-04-15,NA,129,2007-11-12,NA,4,"Daily record reached in 2007","3054843","NORDEGG+CS",2000,2026
"BUI","04-16",2001-04-16,10,NA,10,2007-04-16,NA,129,2007-11-12,NA,4,"Daily record reached in 2007","3054843","NORDEGG+CS",2000,2026
"BUI","04-17",2001-04-17,11,NA,11,2007-04-17,NA,129,2007-11-12,NA,4,"Daily record reached in 2007","3054843","NORDEGG+CS",2000,2026
"BUI","04-18",2001-04-18,8.13333333333333,1.15036226178249,9.3,2015-04-18,NA,129,2007-11-12,NA,4,"Daily record reached in 2015","3054843","NORDEGG+CS",2000,2026
"BUI","04-19",2001-04-19,10.2666666666667,1.36137185711081,11.8,2015-04-19,NA,129,2007-11-12,NA,4,"Daily record reached in 2015","3054843","NORDEGG+CS",2000,2026
"BUI","04-20",2001-04-20,12.9333333333333,1.98578280114753,15.1,2015-04-20,NA,129,2007-11-12,NA,4,"Daily record reached in 2015","3054843","NORDEGG+CS",2000,2026
"BUI","04-21",2001-04-21,15.9,2.69072480941474,18.9,2015-04-21,9.2,129,2007-11-12,NA,4,"Daily record reached in 2015","3054843","NORDEGG+CS",2000,2026
"BUI","04-22",2001-04-22,18.5333333333333,2.26789182575654,21.1,2015-04-22,8.2,129,2007-11-12,NA,4,"Daily record reached in 2015","3054843","NORDEGG+CS",2000,2026
"BUI","04-23",2001-04-23,19.65,2.47487373415292,21.4,2012-04-23,NA,129,2007-11-12,NA,4,"Daily record reached in 2012","3054843","NORDEGG+CS",2000,2026
"BUI","04-24",2001-04-24,14.2,10.3237590053236,21.5,2012-04-24,NA,129,2007-11-12,NA,4,"Daily record reached in 2012","3054843","NORDEGG+CS",2000,2026
"BUI","04-25",2001-04-25,17.0333333333333,7.59758733634128,22.7,2005-04-25,NA,129,2007-11-12,NA,4,"Daily record reached in 2005","3054843","NORDEGG+CS",2000,2026
"BUI","04-26",2001-04-26,17.7666666666667,7.0938940881108,23.4,2005-04-26,NA,129,2007-11-12,NA,4,"Daily record reached in 2005","3054843","NORDEGG+CS",2000,2026
"BUI","04-27",2001-04-27,16.5666666666667,4.67047463683653,20.7,2012-04-27,NA,129,2007-11-12,NA,4,"Daily record reached in 2012","3054843","NORDEGG+CS",2000,2026
"BUI","04-28",2001-04-28,16.86,6.81454327156267,22,2012-04-28,5.8,129,2007-11-12,NA,4,"Daily record reached in 2012","3054843","NORDEGG+CS",2000,2026
"BUI","04-29",2001-04-29,23.35,1.06066017177982,24.1,2001-04-29,7.3,129,2007-11-12,NA,4,"Daily record reached in 2001","3054843","NORDEGG+CS",2000,2026
"BUI","04-30",2001-04-30,24.2,2.82842712474619,26.2,2001-04-30,10,129,2007-11-12,NA,4,"Daily record reached in 2001","3054843","NORDEGG+CS",2000,2026
"BUI","05-01",2001-05-01,17.675,6.29040274280325,26.9,2023-05-01,12.2,129,2007-11-12,NA,5,"Daily record reached in 2023","3054843","NORDEGG+CS",2000,2026
"BUI","05-02",2001-05-02,15.1666666666667,8.53432285929392,29.7,2023-05-02,14.7,129,2007-11-12,NA,5,"Daily record reached in 2023","3054843","NORDEGG+CS",2000,2026
"BUI","05-03",2001-05-03,16.2444444444444,8.50031045184691,33.3,2023-05-03,17.6,129,2007-11-12,NA,5,"Daily record reached in 2023","3054843","NORDEGG+CS",2000,2026
