"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,NA,270.2,2017-09-14,NA,4,"Daily record reached in NA","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-02",2001-04-02,37,NA,37,2015-04-02,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2015","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-03",2001-04-03,38.4,NA,38.4,2015-04-03,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2015","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-04",2001-04-04,30,11.6863167850268,40.3,2015-04-04,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2015","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-05",2001-04-05,40.4,NA,40.4,2015-04-05,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2015","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,NA,270.2,2017-09-14,NA,4,"Daily record reached in NA","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-07",2001-04-07,NA,NA,16,2025-04-07,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2025","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-08",2001-04-08,30.25,18.7383297014435,43.5,2015-04-08,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2015","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-09",2001-04-09,30.55,13.6471608769004,40.2,2012-04-09,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2012","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-10",2001-04-10,21.3,NA,26.6,2025-04-10,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2025","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-11",2001-04-11,45.4,NA,45.4,2012-04-11,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2012","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-12",2001-04-12,28.8333333333333,22.2390047738952,54.5,2015-04-12,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2015","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-13",2001-04-13,40.1666666666667,20.16564735716,56.7,2015-04-13,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2015","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-14",2001-04-14,35.95,21.2327577106696,59.8,2015-04-14,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2015","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-15",2001-04-15,34.7666666666667,23.4128881886309,61.8,2015-04-15,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2015","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-16",2001-04-16,33.1,13.8740765458462,49.1,2012-04-16,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2012","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-17",2001-04-17,29.15,3.04055915910216,31.3,1994-04-17,NA,270.2,2017-09-14,NA,4,"Daily record reached in 1994","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-18",2001-04-18,28.88,14.2195991504683,50.1,2012-04-18,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2012","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-19",2001-04-19,27.0333333333333,14.9844808607661,50.9,2012-04-19,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2012","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-20",2001-04-20,28.0666666666667,16.5351343105119,54.3,2012-04-20,NA,270.2,2017-09-14,NA,4,"Daily record reached in 2012","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-21",2001-04-21,21.94,15.2326294512799,41.7,1994-04-21,9.8,270.2,2017-09-14,NA,4,"Daily record reached in 1994","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-22",2001-04-22,26.1285714285714,18.5173535083278,62.5,2012-04-22,13,270.2,2017-09-14,NA,4,"Daily record reached in 2012","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-23",2001-04-23,31.4888888888889,20.6609804005306,69.8,2012-04-23,13.6,270.2,2017-09-14,NA,4,"Daily record reached in 2012","3044923","ONEFOUR+CDA",1994,2026
"BUI","04-24",2001-04-24,34.2666666666667,21.054928164209,74.2,2012-04-24,13.6,270.2,2017-09-14,NA,4,"Daily record reached in 2012","3044923","ONEFOUR+CDA",1994,2026
