"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,27.1666666666667,10.3181070615367,38.1,1993-04-01,NA,198.1,2025-06-12,NA,4,"Daily record reached in 1993","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-02",2001-04-02,28.24,11.7859238076614,40.9,1991-04-02,NA,198.1,2025-06-12,NA,4,"Daily record reached in 1991","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-03",2001-04-03,29.62,11.5897368391176,41.8,1991-04-03,NA,198.1,2025-06-12,NA,4,"Daily record reached in 1991","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-04",2001-04-04,26.35,9.16094973242404,42.6,1991-04-04,NA,198.1,2025-06-12,NA,4,"Daily record reached in 1991","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-05",2001-04-05,29.5,10.9230642831274,43.5,1991-04-05,NA,198.1,2025-06-12,NA,4,"Daily record reached in 1991","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-06",2001-04-06,27.3,12.4086663264027,44.3,1991-04-06,NA,198.1,2025-06-12,NA,4,"Daily record reached in 1991","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-07",2001-04-07,31.425,12.3799232630901,82.9,2025-04-07,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-08",2001-04-08,30.08,12.224033704142,84.7,2025-04-08,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-09",2001-04-09,31.18,12.3376253793021,86.5,2025-04-09,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-10",2001-04-10,28.5428571428571,13.6784327980044,88.8,2025-04-10,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-11",2001-04-11,32.4714285714286,13.9118312101264,90.3,2025-04-11,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-12",2001-04-12,32.2625,13.8514504139974,90.4,2025-04-12,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-13",2001-04-13,31.9428571428571,16.0523993162868,92.3,2025-04-13,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-14",2001-04-14,30.7333333333333,17.8552513283908,94.7,2025-04-14,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-15",2001-04-15,33.475,15.7323824369628,96.2,2025-04-15,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-16",2001-04-16,29.9818181818182,16.5924572129518,98.4,2025-04-16,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-17",2001-04-17,32.39,18.0287085875093,100.3,2025-04-17,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-18",2001-04-18,34.9,18.6272202256089,103.6,2025-04-18,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-19",2001-04-19,35.73,20.7437835400285,105.5,2025-04-19,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-20",2001-04-20,35.3333333333333,20.7361929237191,106.1,2025-04-20,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-21",2001-04-21,36.3846153846154,21.3516918203159,84.3,2025-04-21,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-22",2001-04-22,35.03125,21.4671134140884,86.5,2025-04-22,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-23",2001-04-23,36.06,23.182376311081,88.8,2025-04-23,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-24",2001-04-24,36.6733333333333,24.197268637675,91.9,2025-04-24,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-25",2001-04-25,35.9866666666667,24.0885529028288,95.8,2025-04-25,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-26",2001-04-26,34.5176470588235,24.6744360445715,97.3,2025-04-26,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-27",2001-04-27,37.35,24.6749277369465,97.9,2025-04-27,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-28",2001-04-28,34.7125,21.9021422087734,100.5,2025-04-28,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-29",2001-04-29,40.1176470588235,21.5261827576941,102.6,2025-04-29,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","04-30",2001-04-30,38.1705882352941,23.1425410420367,82.1,2025-04-30,NA,198.1,2025-06-12,NA,4,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-01",2001-05-01,38.9777777777778,23.8411052733214,86.6,2025-05-01,NA,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-02",2001-05-02,40.2105263157895,23.7360928811622,92.2,2025-05-02,52.9,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-03",2001-05-03,40.1333333333333,24.0161220359795,97,2025-05-03,56.4,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-04",2001-05-04,41.46,24.2314584568773,100.2,2025-05-04,58,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-05",2001-05-05,45.4444444444445,25.0941338873362,103.6,2025-05-05,61,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-06",2001-05-06,46.9777777777778,26.2187080840146,107.3,2025-05-06,64.4,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-07",2001-05-07,47.5263157894737,25.9517253141988,109.4,2025-05-07,68.7,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-08",2001-05-08,48.6842105263158,24.1574295716405,112.6,2025-05-08,70.1,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-09",2001-05-09,46.5,17.9072300730428,116.2,2025-05-09,73.4,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-10",2001-05-10,47.375,19.3517271091048,119.7,2025-05-10,77.8,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-11",2001-05-11,50.585,19.4350544662284,123.7,2025-05-11,81.6,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-12",2001-05-12,52.025,21.3706112761378,127.5,2025-05-12,85.7,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-13",2001-05-13,52.6473684210526,23.9069578068592,131.2,2025-05-13,89.8,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-14",2001-05-14,53.5263157894737,25.3131902837074,132,2025-05-14,69,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
"BUI","05-15",2001-05-15,51.64,24.9722667225696,134,2025-05-15,46.2,198.1,2025-06-12,NA,5,"Daily record reached in 2025","3075040","PEACE+RIVER+A",1954,2026
