"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,3.65555555555556,-10.8,19.6,7.80732854982851,-7.8,0.1,8.25,9.7,NA,NA,NA,NA,NA,4,2016-04-01,"","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-7.8 to 9.7 °C","Historical daily maximum<br>19.6 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 3.7 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-01","TMIN",2001-04-01,-9.17368421052632,-27.9,-0.2,8.68093966401636,-20.88,-15.1,-2,-1.14,NA,NA,NA,NA,NA,4,2011-04-01,"","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-20.9 to -1.1 °C","Historical daily maximum<br>-0.2 °C<br>2011-04-01","DATE: Apr-01</b><br>Normal: -9.2 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-01","VPD",2001-04-01,0.54593989536958,0.12724529211792,1.72153392651224,0.356368964087029,0.170871686786026,0.326933821887498,0.6310897672685,0.731524085681498,NA,NA,NA,NA,NA,4,2016-04-01,"","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>1.7 kPa<br>2016-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-02","TMAX",2001-04-02,4.29473684210526,-11,16.5,8.31314044712149,-6.98,-3.6,10.1,11.5,NA,NA,NA,NA,NA,4,2024-04-02,"","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-7.0 to 11.5 °C","Historical daily maximum<br>16.5 °C<br>2024-04-02","DATE: Apr-02</b><br>Normal: 4.3 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-02","TMIN",2001-04-02,-8.51578947368421,-27.4,1.2,8.70365588307546,-22.76,-11.2,-1.95,-1.38,NA,NA,NA,NA,NA,4,2024-04-02,"","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-22.8 to -1.4 °C","Historical daily maximum<br>1.2 °C<br>2024-04-02","DATE: Apr-02</b><br>Normal: -8.5 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-02","VPD",2001-04-02,0.565527368471969,0.100458639064142,1.2109273800443,0.319853566183602,0.183377051465564,0.315445729149657,0.803634154780171,0.925583826115332,NA,NA,NA,NA,NA,4,2024-04-02,"","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.2 kPa<br>2024-04-02","DATE: Apr-02</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-03","TMAX",2001-04-03,4.55263157894737,-8.7,15.7,7.33320972782592,-5.92,0.25,9.1,13.94,NA,NA,NA,NA,NA,4,2012-04-03,"","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-5.9 to 13.9 °C","Historical daily maximum<br>15.7 °C<br>2012-04-03","DATE: Apr-03</b><br>Normal: 4.6 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-03","TMIN",2001-04-03,-8.52105263157895,-31.8,0.6,9.4733883969411,-22.44,-13.6,-2.1,-0.600000000000001,NA,NA,NA,NA,NA,4,2008-04-03,"","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-22.4 to -0.6 °C","Historical daily maximum<br>0.6 °C<br>2008-04-03","DATE: Apr-03</b><br>Normal: -8.5 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-03","VPD",2001-04-03,0.552158548420895,0.0859321321013987,1.14574386615562,0.293508325842087,0.264925045245942,0.386760222756784,0.663622761745154,1.07635018244038,NA,NA,NA,NA,NA,4,2012-04-03,"","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.1 kPa","Historical daily maximum<br>1.1 kPa<br>2012-04-03","DATE: Apr-03</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-04","TMAX",2001-04-04,4.72352941176471,-4.5,14.8,6.07129819434904,-3.48,-1.2,9.3,11.2,NA,NA,NA,NA,NA,4,2006-04-04,"","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.5 to 11.2 °C","Historical daily maximum<br>14.8 °C<br>2006-04-04","DATE: Apr-04</b><br>Normal: 4.7 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-04","TMIN",2001-04-04,-7.75,-22.7,3,6.67913784503218,-15,-13.45,-2.65,-1.58,NA,NA,NA,NA,NA,4,2004-04-04,"","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-15.0 to -1.6 °C","Historical daily maximum<br>3.0 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: -7.8 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-04","VPD",2001-04-04,0.531901536159653,0.141202410628927,1.15610152357761,0.251132927202194,0.266824786720209,0.36259767255636,0.674550954355389,0.768276482396189,NA,NA,NA,NA,NA,4,2006-04-04,"","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 0.8 kPa","Historical daily maximum<br>1.2 kPa<br>2006-04-04","DATE: Apr-04</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-05","TMAX",2001-04-05,5.37333333333333,-4.5,16.1,6.26697314346826,-2.24,0.3,10.75,12.42,NA,NA,NA,NA,NA,4,2006-04-05,"","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.2 to 12.4 °C","Historical daily maximum<br>16.1 °C<br>2006-04-05","DATE: Apr-05</b><br>Normal: 5.4 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-05","TMIN",2001-04-05,-8.11111111111111,-20.3,0.4,6.30059650667056,-16.6,-13.125,-3.4,-1.54,NA,NA,NA,NA,NA,4,2004-04-05,"","DATE: Apr-05<br><b>Minimum temperature</b><br>10-90 percentile<br>-16.6 to -1.5 °C","Historical daily maximum<br>0.4 °C<br>2004-04-05","DATE: Apr-05</b><br>Normal: -8.1 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-05","VPD",2001-04-05,0.580254215981665,0.135293131874137,1.28670161549218,0.325911882466979,0.227908588594099,0.368170631182604,0.782899069763708,0.954636320842716,NA,NA,NA,NA,NA,4,2006-04-05,"","DATE: Apr-05<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.0 kPa","Historical daily maximum<br>1.3 kPa<br>2006-04-05","DATE: Apr-05</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-06","TMAX",2001-04-06,7.42222222222222,-4.4,17.3,5.65139811494419,0.640000000000001,4.3,11.725,13.37,NA,NA,NA,NA,NA,4,2006-04-06,"","DATE: Apr-06<br><b>Maximum temperature</b><br>10-90 percentile<br>0.6 to 13.4 °C","Historical daily maximum<br>17.3 °C<br>2006-04-06","DATE: Apr-06</b><br>Normal: 7.4 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-06","TMIN",2001-04-06,-6.95555555555556,-21.3,3.8,7.02928514667051,-16.66,-11,-2.75,-0.329999999999999,NA,NA,NA,NA,NA,4,2006-04-06,"","DATE: Apr-06<br><b>Minimum temperature</b><br>10-90 percentile<br>-16.7 to -0.3 °C","Historical daily maximum<br>3.8 °C<br>2006-04-06","DATE: Apr-06</b><br>Normal: -7.0 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-06","VPD",2001-04-06,0.655500151031705,0.237282007666733,1.21842622128783,0.283100841707248,0.310340789056921,0.399337848428735,0.759908676313713,1.0053873810188,NA,NA,NA,NA,NA,4,2005-04-06,"","DATE: Apr-06<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.0 kPa","Historical daily maximum<br>1.2 kPa<br>2005-04-06","DATE: Apr-06</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-07","TMAX",2001-04-07,8.10555555555556,-3,17.3,5.6146313295995,-0.29,5.675,11.425,14.54,NA,NA,NA,NA,NA,4,2006-04-07,"","DATE: Apr-07<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.3 to 14.5 °C","Historical daily maximum<br>17.3 °C<br>2006-04-07","DATE: Apr-07</b><br>Normal: 8.1 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-07","TMIN",2001-04-07,-5.63888888888889,-15.9,1.1,4.90427651183894,-11.71,-7.425,-1.175,-0.24,NA,NA,NA,NA,NA,4,2017-04-07,"","DATE: Apr-07<br><b>Minimum temperature</b><br>10-90 percentile<br>-11.7 to -0.2 °C","Historical daily maximum<br>1.1 °C<br>2017-04-07","DATE: Apr-07</b><br>Normal: -5.6 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-07","VPD",2001-04-07,0.721041385222789,0.312916099140965,1.38594870117233,0.326626948633973,0.370786718720504,0.456634754618657,0.872702429400562,1.1830294141744,NA,NA,NA,NA,NA,4,2006-04-07,"","DATE: Apr-07<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.4 to 1.2 kPa","Historical daily maximum<br>1.4 kPa<br>2006-04-07","DATE: Apr-07</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-08","TMAX",2001-04-08,9.13684210526316,-0.4,18,5.1961749314403,1.24,6.4,12.6,15.06,NA,NA,NA,NA,NA,4,2006-04-08,"","DATE: Apr-08<br><b>Maximum temperature</b><br>10-90 percentile<br>1.2 to 15.1 °C","Historical daily maximum<br>18.0 °C<br>2006-04-08","DATE: Apr-08</b><br>Normal: 9.1 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
"04-08","TMIN",2001-04-08,-4.75,-18.4,1.4,5.53047705632961,-11.74,-6.95,2.77555756156289e-17,1,NA,NA,NA,NA,NA,4,2014-04-08,"","DATE: Apr-08<br><b>Minimum temperature</b><br>10-90 percentile<br>-11.7 to 1.0 °C","Historical daily maximum<br>1.4 °C<br>2014-04-08","DATE: Apr-08</b><br>Normal: -4.8 °C<br>Period: 1991-2020","3075160","PEORIA+AGDM",2002,2024
