"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,34.075,7.81083648956158,51,2026-04-01,51,307.3,2018-09-08,NA,4,"Daily record reached in 2026","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-02",2001-04-02,36.8,6.45135644651572,42.8,2015-04-02,30.5,307.3,2018-09-08,NA,4,"Daily record reached in 2015","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-03",2001-04-03,38.725,7.39791637332206,45.2,2012-04-03,31.2,307.3,2018-09-08,NA,4,"Daily record reached in 2012","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-04",2001-04-04,40.85,7.96220237539003,48.3,2012-04-04,34,307.3,2018-09-08,NA,4,"Daily record reached in 2012","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-05",2001-04-05,38.925,7.72112901934253,49.3,2012-04-05,34.9,307.3,2018-09-08,NA,4,"Daily record reached in 2012","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-06",2001-04-06,39.175,7.83937710110525,49.8,2012-04-06,36.3,307.3,2018-09-08,NA,4,"Daily record reached in 2012","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-07",2001-04-07,35.32,13.5071092392118,51.3,2012-04-07,36.4,307.3,2018-09-08,NA,4,"Daily record reached in 2012","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-08",2001-04-08,32,13.310897790908,53.1,2012-04-08,30.5,307.3,2018-09-08,NA,4,"Daily record reached in 2012","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-09",2001-04-09,33.1,14.5683446783314,54.9,2012-04-09,31.4,307.3,2018-09-08,NA,4,"Daily record reached in 2012","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-10",2001-04-10,35.1428571428571,14.6662716397019,57.4,2023-04-10,35.3,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-11",2001-04-11,37.8428571428571,14.3584884467757,60.1,2012-04-11,37.7,307.3,2018-09-08,NA,4,"Daily record reached in 2012","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-12",2001-04-12,34.8571428571429,10.0639384508679,60.5,2023-04-12,37.9,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-13",2001-04-13,31.1,11.1210011539729,61.4,2023-04-13,40.1,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-14",2001-04-14,23.275,13.536907222215,62.6,2023-04-14,43.2,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-15",2001-04-15,22.075,11.5933170404333,64.8,2023-04-15,46,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-16",2001-04-16,25.6857142857143,12.1032266457377,67.7,2023-04-16,46,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-17",2001-04-17,26.2375,12.8781029547945,69.8,2023-04-17,46.4,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-18",2001-04-18,25.3666666666667,10.4153732530332,71.1,2023-04-18,48.9,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-19",2001-04-19,26.8,11.4357140378533,71.2,2023-04-19,53.6,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-20",2001-04-20,30.59,11.9765001380017,62.3,2023-04-20,59,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-21",2001-04-21,30.8363636363636,14.124112200579,65.1,2026-04-21,65.1,307.3,2018-09-08,NA,4,"Daily record reached in 2026","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-22",2001-04-22,34.0272727272727,14.1758309039781,68.9,2026-04-22,68.9,307.3,2018-09-08,NA,4,"Daily record reached in 2026","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-23",2001-04-23,32.6272727272727,10.1894151852882,63.8,2023-04-23,59.4,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-24",2001-04-24,35.1181818181818,9.95719018416523,66.4,2023-04-24,59.4,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-25",2001-04-25,32.2333333333333,12.6380617999995,69.2,2023-04-25,NA,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-26",2001-04-26,32.8384615384615,13.2043262141327,72,2023-04-26,NA,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-27",2001-04-27,30.9076923076923,13.2703592979782,73.7,2023-04-27,60.5,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-28",2001-04-28,29.6384615384615,15.8610391873472,76.8,2023-04-28,63.7,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-29",2001-04-29,27.9153846153846,18.0679664117579,80.3,2023-04-29,67.1,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","04-30",2001-04-30,26.9642857142857,16.920338564664,84.1,2023-04-30,71.5,307.3,2018-09-08,NA,4,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","05-01",2001-05-01,28.8928571428571,17.410848266602,88.4,2023-05-01,76.7,307.3,2018-09-08,NA,5,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","05-02",2001-05-02,32.02,17.4808548336254,92.3,2023-05-02,80.1,307.3,2018-09-08,NA,5,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","05-03",2001-05-03,32.5533333333333,18.2990580033379,96.9,2023-05-03,85.3,307.3,2018-09-08,NA,5,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","05-04",2001-05-04,35.0133333333333,19.9711887716375,101.4,2023-05-04,87.6,307.3,2018-09-08,NA,5,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","05-05",2001-05-05,37.4266666666667,21.5442888244746,105.4,2023-05-05,89.6,307.3,2018-09-08,NA,5,"Daily record reached in 2023","3035422","RAYMOND+AGDM",2004,2026
"BUI","05-06",2001-05-06,42.1642857142857,21.023232831354,94.6,2026-05-06,94.6,307.3,2018-09-08,NA,5,"Daily record reached in 2026","3035422","RAYMOND+AGDM",2004,2026
"BUI","05-07",2001-05-07,42.6571428571429,20.5705807212337,98.9,2026-05-07,98.9,307.3,2018-09-08,NA,5,"Daily record reached in 2026","3035422","RAYMOND+AGDM",2004,2026
"BUI","05-08",2001-05-08,41.2933333333333,22.5895825126371,104.3,2026-05-08,104.3,307.3,2018-09-08,NA,5,"Daily record reached in 2026","3035422","RAYMOND+AGDM",2004,2026
