"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,1.51052631578947,0,16.3,0,0,0.6,3.28,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>1.5 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.6 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 3.3 mm","3065475","RICH+LAKE+AGDM",2001,2024
"04-02",2001-04-02,1.73684210526316,0,17.2,0,0,1.3,3.36,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>1.7 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 1.3 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 3.4 mm","3065475","RICH+LAKE+AGDM",2001,2024
"04-03",2001-04-03,1.94736842105263,0,18.6,0,0,1.75,3.44,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>1.9 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 1.8 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 3.4 mm","3065475","RICH+LAKE+AGDM",2001,2024
"04-04",2001-04-04,2.17368421052632,0,18.6,0,0,1.75,4.64,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>2.2 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 1.8 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 4.6 mm","3065475","RICH+LAKE+AGDM",2001,2024
"04-05",2001-04-05,3.05789473684211,0,18.6,0,0.55,3.95,7.62,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>3.1 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.6 to 4.0 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 7.6 mm","3065475","RICH+LAKE+AGDM",2001,2024
"04-06",2001-04-06,3.68947368421053,0,19.5,0,0.7,5.05,8.74,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>3.7 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.7 to 5.1 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 8.7 mm","3065475","RICH+LAKE+AGDM",2001,2024
"04-07",2001-04-07,4.07894736842105,0,21.1,0,0.85,5.7,9.22,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>4.1 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.8 to 5.7 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 9.2 mm","3065475","RICH+LAKE+AGDM",2001,2024
"04-08",2001-04-08,4.35263157894737,0,21.1,0,0.85,6.65,9.22,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>4.4 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.8 to 6.6 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 9.2 mm","3065475","RICH+LAKE+AGDM",2001,2024
"04-09",2001-04-09,5.55789473684211,0,21.1,0.48,1.2,9.15,10.72,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>5.6 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>1.2 to 9.1 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.5 to 10.7 mm","3065475","RICH+LAKE+AGDM",2001,2024
"04-10",2001-04-10,5.93684210526316,0,21.1,0.48,1.5,9.25,12.64,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>5.9 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>1.5 to 9.2 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.5 to 12.6 mm","3065475","RICH+LAKE+AGDM",2001,2024
