"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,1.4,0,20.3,0,0,0.375,1.43,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>1.4 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.4 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 1.4 mm","3025768","SCHULER+AGDM",2002,2024
"04-02",2001-04-02,2.26666666666667,0,30.3,0,0,0.775,3.17,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>2.3 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 0.8 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 3.2 mm","3025768","SCHULER+AGDM",2002,2024
"04-03",2001-04-03,2.51111111111111,0,30.7,0,0,1.1,3.51,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>2.5 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 1.1 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 3.5 mm","3025768","SCHULER+AGDM",2002,2024
"04-04",2001-04-04,2.97777777777778,0,30.7,0,0.1,2.55,5.43,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>3.0 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.1 to 2.5 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 5.4 mm","3025768","SCHULER+AGDM",2002,2024
"04-05",2001-04-05,3.26111111111111,0,30.7,0,0.4,2.9,6.31,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>3.3 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.4 to 2.9 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 6.3 mm","3025768","SCHULER+AGDM",2002,2024
"04-06",2001-04-06,3.65,0,30.7,0,0.4,3.55,6.59,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>3.6 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.4 to 3.6 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 6.6 mm","3025768","SCHULER+AGDM",2002,2024
"04-07",2001-04-07,3.76111111111111,0,31.3,0,0.4,3.575,6.59,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>3.8 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.4 to 3.6 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 6.6 mm","3025768","SCHULER+AGDM",2002,2024
"04-08",2001-04-08,3.86666666666667,0,31.3,0,0.4,3.575,6.59,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>3.9 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.4 to 3.6 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 6.6 mm","3025768","SCHULER+AGDM",2002,2024
"04-09",2001-04-09,4.66666666666667,0,31.3,0,0.575,5.625,8.63,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>4.7 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.6 to 5.6 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 8.6 mm","3025768","SCHULER+AGDM",2002,2024
"04-10",2001-04-10,4.83333333333333,0,31.3,0,0.575,7.125,8.94,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>4.8 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.6 to 7.1 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 8.9 mm","3025768","SCHULER+AGDM",2002,2024
