"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,8.9,-9.1,19.7,7.81997442451061,0.05,4.65,13.075,18.25,NA,NA,NA,NA,NA,4,2021-04-01,"","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>0.1 to 18.2 °C","Historical daily maximum<br>19.7 °C<br>2021-04-01","DATE: Apr-01</b><br>Normal: 8.9 °C<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
"04-01","TMIN",2001-04-01,-3.5875,-15.1,3,5.66837719281277,-12.75,-5.1,-0.05,2.15,NA,NA,NA,NA,NA,4,2017-04-01,"","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-12.8 to 2.1 °C","Historical daily maximum<br>3.0 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -3.6 °C<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
"04-01","VPD",2001-04-01,0.763298436383999,0.117878750851898,1.54283572916768,0.47319557050019,0.212414899076023,0.393437463880846,1.00523390294503,1.52802462480695,NA,NA,NA,NA,NA,4,2021-04-01,"","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.5 kPa","Historical daily maximum<br>1.5 kPa<br>2021-04-01","DATE: Apr-01</b><br>Normal: 0.8 kPa<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
"04-02","TMAX",2001-04-02,8.6625,-6,23.7,8.26025625106953,-2.65,5.025,12.35,17.6,NA,NA,NA,NA,NA,4,2016-04-02,"","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.6 to 17.6 °C","Historical daily maximum<br>23.7 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 8.7 °C<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
"04-02","TMIN",2001-04-02,-4.0375,-17.1,2.5,4.81606686000101,-9.15,-5.25,-1.45,0.5,NA,NA,NA,NA,NA,4,2006-04-02,"","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-9.1 to 0.5 °C","Historical daily maximum<br>2.5 °C<br>2006-04-02","DATE: Apr-02</b><br>Normal: -4.0 °C<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
"04-02","VPD",2001-04-02,0.793881775572058,0.127853213096747,2.22496594054257,0.622436638956987,0.167345050961424,0.379827220892299,0.969576927533164,1.57511429811194,NA,NA,NA,NA,NA,4,2016-04-02,"","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.6 kPa","Historical daily maximum<br>2.2 kPa<br>2016-04-02","DATE: Apr-02</b><br>Normal: 0.8 kPa<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
"04-03","TMAX",2001-04-03,8.58125,-4.7,18,6.57370709721691,0.3,4.05,14.125,15.4,NA,NA,NA,NA,NA,4,2012-04-03,"","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>0.3 to 15.4 °C","Historical daily maximum<br>18.0 °C<br>2012-04-03","DATE: Apr-03</b><br>Normal: 8.6 °C<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
"04-03","TMIN",2001-04-03,-4.65,-14.9,3.1,4.78204976971173,-11.35,-6.55,-2.475,0.65,NA,NA,NA,NA,NA,4,2024-04-03,"","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-11.3 to 0.6 °C","Historical daily maximum<br>3.1 °C<br>2024-04-03","DATE: Apr-03</b><br>Normal: -4.6 °C<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
"04-03","VPD",2001-04-03,0.74907929250711,0.187415355888689,1.61652416694936,0.398569859471084,0.335891466245519,0.432978476756182,1.02072950819509,1.19775637648728,NA,NA,NA,NA,NA,4,2012-04-03,"","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.2 kPa","Historical daily maximum<br>1.6 kPa<br>2012-04-03","DATE: Apr-03</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
"04-04","TMAX",2001-04-04,11.2266666666667,-2.5,21.5,6.85684920006128,1.76,8.25,15.05,19.52,NA,NA,NA,NA,NA,4,2012-04-04,"","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>1.8 to 19.5 °C","Historical daily maximum<br>21.5 °C<br>2012-04-04","DATE: Apr-04</b><br>Normal: 11.2 °C<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
"04-04","TMIN",2001-04-04,-3.2625,-9.6,2.2,3.59775392895808,-7.95,-5.65,-0.475,0.85,NA,NA,NA,NA,NA,4,2012-04-04,"","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-7.9 to 0.8 °C","Historical daily maximum<br>2.2 °C<br>2012-04-04","DATE: Apr-04</b><br>Normal: -3.3 °C<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
"04-04","VPD",2001-04-04,0.936707810438658,0.168591504540204,1.86768816904578,0.49735216648811,0.369716972380751,0.661620794380085,1.13252433034103,1.67519024731091,NA,NA,NA,NA,NA,4,2016-04-04,"","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.4 to 1.7 kPa","Historical daily maximum<br>1.9 kPa<br>2016-04-04","DATE: Apr-04</b><br>Normal: 0.9 kPa<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
"04-05","TMAX",2001-04-05,9.22666666666667,-4.7,16.6,6.40295318769468,0.620000000000001,5.75,13.95,15.06,NA,NA,NA,NA,NA,4,2017-04-05,"","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>0.6 to 15.1 °C","Historical daily maximum<br>16.6 °C<br>2017-04-05","DATE: Apr-05</b><br>Normal: 9.2 °C<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
"04-05","TMIN",2001-04-05,-2.95625,-12.4,6.6,4.76850343399268,-8.5,-6.125,-1.075,2.5,NA,NA,NA,NA,NA,4,2006-04-05,"","DATE: Apr-05<br><b>Minimum temperature</b><br>10-90 percentile<br>-8.5 to 2.5 °C","Historical daily maximum<br>6.6 °C<br>2006-04-05","DATE: Apr-05</b><br>Normal: -3.0 °C<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
"04-05","VPD",2001-04-05,0.731927316093781,0.195165517151305,1.39216674319071,0.381108866622111,0.274405550520418,0.363654166645328,1.03817936878404,1.1303154751666,NA,NA,NA,NA,NA,4,2017-04-05,"","DATE: Apr-05<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.1 kPa","Historical daily maximum<br>1.4 kPa<br>2017-04-05","DATE: Apr-05</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","3035845","SEVEN+PERSONS+AGDM",2004,2024
