"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.188888888888889,0,1.9,0,0,0,0.53,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.2 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.0 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 0.5 mm","3016124","STETTLER+AGDM",2003,2024
"04-02",2001-04-02,0.972222222222222,0,5.2,0,0,0.8,3.32,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>1.0 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 0.8 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 3.3 mm","3016124","STETTLER+AGDM",2003,2024
"04-03",2001-04-03,1.45,0,6,0,0.1,1.7,5.41,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>1.4 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.1 to 1.7 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 5.4 mm","3016124","STETTLER+AGDM",2003,2024
"04-04",2001-04-04,2.07777777777778,0,11.7,0,0.1,2.925,6.12,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>2.1 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.1 to 2.9 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 6.1 mm","3016124","STETTLER+AGDM",2003,2024
"04-05",2001-04-05,2.60555555555556,0,15.6,0,0.425,3.15,7.33,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>2.6 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.4 to 3.1 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 7.3 mm","3016124","STETTLER+AGDM",2003,2024
"04-06",2001-04-06,2.80555555555556,0,17.1,0,0.425,3.15,7.33,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>2.8 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.4 to 3.1 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 7.3 mm","3016124","STETTLER+AGDM",2003,2024
"04-07",2001-04-07,3.28888888888889,0,22.1,0,0.5,3.225,7.48,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>3.3 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.5 to 3.2 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 7.5 mm","3016124","STETTLER+AGDM",2003,2024
"04-08",2001-04-08,3.77222222222222,0,26.6,0.28,0.525,3.625,7.48,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>3.8 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.5 to 3.6 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.3 to 7.5 mm","3016124","STETTLER+AGDM",2003,2024
"04-09",2001-04-09,3.87222222222222,0,26.6,0.28,0.675,3.625,7.48,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>3.9 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.7 to 3.6 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.3 to 7.5 mm","3016124","STETTLER+AGDM",2003,2024
"04-10",2001-04-10,4.13333333333333,0,26.6,0.28,0.9,3.925,8.89,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>4.1 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.9 to 3.9 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.3 to 8.9 mm","3016124","STETTLER+AGDM",2003,2024
