"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,17.4333333333333,3.50190424388408,21,2010-04-01,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2010","3016GF0","VEGREVILLE",1994,2026
"BUI","04-02",2001-04-02,20.5333333333333,2.58134331953991,23.5,2010-04-02,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2010","3016GF0","VEGREVILLE",1994,2026
"BUI","04-03",2001-04-03,22.9666666666667,2.58907963055085,25.9,2010-04-03,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2010","3016GF0","VEGREVILLE",1994,2026
"BUI","04-04",2001-04-04,24.4666666666667,3.18799832705937,27.9,2010-04-04,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2010","3016GF0","VEGREVILLE",1994,2026
"BUI","04-05",2001-04-05,25,5.34509120595711,30.7,2010-04-05,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2010","3016GF0","VEGREVILLE",1994,2026
"BUI","04-06",2001-04-06,22.675,9.10544708768694,33.8,2010-04-06,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2010","3016GF0","VEGREVILLE",1994,2026
"BUI","04-07",2001-04-07,23.525,10.0473462499641,36.9,2010-04-07,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2010","3016GF0","VEGREVILLE",1994,2026
"BUI","04-08",2001-04-08,24.825,11.7630424069059,40.2,2010-04-08,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2010","3016GF0","VEGREVILLE",1994,2026
"BUI","04-09",2001-04-09,16.9666666666667,7.25695069111906,23.2,2016-04-09,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2016","3016GF0","VEGREVILLE",1994,2026
"BUI","04-10",2001-04-10,15.2666666666667,7.15984171147193,19.5,2014-04-10,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2014","3016GF0","VEGREVILLE",1994,2026
"BUI","04-11",2001-04-11,13.0333333333333,7.03017306567437,30.5,2025-04-11,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","04-12",2001-04-12,17.025,7.69301631351448,32.6,2025-04-12,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","04-13",2001-04-13,16.35,9.02164064901723,34.5,2025-04-13,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","04-14",2001-04-14,12.5333333333333,9.55737062864747,37.4,2025-04-14,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","04-15",2001-04-15,18.3,6.36396103067893,40.5,2025-04-15,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","04-16",2001-04-16,13.925,8.71449941189969,41.6,2025-04-16,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","04-17",2001-04-17,24.35,18.9501978881488,48.3,1994-04-17,NA,173.4,2021-08-06,NA,4,"Daily record reached in 1994","3016GF0","VEGREVILLE",1994,2026
"BUI","04-18",2001-04-18,29.02,19.7425175699555,50,1994-04-18,NA,173.4,2021-08-06,NA,4,"Daily record reached in 1994","3016GF0","VEGREVILLE",1994,2026
"BUI","04-19",2001-04-19,27.3857142857143,18.4978763259848,51.8,1994-04-19,NA,173.4,2021-08-06,NA,4,"Daily record reached in 1994","3016GF0","VEGREVILLE",1994,2026
"BUI","04-20",2001-04-20,28.4857142857143,20.3364556541062,53.9,1994-04-20,NA,173.4,2021-08-06,NA,4,"Daily record reached in 1994","3016GF0","VEGREVILLE",1994,2026
"BUI","04-21",2001-04-21,27.9,19.7550626422697,57.4,1994-04-21,NA,173.4,2021-08-06,NA,4,"Daily record reached in 1994","3016GF0","VEGREVILLE",1994,2026
"BUI","04-22",2001-04-22,30.7,19.8016413461107,59.7,1994-04-22,NA,173.4,2021-08-06,NA,4,"Daily record reached in 1994","3016GF0","VEGREVILLE",1994,2026
"BUI","04-23",2001-04-23,28.8888888888889,19.0571800408956,60.9,1994-04-23,NA,173.4,2021-08-06,NA,4,"Daily record reached in 1994","3016GF0","VEGREVILLE",1994,2026
"BUI","04-24",2001-04-24,28.1111111111111,16.5424789892903,86.1,2024-04-24,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2024","3016GF0","VEGREVILLE",1994,2026
"BUI","04-25",2001-04-25,32.26,17.6178318756878,88.2,2024-04-25,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2024","3016GF0","VEGREVILLE",1994,2026
"BUI","04-26",2001-04-26,26.2,16.2846553540442,89.2,2024-04-26,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2024","3016GF0","VEGREVILLE",1994,2026
"BUI","04-27",2001-04-27,25.31,16.4323833396809,90.7,2024-04-27,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2024","3016GF0","VEGREVILLE",1994,2026
"BUI","04-28",2001-04-28,24.6181818181818,17.7449608724177,91.3,2024-04-28,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2024","3016GF0","VEGREVILLE",1994,2026
"BUI","04-29",2001-04-29,25.07,18.854710581473,80.5,2024-04-29,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2024","3016GF0","VEGREVILLE",1994,2026
"BUI","04-30",2001-04-30,27.85,19.5714786814328,75.9,2025-04-30,NA,173.4,2021-08-06,NA,4,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","05-01",2001-05-01,30.2666666666667,21.0833465085598,79,2025-05-01,15.8,173.4,2021-08-06,NA,5,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","05-02",2001-05-02,32.16,20.9609796208733,84.3,2025-05-02,20.6,173.4,2021-08-06,NA,5,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","05-03",2001-05-03,34.6363636363636,20.5275557593822,89.9,2025-05-03,24.4,173.4,2021-08-06,NA,5,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","05-04",2001-05-04,33.66,24.8870425902494,92.9,2025-05-04,25.8,173.4,2021-08-06,NA,5,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","05-05",2001-05-05,32.6181818181818,25.6931048408641,95.5,2025-05-05,27.3,173.4,2021-08-06,NA,5,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","05-06",2001-05-06,37.81,25.7712781556868,99.6,2025-05-06,30.7,173.4,2021-08-06,NA,5,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","05-07",2001-05-07,35.8666666666667,26.3287376120167,103.5,2025-05-07,35.6,173.4,2021-08-06,NA,5,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","05-08",2001-05-08,38.3666666666667,26.2678626092913,105.3,2025-05-08,39.8,173.4,2021-08-06,NA,5,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","05-09",2001-05-09,44.2666666666667,26.5057226525393,108.6,2025-05-09,43,173.4,2021-08-06,NA,5,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","05-10",2001-05-10,40.3076923076923,27.8246132509349,112,2025-05-10,47.9,173.4,2021-08-06,NA,5,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","05-11",2001-05-11,43.4230769230769,27.7453946282428,115.4,2025-05-11,51.7,173.4,2021-08-06,NA,5,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","05-12",2001-05-12,46.0692307692308,27.6654834470496,116.3,2025-05-12,56.1,173.4,2021-08-06,NA,5,"Daily record reached in 2025","3016GF0","VEGREVILLE",1994,2026
"BUI","05-13",2001-05-13,47.50625,28.4754975080916,102.1,1994-05-13,60.3,173.4,2021-08-06,NA,5,"Daily record reached in 1994","3016GF0","VEGREVILLE",1994,2026
"BUI","05-14",2001-05-14,48.33125,31.4886798442446,104.5,1994-05-14,55,173.4,2021-08-06,NA,5,"Daily record reached in 1994","3016GF0","VEGREVILLE",1994,2026
"BUI","05-15",2001-05-15,50.2133333333333,28.0536187293105,91.5,2016-05-15,55.7,173.4,2021-08-06,NA,5,"Daily record reached in 2016","3016GF0","VEGREVILLE",1994,2026
"BUI","05-16",2001-05-16,47.0214285714286,29.6799382793114,96.1,2016-05-16,56.5,173.4,2021-08-06,NA,5,"Daily record reached in 2016","3016GF0","VEGREVILLE",1994,2026
"BUI","05-17",2001-05-17,49.10625,30.6899868306695,99.8,2016-05-17,58.6,173.4,2021-08-06,NA,5,"Daily record reached in 2016","3016GF0","VEGREVILLE",1994,2026
"BUI","05-18",2001-05-18,48.4666666666667,30.2568921703721,104.2,2016-05-18,61.6,173.4,2021-08-06,NA,5,"Daily record reached in 2016","3016GF0","VEGREVILLE",1994,2026
"BUI","05-19",2001-05-19,49.68,28.6767999808706,102.2,1998-05-19,65,173.4,2021-08-06,NA,5,"Daily record reached in 1998","3016GF0","VEGREVILLE",1994,2026
"BUI","05-20",2001-05-20,47.5266666666667,28.3651311766166,106.1,1998-05-20,43.3,173.4,2021-08-06,NA,5,"Daily record reached in 1998","3016GF0","VEGREVILLE",1994,2026
"BUI","05-21",2001-05-21,53.0733333333333,34.0480850450961,111.4,2011-05-21,46.7,173.4,2021-08-06,NA,5,"Daily record reached in 2011","3016GF0","VEGREVILLE",1994,2026
"BUI","05-22",2001-05-22,49.2214285714286,34.5355375178721,113.1,1998-05-22,51.1,173.4,2021-08-06,NA,5,"Daily record reached in 1998","3016GF0","VEGREVILLE",1994,2026
"BUI","05-23",2001-05-23,51.2375,39.5545846478846,117.1,2011-05-23,56,173.4,2021-08-06,NA,5,"Daily record reached in 2011","3016GF0","VEGREVILLE",1994,2026
"BUI","05-24",2001-05-24,48.5,37.561321291228,121.1,1998-05-24,59.7,173.4,2021-08-06,NA,5,"Daily record reached in 1998","3016GF0","VEGREVILLE",1994,2026
"BUI","05-25",2001-05-25,54.54375,39.4507113370596,126.4,1998-05-25,64.8,173.4,2021-08-06,NA,5,"Daily record reached in 1998","3016GF0","VEGREVILLE",1994,2026
"BUI","05-26",2001-05-26,54.01875,39.2108185538974,131.7,1998-05-26,71.3,173.4,2021-08-06,NA,5,"Daily record reached in 1998","3016GF0","VEGREVILLE",1994,2026
