"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,4.3,-12.7,13.6,6.31180033979306,-2.22,1.5,7.25,11.45,NA,NA,NA,NA,NA,4,2021-04-01,"","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-2.2 to 11.4 °C","Historical daily maximum<br>13.6 °C<br>2021-04-01","DATE: Apr-01</b><br>Normal: 4.3 °C<br>Period: 1991-2020","3016802","VERMILION+AGDM",2002,2024
"04-01","TMIN",2001-04-01,-6.8,-25.8,-0.4,6.85110553551932,-14.05,-10.275,-2.35,-1.04,NA,NA,NA,NA,NA,4,2017-04-01,"","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-14.0 to -1.0 °C","Historical daily maximum<br>-0.4 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -6.8 °C<br>Period: 1991-2020","3016802","VERMILION+AGDM",2002,2024
"04-01","VPD",2001-04-01,0.490057882797501,0.115228096665408,1.05313627491796,0.261032239156881,0.232359710379934,0.308587658854601,0.630557089374112,0.856711535442892,NA,NA,NA,NA,NA,4,2021-04-01,"","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.1 kPa<br>2021-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","3016802","VERMILION+AGDM",2002,2024
"04-02","TMAX",2001-04-02,5.22352941176471,-12.5,20.9,7.74116669273475,-3.34,3,11.1,12.72,NA,NA,NA,NA,NA,4,2016-04-02,"","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.3 to 12.7 °C","Historical daily maximum<br>20.9 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 5.2 °C<br>Period: 1991-2020","3016802","VERMILION+AGDM",2002,2024
"04-02","TMIN",2001-04-02,-7.53333333333333,-27.6,0.7,7.21542465425123,-16.66,-8.225,-2.45,-1.31,NA,NA,NA,NA,NA,4,2016-04-02,"","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-16.7 to -1.3 °C","Historical daily maximum<br>0.7 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: -7.5 °C<br>Period: 1991-2020","3016802","VERMILION+AGDM",2002,2024
"04-02","VPD",2001-04-02,0.592098522940558,0.109734049080005,1.82914354048261,0.428927039547468,0.162680373466749,0.319519537046977,0.728219239790984,1.0562278625287,NA,NA,NA,NA,NA,4,2024-04-02,"","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.1 kPa","Historical daily maximum<br>1.8 kPa<br>2024-04-02","DATE: Apr-02</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3016802","VERMILION+AGDM",2002,2024
"04-03","TMAX",2001-04-03,5.775,-9,17.8,7.42154521197125,-4.55,2.425,9.925,14.8,NA,NA,NA,NA,NA,4,2012-04-03,"","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>-4.5 to 14.8 °C","Historical daily maximum<br>17.8 °C<br>2012-04-03","DATE: Apr-03</b><br>Normal: 5.8 °C<br>Period: 1991-2020","3016802","VERMILION+AGDM",2002,2024
"04-03","TMIN",2001-04-03,-6.97777777777778,-26.4,-0.4,7.09610958496485,-15.79,-9.875,-1.9,-1.2,NA,NA,NA,NA,NA,4,2004-04-03,"","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-15.8 to -1.2 °C","Historical daily maximum<br>-0.4 °C<br>2004-04-03","DATE: Apr-03</b><br>Normal: -7.0 °C<br>Period: 1991-2020","3016802","VERMILION+AGDM",2002,2024
"04-03","VPD",2001-04-03,0.61331183235072,0.108284252275284,1.49092426324589,0.376117777927316,0.224760067326416,0.403140158762233,0.70101683052648,1.15724668371084,NA,NA,NA,NA,NA,4,2012-04-03,"","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.2 kPa","Historical daily maximum<br>1.5 kPa<br>2012-04-03","DATE: Apr-03</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","3016802","VERMILION+AGDM",2002,2024
"04-04","TMAX",2001-04-04,5.4,-6.9,15.3,6.52437736492916,-4.3,1.7,10.6,11.94,NA,NA,NA,NA,NA,4,2004-04-04,"","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>-4.3 to 11.9 °C","Historical daily maximum<br>15.3 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: 5.4 °C<br>Period: 1991-2020","3016802","VERMILION+AGDM",2002,2024
