"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.256,0,1.4,0,0,0.6,0.8,0.2,0.2,"NA (ECCC AES NA; station_id 10930)","",10930,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 10930)",78.125,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.2 mm<br>Anomaly: -0.1 mm<br>Percent of normal: <b>78%</b><br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.3 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.6 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 0.8 mm","306GE70","WILLOW+CREEK+1",1995,2026
"04-02",2001-04-02,1.104,0,10.1,0,0,1.4,2.22,0.1,0.3,"NA (ECCC AES NA; station_id 10930)","",10930,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.1 mm<br>Weather station: NA (ECCC AES NA; station_id 10930)",27.1739130434783,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.3 mm<br>Anomaly: -0.8 mm<br>Percent of normal: <b>27%</b><br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>1.1 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 1.4 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 2.2 mm","306GE70","WILLOW+CREEK+1",1995,2026
"04-03",2001-04-03,1.72,0,10.1,0,0,1.9,4.94,0,0.3,"NA (ECCC AES NA; station_id 10930)","",10930,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10930)",17.4418604651163,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 0.3 mm<br>Anomaly: -1.4 mm<br>Percent of normal: <b>17%</b><br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>1.7 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 1.9 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 4.9 mm","306GE70","WILLOW+CREEK+1",1995,2026
"04-04",2001-04-04,2.044,0,10.1,0,0,2.1,5.5,0.9,1.2,"NA (ECCC AES NA; station_id 10930)","",10930,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.9 mm<br>Weather station: NA (ECCC AES NA; station_id 10930)",58.7084148727984,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 1.2 mm<br>Anomaly: -0.8 mm<br>Percent of normal: <b>59%</b><br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>2.0 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 2.1 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 5.5 mm","306GE70","WILLOW+CREEK+1",1995,2026
"04-05",2001-04-05,2.324,0,10.1,0,0,4,5.66,1.7,2.9,"NA (ECCC AES NA; station_id 10930)","",10930,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 1.7 mm<br>Weather station: NA (ECCC AES NA; station_id 10930)",124.784853700516,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 2.9 mm<br>Anomaly: +0.6 mm<br>Percent of normal: <b>125%</b><br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>2.3 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.0 to 4.0 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 5.7 mm","306GE70","WILLOW+CREEK+1",1995,2026
"04-06",2001-04-06,2.704,0,14.9,0,0,4,6.86,0.3,3.2,"NA (ECCC AES NA; station_id 10930)","",10930,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.3 mm<br>Weather station: NA (ECCC AES NA; station_id 10930)",118.343195266272,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 3.2 mm<br>Anomaly: +0.5 mm<br>Percent of normal: <b>118%</b><br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>2.7 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.0 to 4.0 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 6.9 mm","306GE70","WILLOW+CREEK+1",1995,2026
"04-07",2001-04-07,3.044,0,17.9,0,0,4.1,6.86,2.4,5.6,"NA (ECCC AES NA; station_id 10930)","",10930,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 2.4 mm<br>Weather station: NA (ECCC AES NA; station_id 10930)",183.968462549277,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 5.6 mm<br>Anomaly: +2.6 mm<br>Percent of normal: <b>184%</b><br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>3.0 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.0 to 4.1 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 6.9 mm","306GE70","WILLOW+CREEK+1",1995,2026
"04-08",2001-04-08,3.532,0,20,0,1,4.7,6.92,0,5.6,"NA (ECCC AES NA; station_id 10930)","",10930,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10930)",158.550396375991,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 5.6 mm<br>Anomaly: +2.1 mm<br>Percent of normal: <b>159%</b><br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>3.5 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>1.0 to 4.7 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 6.9 mm","306GE70","WILLOW+CREEK+1",1995,2026
"04-09",2001-04-09,4.064,0,20.7,0,1,4.9,9.52,0,5.6,"NA (ECCC AES NA; station_id 10930)","",10930,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10930)",137.795275590551,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 5.6 mm<br>Anomaly: +1.5 mm<br>Percent of normal: <b>138%</b><br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>4.1 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>1.0 to 4.9 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 9.5 mm","306GE70","WILLOW+CREEK+1",1995,2026
"04-10",2001-04-10,4.432,0,22,0,1.9,4.9,9.52,0,5.6,"NA (ECCC AES NA; station_id 10930)","",10930,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 10930)",126.353790613718,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 5.6 mm<br>Anomaly: +1.2 mm<br>Percent of normal: <b>126%</b><br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>4.4 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>1.9 to 4.9 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 9.5 mm","306GE70","WILLOW+CREEK+1",1995,2026
