"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,3.76818181818182,-8.8,17.3,6.62674137858882,-6.42,0.425,7.275,10.07,4.7,"NA (ECCC AES NA; station_id 10930)","",10930,"",4,2016-04-01,"DATE: Apr-01<br>Value: 4.7 °C<br>Anomaly: +0.9 °C<br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-6.4 to 10.1 °C","Historical daily maximum<br>17.3 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 3.8 °C<br>Period: 1991-2020","306GE70","WILLOW+CREEK+1",1995,2026
"04-01","TMIN",2001-04-01,-11.5909090909091,-24.4,-1.2,6.97860056177926,-20.98,-17.425,-6.325,-3.02,-16.2,"NA (ECCC AES NA; station_id 10930)","",10930,"",4,2017-04-01,"DATE: Apr-01<br>Value: -16.2 °C<br>Anomaly: -4.6 °C<br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-21.0 to -3.0 °C","Historical daily maximum<br>-1.2 °C<br>2017-04-01","DATE: Apr-01</b><br>Normal: -11.6 °C<br>Period: 1991-2020","306GE70","WILLOW+CREEK+1",1995,2026
"04-01","VPD",2001-04-01,0.590489981231892,0.135777723601319,1.59056808103965,0.366757361224331,0.235562780425607,0.363856489977819,0.690114523031727,0.911111348398568,0.681883917131676,"NA (ECCC AES NA; station_id 10930)","",10930,"",4,2016-04-01,"DATE: Apr-01<br>Value: 0.7 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.9 kPa","Historical daily maximum<br>1.6 kPa<br>2016-04-01","DATE: Apr-01</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","306GE70","WILLOW+CREEK+1",1995,2026
"04-02","TMAX",2001-04-02,4.49565217391304,-9.5,14,6.29981805371246,-3.52,0.65,9.75,11.58,5.6,"NA (ECCC AES NA; station_id 10930)","",10930,"",4,2016-04-02,"DATE: Apr-02<br>Value: 5.6 °C<br>Anomaly: +1.1 °C<br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-3.5 to 11.6 °C","Historical daily maximum<br>14.0 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 4.5 °C<br>Period: 1991-2020","306GE70","WILLOW+CREEK+1",1995,2026
"04-02","TMIN",2001-04-02,-10.6666666666667,-26.4,-4.4,6.08123747894804,-19.8,-11.75,-6.6,-4.56,-5.8,"NA (ECCC AES NA; station_id 10930)","",10930,"",4,2024-04-02,"DATE: Apr-02<br>Value: -5.8 °C<br>Anomaly: +4.9 °C<br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-19.8 to -4.6 °C","Historical daily maximum<br>-4.4 °C<br>2024-04-02","DATE: Apr-02</b><br>Normal: -10.7 °C<br>Period: 1991-2020","306GE70","WILLOW+CREEK+1",1995,2026
"04-02","VPD",2001-04-02,0.609683880496092,0.119635199043125,1.24070613295803,0.322291964201967,0.176124289229816,0.396268283430793,0.844787882591969,1.01305308900944,0.51326092184024,"NA (ECCC AES NA; station_id 10930)","",10930,"",4,2004-04-02,"DATE: Apr-02<br>Value: 0.5 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.0 kPa","Historical daily maximum<br>1.2 kPa<br>2004-04-02","DATE: Apr-02</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","306GE70","WILLOW+CREEK+1",1995,2026
"04-03","TMAX",2001-04-03,5.9,-2.3,19.2,5.04824344745397,0.05,2.425,7.825,12.76,9.3,"NA (ECCC AES NA; station_id 10930)","",10930,"",4,2004-04-03,"DATE: Apr-03<br>Value: 9.3 °C<br>Anomaly: +3.4 °C<br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>0.1 to 12.8 °C","Historical daily maximum<br>19.2 °C<br>2004-04-03","DATE: Apr-03</b><br>Normal: 5.9 °C<br>Period: 1991-2020","306GE70","WILLOW+CREEK+1",1995,2026
"04-03","TMIN",2001-04-03,-10.7045454545455,-23.3,-2.3,6.30098082105947,-20.76,-13.975,-6.625,-4.04,-7,"NA (ECCC AES NA; station_id 10930)","",10930,"",4,2000-04-03,"DATE: Apr-03<br>Value: -7.0 °C<br>Anomaly: +3.7 °C<br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-20.8 to -4.0 °C","Historical daily maximum<br>-2.3 °C<br>2000-04-03","DATE: Apr-03</b><br>Normal: -10.7 °C<br>Period: 1991-2020","306GE70","WILLOW+CREEK+1",1995,2026
"04-03","VPD",2001-04-03,0.683180069811299,0.30295418662066,1.92059983420486,0.359007353600476,0.349106034656158,0.49430469738033,0.788567538750272,1.00735130187605,0.810186865127482,"NA (ECCC AES NA; station_id 10930)","",10930,"",4,2004-04-03,"DATE: Apr-03<br>Value: 0.8 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.0 kPa","Historical daily maximum<br>1.9 kPa<br>2004-04-03","DATE: Apr-03</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","306GE70","WILLOW+CREEK+1",1995,2026
"04-04","TMAX",2001-04-04,5.47272727272727,-2.4,12,4.22376291476844,0.18,1.9,8.275,10.73,6.8,"NA (ECCC AES NA; station_id 10930)","",10930,"",4,2006-04-04,"DATE: Apr-04<br>Value: 6.8 °C<br>Anomaly: +1.3 °C<br>Weather station: NA (ECCC AES NA; station_id 10930)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>0.2 to 10.7 °C","Historical daily maximum<br>12.0 °C<br>2006-04-04","DATE: Apr-04</b><br>Normal: 5.5 °C<br>Period: 1991-2020","306GE70","WILLOW+CREEK+1",1995,2026
