"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"3037675","WRENTHAM+AGDM","04-01","BUI",2002,2026,39.6333333333333,10.9472675433949,51.3,2016-04-01,46.2,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-02","BUI",2002,2026,40.35,14.0364881647797,55.7,2016-04-02,NA,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-03","BUI",2002,2026,45.78,13.5427840564634,58.6,2016-04-03,23.1,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-04","BUI",2002,2026,49.1,14.409718942436,63.3,2016-04-04,25.8,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-05","BUI",2002,2026,48.8,13.6113922873452,57.5,2004-04-05,26.6,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-06","BUI",2002,2026,50.78,14.8583982986054,60.8,2004-04-06,27.8,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-07","BUI",2002,2026,46.5666666666667,21.1445185962383,63.6,2004-04-07,NA,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-08","BUI",2002,2026,42.6666666666667,19.9294380251928,66.2,2016-04-08,NA,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-09","BUI",2002,2026,44.8666666666667,19.9066571779392,68.9,2016-04-09,28.9,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-10","BUI",2002,2026,47.83,22.0109593914789,70.6,2004-04-10,33,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-11","BUI",2002,2026,49.88,23.5204780752622,74.2,2004-04-11,35.4,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-12","BUI",2002,2026,49.57,24.3624506156503,79.2,2004-04-12,35.5,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-13","BUI",2002,2026,43.73,23.1408753315667,81.3,2016-04-13,37.8,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-14","BUI",2002,2026,40.0090909090909,26.4766483734424,82.9,2016-04-14,43.2,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-15","BUI",2002,2026,34.4818181818182,20.3658939495333,82.4,2004-04-15,46,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-16","BUI",2002,2026,36.025,19.018991704466,83.1,2004-04-16,46,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-17","BUI",2002,2026,38.1916666666667,19.1310532111982,84.1,2004-04-17,NA,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-18","BUI",2002,2026,39.4583333333333,19.3267341140492,85.4,2004-04-18,48.9,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-19","BUI",2002,2026,42.4846153846154,18.8693687473396,88.5,2004-04-19,53.8,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-20","BUI",2002,2026,45.6923076923077,18.9547030900188,91.8,2004-04-20,59,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-21","BUI",2002,2026,45.5416666666667,23.0974795292919,94.7,2004-04-21,65.1,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-22","BUI",2002,2026,48.5,22.7295329179169,98,2004-04-22,68.5,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-23","BUI",2002,2026,47.9153846153846,22.6034970065049,103.4,2004-04-23,69.8,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-24","BUI",2002,2026,47.5846153846154,22.0851702187179,106.4,2004-04-24,64.2,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-25","BUI",2002,2026,48.4692307692308,23.2920009379252,109.4,2004-04-25,57,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-26","BUI",2002,2026,48.0357142857143,23.8090999779127,114.2,2004-04-26,NA,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-27","BUI",2002,2026,42.675,25.1639292109427,118.6,2004-04-27,NA,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-28","BUI",2002,2026,36.8066666666667,16.5418718351196,68.9,2015-04-28,60.7,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-29","BUI",2002,2026,35.2230769230769,18.1462187909839,71.7,2015-04-29,64,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","04-30","BUI",2002,2026,33.6066666666667,19.4875955662155,75.3,2015-04-30,68.4,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-01","BUI",2002,2026,36.3375,19.5083187384254,79,2015-05-01,73.7,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-02","BUI",2002,2026,38.1,19.6126234859083,80.2,2015-05-02,77.2,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-03","BUI",2002,2026,38.2705882352941,20.0939283337617,84.4,2023-05-03,82.7,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-04","BUI",2002,2026,39.4411764705882,23.2150559665363,90,2023-05-04,85.2,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-05","BUI",2002,2026,41.2588235294118,24.4773634922026,95,2023-05-05,87.1,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-06","BUI",2002,2026,48.4,22.6478002716126,92.1,2015-05-06,91.6,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-07","BUI",2002,2026,48.24,21.1140373076437,96.1,2026-05-07,96.1,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-08","BUI",2002,2026,41.4764705882353,23.859812693412,101.4,2026-05-08,101.4,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-09","BUI",2002,2026,42.2647058823529,23.3431719453588,104.7,2026-05-09,104.7,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-10","BUI",2002,2026,43.4352941176471,24.593341100196,110.6,2026-05-10,110.6,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-11","BUI",2002,2026,44.4176470588235,23.2080868258813,113.7,2026-05-11,113.7,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-12","BUI",2002,2026,46.4941176470588,23.1083175119976,118.4,2026-05-12,118.4,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-13","BUI",2002,2026,47.79375,20.848356250154,124.2,2026-05-13,124.2,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-14","BUI",2002,2026,49.1647058823529,19.4437953206309,110.9,2026-05-14,110.9,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-15","BUI",2002,2026,49.7277777777778,18.2254768534584,113.2,2026-05-15,113.2,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-16","BUI",2002,2026,52.5666666666667,15.9716660886414,116.5,2026-05-16,116.5,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-17","BUI",2002,2026,50.2777777777778,16.1102654725107,110.4,2023-05-17,95.5,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-18","BUI",2002,2026,48.1888888888889,19.56635434163,113.5,2023-05-18,97.4,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-19","BUI",2002,2026,48.6333333333333,20.8486422184501,118.9,2023-05-19,100.1,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-20","BUI",2002,2026,48.9222222222222,21.227467099895,123.9,2023-05-20,94.8,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-21","BUI",2002,2026,45.3611111111111,20.5871215851901,129.5,2023-05-21,92.1,354,2023-08-21,NA
"3037675","WRENTHAM+AGDM","05-22","BUI",2002,2026,42.8388888888889,24.3627038702456,132.9,2023-05-22,96.7,354,2023-08-21,NA
