"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,0.472222222222222,0,3.7,0,0,0.775,1.19,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>0.5 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 0.8 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 1.2 mm","3037675","WRENTHAM+AGDM",2002,2024
"04-02",2001-04-02,1.25555555555556,0,12,0,0,1.275,3.07,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>1.3 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 1.3 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 3.1 mm","3037675","WRENTHAM+AGDM",2002,2024
"04-03",2001-04-03,1.36666666666667,0,12,0,0,1.275,3.87,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>1.4 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 1.3 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 3.9 mm","3037675","WRENTHAM+AGDM",2002,2024
"04-04",2001-04-04,1.63333333333333,0,12,0,0,1.4,4.53,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>1.6 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 1.4 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 4.5 mm","3037675","WRENTHAM+AGDM",2002,2024
"04-05",2001-04-05,2.25,0,12,0,0,1.925,7.68,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>2.2 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.0 to 1.9 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 7.7 mm","3037675","WRENTHAM+AGDM",2002,2024
"04-06",2001-04-06,2.38333333333333,0,12,0,0,2.75,7.68,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>2.4 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.0 to 2.7 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 7.7 mm","3037675","WRENTHAM+AGDM",2002,2024
"04-07",2001-04-07,2.91111111111111,0,12,0,0,4.25,9.43,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>2.9 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.0 to 4.2 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 9.4 mm","3037675","WRENTHAM+AGDM",2002,2024
"04-08",2001-04-08,3.09444444444444,0,12,0,0.1,4.65,9.88,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>3.1 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.1 to 4.6 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 9.9 mm","3037675","WRENTHAM+AGDM",2002,2024
"04-09",2001-04-09,3.39444444444444,0,12,0,0.1,5.925,10.16,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>3.4 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.1 to 5.9 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 10.2 mm","3037675","WRENTHAM+AGDM",2002,2024
"04-10",2001-04-10,4.31111111111111,0,21.8,0,0.1,5.925,11.79,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>4.3 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.1 to 5.9 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 11.8 mm","3037675","WRENTHAM+AGDM",2002,2024
"04-11",2001-04-11,4.84444444444444,0,23.4,0,0.1,9.2,11.79,NA,NA,NA,NA,NA,NA,"",NA,"","DATE: Apr-11<br><b>Normal cumulative precipitation</b><br>4.8 mm<br>Period: 1991-2020","DATE: Apr-11<br><b>25-75 percentile</b><br>0.1 to 9.2 mm","DATE: Apr-11<br><b>10-90 percentile</b><br>0.0 to 11.8 mm","3037675","WRENTHAM+AGDM",2002,2024
