"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"1020590","BALLENAS+ISLAND","04-01","BUI",1994,2026,4.33571428571429,5.85866972861681,23.5,2002-04-01,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-02","BUI",1994,2026,4.64285714285714,6.10960332159566,24.4,2002-04-02,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-03","BUI",1994,2026,5.26428571428571,6.22014186616068,25.2,2002-04-03,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-04","BUI",1994,2026,5.58571428571429,6.28561937990291,25.8,2002-04-04,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-05","BUI",1994,2026,6.29285714285714,6.20923187194362,26.2,2002-04-05,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-06","BUI",1994,2026,6.92142857142857,6.13955380130518,26.5,2002-04-06,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-07","BUI",1994,2026,7.41428571428572,6.46789195747937,27.3,2002-04-07,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-08","BUI",1994,2026,7.81428571428571,6.62092918680628,27.9,2002-04-08,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-09","BUI",1994,2026,8.51428571428571,6.5649251144428,28.1,2002-04-09,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-10","BUI",1994,2026,9.22857142857143,6.49561136714374,28.4,2002-04-10,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-11","BUI",1994,2026,9.52857142857143,6.9614795699045,28.5,2002-04-11,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-12","BUI",1994,2026,9.78571428571429,7.27977780122201,29,2002-04-12,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-13","BUI",1994,2026,9.82857142857143,7.52732750321516,30.7,2002-04-13,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-14","BUI",1994,2026,10.1285714285714,7.54804392097496,31.4,2002-04-14,10.2,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-15","BUI",1994,2026,10.9142857142857,7.60008675485476,32.2,2002-04-15,10.7,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-16","BUI",1994,2026,10.7928571428571,6.75784037939685,26.5,2002-04-16,11.9,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-17","BUI",1994,2026,11.5,6.79049108907222,27.2,2002-04-17,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-18","BUI",1994,2026,12.14,6.8144594167738,27.9,2002-04-18,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-19","BUI",1994,2026,12.3,7.45200024773937,28.6,2002-04-19,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-20","BUI",1994,2026,12.42,7.56384256087567,29.3,2002-04-20,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-21","BUI",1994,2026,13.1533333333333,7.84382074052714,30.4,2002-04-21,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-22","BUI",1994,2026,13.075,7.27337610742082,31.7,2002-04-22,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-23","BUI",1994,2026,12.875,7.54502043293014,32.9,2002-04-23,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-24","BUI",1994,2026,12.81875,7.93911991344129,33.8,2002-04-24,18.5,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-25","BUI",1994,2026,12.70625,8.43757222191313,34.7,2002-04-25,19.5,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-26","BUI",1994,2026,13.75625,8.24062851567363,35,2002-04-26,20.4,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-27","BUI",1994,2026,15.6444444444444,10.6449226904176,43.5,1995-04-27,21.4,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-28","BUI",1994,2026,16.1666666666667,11.0512176598195,43.8,1995-04-28,22.3,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-29","BUI",1994,2026,16.8388888888889,11.2389102930472,44.3,1995-04-29,23.2,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","04-30","BUI",1994,2026,17.1277777777778,11.301004929576,44.5,1995-04-30,24.2,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-01","BUI",1994,2026,17.4777777777778,9.87203748893847,38.4,2002-05-01,NA,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-02","BUI",1994,2026,16.22,9.52390897191186,39.6,2002-05-02,26.5,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-03","BUI",1994,2026,16.395,9.84829533739883,41.4,2002-05-03,28,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-04","BUI",1994,2026,16.58,10.3510284258949,42.7,2002-05-04,30.2,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-05","BUI",1994,2026,17.0714285714286,9.11109998063587,43.3,2002-05-05,32.8,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-06","BUI",1994,2026,17.8428571428571,9.3320186148856,44.4,2002-05-06,32.3,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-07","BUI",1994,2026,18.4285714285714,9.87593756851181,46.2,2002-05-07,33.6,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-08","BUI",1994,2026,19.3857142857143,10.2049637781957,47.5,2002-05-08,34.8,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-09","BUI",1994,2026,19.2727272727273,10.6690108354895,48.7,2002-05-09,35.9,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-10","BUI",1994,2026,19.3333333333333,10.8674490693705,49.8,2002-05-10,37.8,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-11","BUI",1994,2026,19.9,11.4289107092496,51,2002-05-11,39.2,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-12","BUI",1994,2026,20.2375,11.8055555271384,52.6,2002-05-12,40.5,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-13","BUI",1994,2026,20.8041666666667,12.0851500383436,53.2,2002-05-13,41.7,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-14","BUI",1994,2026,20.6208333333333,11.8229687718318,54.9,2002-05-14,43.5,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-15","BUI",1994,2026,20.5923076923077,12.1998007549934,56.3,2002-05-15,44.7,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-16","BUI",1994,2026,20.6769230769231,12.4411030923245,57.7,2002-05-16,37.8,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-17","BUI",1994,2026,21.5407407407407,12.9630617008857,59.5,2002-05-17,39.3,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-18","BUI",1994,2026,21.9592592592593,13.3026966398448,61.1,2002-05-18,40.9,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-19","BUI",1994,2026,22.9148148148148,13.5252954952422,62.1,2002-05-19,42.1,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-20","BUI",1994,2026,23.8592592592593,13.6716230328837,62.5,2002-05-20,43.5,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-21","BUI",1994,2026,23.7888888888889,13.9798573045797,63.8,2002-05-21,44.8,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-22","BUI",1994,2026,23.0740740740741,13.3622773448412,65.5,2002-05-22,46.3,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-23","BUI",1994,2026,23.3259259259259,13.9610334803859,67.1,2002-05-23,47.8,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-24","BUI",1994,2026,23.6703703703704,14.0344031912466,68.2,2002-05-24,49.1,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-25","BUI",1994,2026,24.337037037037,14.5442070981529,69.2,2002-05-25,50.2,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-26","BUI",1994,2026,23.9740740740741,14.6644675896062,69.9,2002-05-26,48,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-27","BUI",1994,2026,23.5851851851852,14.7777041962052,70.8,2002-05-27,49.5,159.7,2022-10-24,NA
"1020590","BALLENAS+ISLAND","05-28","BUI",1994,2026,23.4481481481481,15.0844130038101,71.3,2002-05-28,51.2,159.7,2022-10-24,NA
