"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,1.25185185185185,0,8.2,0,0,1.3,4.36,9.4,9.4,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 9.4 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",750.887573964497,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 9.4 mm<br>Anomaly: +8.1 mm<br>Percent of normal: <b>751%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>1.3 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 1.3 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 4.4 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-02",2001-04-02,2.64444444444444,0,24.6,0,0,3.4,7.76,0.4,9.8,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.4 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",370.588235294118,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 9.8 mm<br>Anomaly: +7.2 mm<br>Percent of normal: <b>371%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>2.6 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 3.4 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 7.8 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-03",2001-04-03,3.54074074074074,0,24.6,0,0,3.8,12.08,0.8,10.6,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.8 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",299.372384937239,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 10.6 mm<br>Anomaly: +7.1 mm<br>Percent of normal: <b>299%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>3.5 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 3.8 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 12.1 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-04",2001-04-04,5.05925925925926,0,31.6,0,0.1,7.8,12.08,0.2,10.8,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",213.469985358712,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 10.8 mm<br>Anomaly: +5.7 mm<br>Percent of normal: <b>213%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>5.1 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.1 to 7.8 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 12.1 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-05",2001-04-05,6.71851851851852,0,33.6,0,0.1,11,15.76,0,10.8,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",160.749724366042,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 10.8 mm<br>Anomaly: +4.1 mm<br>Percent of normal: <b>161%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>6.7 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.1 to 11.0 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 15.8 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-06",2001-04-06,8.1037037037037,0,36.2,0,0.1,12.5,19.48,0,10.8,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",133.27239488117,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 10.8 mm<br>Anomaly: +2.7 mm<br>Percent of normal: <b>133%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>8.1 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.1 to 12.5 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 19.5 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-07",2001-04-07,9.32592592592593,0,39.6,0,0.1,12.5,27.72,0,10.8,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",115.806195393169,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 10.8 mm<br>Anomaly: +1.5 mm<br>Percent of normal: <b>116%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>9.3 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.1 to 12.5 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 27.7 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-08",2001-04-08,10.4888888888889,0,42,0,0.1,14.5,29.28,0,10.8,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",102.966101694915,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 10.8 mm<br>Anomaly: +0.3 mm<br>Percent of normal: <b>103%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>10.5 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.1 to 14.5 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 29.3 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-09",2001-04-09,10.6444444444444,0,42.4,0,0.1,15.4,29.36,0,10.8,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",101.461377870564,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 10.8 mm<br>Anomaly: +0.2 mm<br>Percent of normal: <b>101%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>10.6 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.1 to 15.4 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 29.4 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-10",2001-04-10,11.5555555555556,0,43.4,0,0.1,16.8,30.68,0,10.8,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",93.4615384615385,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 10.8 mm<br>Anomaly: -0.8 mm<br>Percent of normal: <b>93%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>11.6 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.1 to 16.8 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 30.7 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-11",2001-04-11,12.6148148148148,0,43.4,0,0.1,17.8,36.96,0,10.8,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-11<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",85.6136230182032,"DATE: Apr-11<br><b>Cumulative precipitation</b><br>Value: 10.8 mm<br>Anomaly: -1.8 mm<br>Percent of normal: <b>86%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-11<br><b>Normal cumulative precipitation</b><br>12.6 mm<br>Period: 1991-2020","DATE: Apr-11<br><b>25-75 percentile</b><br>0.1 to 17.8 mm","DATE: Apr-11<br><b>10-90 percentile</b><br>0.0 to 37.0 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-12",2001-04-12,13.4518518518519,0,50.4,0,0.2,18.2,37.08,0,10.8,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-12<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",80.2863436123348,"DATE: Apr-12<br><b>Cumulative precipitation</b><br>Value: 10.8 mm<br>Anomaly: -2.7 mm<br>Percent of normal: <b>80%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-12<br><b>Normal cumulative precipitation</b><br>13.5 mm<br>Period: 1991-2020","DATE: Apr-12<br><b>25-75 percentile</b><br>0.2 to 18.2 mm","DATE: Apr-12<br><b>10-90 percentile</b><br>0.0 to 37.1 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-13",2001-04-13,14.7555555555556,0,60.8,0,1,19.3,40.96,0,10.8,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-13<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",73.1927710843374,"DATE: Apr-13<br><b>Cumulative precipitation</b><br>Value: 10.8 mm<br>Anomaly: -4.0 mm<br>Percent of normal: <b>73%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-13<br><b>Normal cumulative precipitation</b><br>14.8 mm<br>Period: 1991-2020","DATE: Apr-13<br><b>25-75 percentile</b><br>1.0 to 19.3 mm","DATE: Apr-13<br><b>10-90 percentile</b><br>0.0 to 41.0 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-14",2001-04-14,15.3407407407407,0,62,0,2.1,19.3,41.16,1,11.8,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-14<br><b>Daily precipitation</b><br>Value: 1.0 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",76.9193626267504,"DATE: Apr-14<br><b>Cumulative precipitation</b><br>Value: 11.8 mm<br>Anomaly: -3.5 mm<br>Percent of normal: <b>77%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-14<br><b>Normal cumulative precipitation</b><br>15.3 mm<br>Period: 1991-2020","DATE: Apr-14<br><b>25-75 percentile</b><br>2.1 to 19.3 mm","DATE: Apr-14<br><b>10-90 percentile</b><br>0.0 to 41.2 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-15",2001-04-15,16.4148148148148,0,62.6,0,6,22.3,41.16,0,11.8,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-15<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",71.8862815884477,"DATE: Apr-15<br><b>Cumulative precipitation</b><br>Value: 11.8 mm<br>Anomaly: -4.6 mm<br>Percent of normal: <b>72%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-15<br><b>Normal cumulative precipitation</b><br>16.4 mm<br>Period: 1991-2020","DATE: Apr-15<br><b>25-75 percentile</b><br>6.0 to 22.3 mm","DATE: Apr-15<br><b>10-90 percentile</b><br>0.0 to 41.2 mm","1020590","BALLENAS+ISLAND",1994,2026
"04-16",2001-04-16,18.2444444444444,0,62.6,0,7.3,24.6,41.32,0.2,12,"NA (ECCC AES NA; station_id 138)",NA,138,"","DATE: Apr-16<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 138)",65.7734470158343,"DATE: Apr-16<br><b>Cumulative precipitation</b><br>Value: 12.0 mm<br>Anomaly: -6.2 mm<br>Percent of normal: <b>66%</b><br>Weather station: NA (ECCC AES NA; station_id 138)","DATE: Apr-16<br><b>Normal cumulative precipitation</b><br>18.2 mm<br>Period: 1991-2020","DATE: Apr-16<br><b>25-75 percentile</b><br>7.3 to 24.6 mm","DATE: Apr-16<br><b>10-90 percentile</b><br>0.0 to 41.3 mm","1020590","BALLENAS+ISLAND",1994,2026
