"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,10.1,NA,10.1,2016-04-01,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2016","1160H99","BLUE+RIVER+CS",1994,2026
"BUI","04-02",2001-04-02,11.2,NA,11.2,2016-04-02,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2016","1160H99","BLUE+RIVER+CS",1994,2026
"BUI","04-03",2001-04-03,14.3,NA,14.3,2016-04-03,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2016","1160H99","BLUE+RIVER+CS",1994,2026
"BUI","04-04",2001-04-04,9.1,NA,9.1,2016-04-04,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2016","1160H99","BLUE+RIVER+CS",1994,2026
"BUI","04-05",2001-04-05,5.8,NA,8.1,2025-04-05,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2025","1160H99","BLUE+RIVER+CS",1994,2026
"BUI","04-06",2001-04-06,6.55,5.44472221513642,10.4,2004-04-06,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2004","1160H99","BLUE+RIVER+CS",1994,2026
"BUI","04-07",2001-04-07,10.5333333333333,5.75876144091187,16.1,2009-04-07,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2009","1160H99","BLUE+RIVER+CS",1994,2026
"BUI","04-08",2001-04-08,13.45,5.59791627899763,20,2009-04-08,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2009","1160H99","BLUE+RIVER+CS",1994,2026
"BUI","04-09",2001-04-09,13.5,6.96036397515724,22.6,2009-04-09,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2009","1160H99","BLUE+RIVER+CS",1994,2026
"BUI","04-10",2001-04-10,15.15,8.9384935345206,25.9,2009-04-10,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2009","1160H99","BLUE+RIVER+CS",1994,2026
"BUI","04-11",2001-04-11,16.7,8.02454567769,26.4,2009-04-11,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2009","1160H99","BLUE+RIVER+CS",1994,2026
"BUI","04-12",2001-04-12,18.8,7.1670542530852,27.2,2009-04-12,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2009","1160H99","BLUE+RIVER+CS",1994,2026
"BUI","04-13",2001-04-13,18.9,9.06642156531451,27.6,2009-04-13,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2009","1160H99","BLUE+RIVER+CS",1994,2026
"BUI","04-14",2001-04-14,13,8.63905859068761,23.1,2016-04-14,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2016","1160H99","BLUE+RIVER+CS",1994,2026
"BUI","04-15",2001-04-15,12.94,9.60041665762481,26.1,2016-04-15,NA,162.2,2003-09-10,NA,4,"Daily record reached in 2016","1160H99","BLUE+RIVER+CS",1994,2026
