"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,1.06153846153846,0,6.8,0,0,1.15,3.7,0.2,0.2,"NA (ECCC AES NA; station_id 8265)","",8265,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 8265)",18.8405797101449,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.2 mm<br>Anomaly: -0.9 mm<br>Percent of normal: <b>19%</b><br>Weather station: NA (ECCC AES NA; station_id 8265)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>1.1 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 1.1 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 3.7 mm","1060R0K","BONILLA+ISLAND+AUT",1994,2026
"04-02",2001-04-02,3.18461538461538,0,21,0,0,4.85,9.1,0.6,0.8,"NA (ECCC AES NA; station_id 8265)","",8265,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.6 mm<br>Weather station: NA (ECCC AES NA; station_id 8265)",25.1207729468599,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.8 mm<br>Anomaly: -2.4 mm<br>Percent of normal: <b>25%</b><br>Weather station: NA (ECCC AES NA; station_id 8265)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>3.2 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 4.8 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 9.1 mm","1060R0K","BONILLA+ISLAND+AUT",1994,2026
"04-03",2001-04-03,4.27692307692308,0,29.4,0,0,5.7,13.8,2.4,3.2,"NA (ECCC AES NA; station_id 8265)","",8265,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 2.4 mm<br>Weather station: NA (ECCC AES NA; station_id 8265)",74.8201438848921,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 3.2 mm<br>Anomaly: -1.1 mm<br>Percent of normal: <b>75%</b><br>Weather station: NA (ECCC AES NA; station_id 8265)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>4.3 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 5.7 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 13.8 mm","1060R0K","BONILLA+ISLAND+AUT",1994,2026
"04-04",2001-04-04,6.41538461538462,0,32.2,0,0,11.65,17.6,0.6,3.8,"NA (ECCC AES NA; station_id 8265)","",8265,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.6 mm<br>Weather station: NA (ECCC AES NA; station_id 8265)",59.2326139088729,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 3.8 mm<br>Anomaly: -2.6 mm<br>Percent of normal: <b>59%</b><br>Weather station: NA (ECCC AES NA; station_id 8265)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>6.4 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 11.6 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 17.6 mm","1060R0K","BONILLA+ISLAND+AUT",1994,2026
"04-05",2001-04-05,9.3,0,39,0,0,15.8,21,3.6,7.4,"NA (ECCC AES NA; station_id 8265)","",8265,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 3.6 mm<br>Weather station: NA (ECCC AES NA; station_id 8265)",79.5698924731183,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 7.4 mm<br>Anomaly: -1.9 mm<br>Percent of normal: <b>80%</b><br>Weather station: NA (ECCC AES NA; station_id 8265)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>9.3 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.0 to 15.8 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 21.0 mm","1060R0K","BONILLA+ISLAND+AUT",1994,2026
"04-06",2001-04-06,11.8,0,39,0,0.25,17.9,34.8,4.2,11.6,"NA (ECCC AES NA; station_id 8265)","",8265,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 4.2 mm<br>Weather station: NA (ECCC AES NA; station_id 8265)",98.3050847457627,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 11.6 mm<br>Anomaly: -0.2 mm<br>Percent of normal: <b>98%</b><br>Weather station: NA (ECCC AES NA; station_id 8265)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>11.8 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.2 to 17.9 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 34.8 mm","1060R0K","BONILLA+ISLAND+AUT",1994,2026
"04-07",2001-04-07,14.2538461538462,0,41.8,0,1.05,20.25,38.6,0,11.6,"NA (ECCC AES NA; station_id 8265)","",8265,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8265)",81.3815434430653,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 11.6 mm<br>Anomaly: -2.7 mm<br>Percent of normal: <b>81%</b><br>Weather station: NA (ECCC AES NA; station_id 8265)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>14.3 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>1.0 to 20.2 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 38.6 mm","1060R0K","BONILLA+ISLAND+AUT",1994,2026
"04-08",2001-04-08,16.7307692307692,0,62.2,0,2.5,26.8,40.6,0,11.6,"NA (ECCC AES NA; station_id 8265)","",8265,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8265)",69.3333333333333,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 11.6 mm<br>Anomaly: -5.1 mm<br>Percent of normal: <b>69%</b><br>Weather station: NA (ECCC AES NA; station_id 8265)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>16.7 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>2.5 to 26.8 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 40.6 mm","1060R0K","BONILLA+ISLAND+AUT",1994,2026
"04-09",2001-04-09,18.3615384615385,0,62.2,0,5.05,31.65,42.7,0,11.6,"NA (ECCC AES NA; station_id 8265)","",8265,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8265)",63.1755341432761,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 11.6 mm<br>Anomaly: -6.8 mm<br>Percent of normal: <b>63%</b><br>Weather station: NA (ECCC AES NA; station_id 8265)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>18.4 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>5.0 to 31.6 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 42.7 mm","1060R0K","BONILLA+ISLAND+AUT",1994,2026
"04-10",2001-04-10,20.7230769230769,0,69.2,0,6.2,34.65,43.9,0,11.6,"NA (ECCC AES NA; station_id 8265)","",8265,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8265)",55.9762435040831,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 11.6 mm<br>Anomaly: -9.1 mm<br>Percent of normal: <b>56%</b><br>Weather station: NA (ECCC AES NA; station_id 8265)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>20.7 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>6.2 to 34.6 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 43.9 mm","1060R0K","BONILLA+ISLAND+AUT",1994,2026
