"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,7.03703703703704,-3.4,21.1,6.06783120221513,-1.44,4.3,10.35,14,3,"NA (ECCC AES NA; station_id 574)",NA,574,"",4,2016-04-01,"DATE: Apr-01<br>Value: 3.0 °C<br>Anomaly: -4.0 °C<br>Weather station: NA (ECCC AES NA; station_id 574)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>-1.4 to 14.0 °C","Historical daily maximum<br>21.1 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 7.0 °C<br>Period: 1991-2020","1091174","BURNS+LAKE+DECKER+LAKE",1991,2026
"04-01","TMIN",2001-04-01,-8.3,-22,1.9,5.23516218248519,-12.76,-11.2,-4.75,-1.92,-5.7,"NA (ECCC AES NA; station_id 574)",NA,574,"",4,1992-04-01,"DATE: Apr-01<br>Value: -5.7 °C<br>Anomaly: +2.6 °C<br>Weather station: NA (ECCC AES NA; station_id 574)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-12.8 to -1.9 °C","Historical daily maximum<br>1.9 °C<br>1992-04-01","DATE: Apr-01</b><br>Normal: -8.3 °C<br>Period: 1991-2020","1091174","BURNS+LAKE+DECKER+LAKE",1991,2026
"04-01","VPD",2001-04-01,0.731170003123831,0.273541882436972,2.09995448674933,0.396481866737294,0.31846061718856,0.473073422341588,0.900070133947286,1.18716774049227,0.358459262755965,"NA (ECCC AES NA; station_id 574)",NA,574,"",4,2016-04-01,"DATE: Apr-01<br>Value: 0.4 kPa<br>Anomaly: -0.4 kPa<br>Weather station: NA (ECCC AES NA; station_id 574)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.2 kPa","Historical daily maximum<br>2.1 kPa<br>2016-04-01","DATE: Apr-01</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","1091174","BURNS+LAKE+DECKER+LAKE",1991,2026
"04-02","TMAX",2001-04-02,7.00740740740741,-4,18,5.25715087548715,-0.34,4.65,10.45,12.72,7.8,"NA (ECCC AES NA; station_id 574)",NA,574,"",4,1992-04-02,"DATE: Apr-02<br>Value: 7.8 °C<br>Anomaly: +0.8 °C<br>Weather station: NA (ECCC AES NA; station_id 574)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>-0.3 to 12.7 °C","Historical daily maximum<br>18.0 °C<br>1992-04-02","DATE: Apr-02</b><br>Normal: 7.0 °C<br>Period: 1991-2020","1091174","BURNS+LAKE+DECKER+LAKE",1991,2026
"04-02","TMIN",2001-04-02,-8.01851851851852,-21.8,1.1,6.91336704324628,-19.82,-9.75,-2.55,-0.699999999999996,-3.1,"NA (ECCC AES NA; station_id 574)",NA,574,"",4,2000-04-02,"DATE: Apr-02<br>Value: -3.1 °C<br>Anomaly: +4.9 °C<br>Weather station: NA (ECCC AES NA; station_id 574)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-19.8 to -0.7 °C","Historical daily maximum<br>1.1 °C<br>2000-04-02","DATE: Apr-02</b><br>Normal: -8.0 °C<br>Period: 1991-2020","1091174","BURNS+LAKE+DECKER+LAKE",1991,2026
"04-02","VPD",2001-04-02,0.684627695571937,0.258127698650543,1.5167371307402,0.281754425510957,0.357741489051608,0.519830333427736,0.797422726368814,0.969527267861509,0.572260068833188,"NA (ECCC AES NA; station_id 574)",NA,574,"",4,1992-04-02,"DATE: Apr-02<br>Value: 0.6 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 574)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.4 to 1.0 kPa","Historical daily maximum<br>1.5 kPa<br>1992-04-02","DATE: Apr-02</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","1091174","BURNS+LAKE+DECKER+LAKE",1991,2026
"04-03","TMAX",2001-04-03,7.22962962962963,-1.7,13.9,4.3869399545973,1.12,4.6,10.45,12.86,8.5,"NA (ECCC AES NA; station_id 574)",NA,574,"",4,2019-04-03,"DATE: Apr-03<br>Value: 8.5 °C<br>Anomaly: +1.3 °C<br>Weather station: NA (ECCC AES NA; station_id 574)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>1.1 to 12.9 °C","Historical daily maximum<br>13.9 °C<br>2019-04-03","DATE: Apr-03</b><br>Normal: 7.2 °C<br>Period: 1991-2020","1091174","BURNS+LAKE+DECKER+LAKE",1991,2026
"04-03","TMIN",2001-04-03,-8.45925925925926,-23.3,-0.5,6.15993626710657,-16.32,-10.7,-4.35,-1.38,-0.4,"NA (ECCC AES NA; station_id 574)",NA,574,"",4,2026-04-03,"DATE: Apr-03<br>Value: -0.4 °C<br>Anomaly: +8.1 °C<br>Weather station: NA (ECCC AES NA; station_id 574)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-16.3 to -1.4 °C","Historical daily maximum<br>-0.5 °C<br>2026-04-03","DATE: Apr-03</b><br>Normal: -8.5 °C<br>Period: 1991-2020","1091174","BURNS+LAKE+DECKER+LAKE",1991,2026
"04-03","VPD",2001-04-03,0.704059008765725,0.259324050901391,1.26417460622734,0.263747879194392,0.401278249100296,0.482362812496908,0.861116570337169,1.07665298791946,0.516606631369891,"NA (ECCC AES NA; station_id 574)",NA,574,"",4,2019-04-03,"DATE: Apr-03<br>Value: 0.5 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 574)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.4 to 1.1 kPa","Historical daily maximum<br>1.3 kPa<br>2019-04-03","DATE: Apr-03</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","1091174","BURNS+LAKE+DECKER+LAKE",1991,2026
"04-04","TMAX",2001-04-04,6.82592592592593,-0.8,15.1,3.57809495860067,2.34,4.45,8.75,10.74,6.4,"NA (ECCC AES NA; station_id 574)",NA,574,"",4,2006-04-04,"DATE: Apr-04<br>Value: 6.4 °C<br>Anomaly: -0.4 °C<br>Weather station: NA (ECCC AES NA; station_id 574)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>2.3 to 10.7 °C","Historical daily maximum<br>15.1 °C<br>2006-04-04","DATE: Apr-04</b><br>Normal: 6.8 °C<br>Period: 1991-2020","1091174","BURNS+LAKE+DECKER+LAKE",1991,2026
"04-04","TMIN",2001-04-04,-7.02592592592593,-20.4,-0.4,5.04179398723179,-12.98,-9,-3.85,-1.82,-3.4,"NA (ECCC AES NA; station_id 574)",NA,574,"",4,2016-04-04,"DATE: Apr-04<br>Value: -3.4 °C<br>Anomaly: +3.6 °C<br>Weather station: NA (ECCC AES NA; station_id 574)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>-13.0 to -1.8 °C","Historical daily maximum<br>-0.4 °C<br>2016-04-04","DATE: Apr-04</b><br>Normal: -7.0 °C<br>Period: 1991-2020","1091174","BURNS+LAKE+DECKER+LAKE",1991,2026
