"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,7.895,6,11.7,1.54425079773843,6.1,6.775,8.925,9.81,NA,NA,NA,NA,NA,4,2014-04-01,"","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>6.1 to 9.8 °C","Historical daily maximum<br>11.7 °C<br>2014-04-01","DATE: Apr-01</b><br>Normal: 7.9 °C<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-01","TMIN",2001-04-01,3.7,-0.1,7.1,2.18305159941635,0.81,1.875,5.45,6.08,NA,NA,NA,NA,NA,4,1994-04-01,"","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>0.8 to 6.1 °C","Historical daily maximum<br>7.1 °C<br>1994-04-01","DATE: Apr-01</b><br>Normal: 3.7 °C<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-01","VPD",2001-04-01,0.272867703486268,0.116822531282819,0.557295511364395,0.109806818681061,0.160340351798869,0.189016099062453,0.324405718066,0.37845494752884,NA,NA,NA,NA,NA,4,2007-04-01,"","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.4 kPa","Historical daily maximum<br>0.6 kPa<br>2007-04-01","DATE: Apr-01</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-02","TMAX",2001-04-02,8.37619047619048,4.5,13.6,2.25342068018929,6.3,6.9,9,12.2,NA,NA,NA,NA,NA,4,2019-04-02,"","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>6.3 to 12.2 °C","Historical daily maximum<br>13.6 °C<br>2019-04-02","DATE: Apr-02</b><br>Normal: 8.4 °C<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-02","TMIN",2001-04-02,3.97391304347826,0.9,7.5,2.19155764267924,1.34,2.05,5.7,7.22,NA,NA,NA,NA,NA,4,2016-04-02,"","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>1.3 to 7.2 °C","Historical daily maximum<br>7.5 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 4.0 °C<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-02","VPD",2001-04-02,0.287185295813229,0.0796623369213798,0.535608126700466,0.128638526340562,0.159154418096215,0.17430245503177,0.374121950117643,0.445485791468602,NA,NA,NA,NA,NA,4,2003-04-02,"","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.4 kPa","Historical daily maximum<br>0.5 kPa<br>2003-04-02","DATE: Apr-02</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-03","TMAX",2001-04-03,8.62380952380952,4.3,12,1.8624996005113,6.6,7.6,9.6,10.9,NA,NA,NA,NA,NA,4,2025-04-03,"","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>6.6 to 10.9 °C","Historical daily maximum<br>12.0 °C<br>2025-04-03","DATE: Apr-03</b><br>Normal: 8.6 °C<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-03","TMIN",2001-04-03,3.72727272727273,0.6,7.7,2.02041528455858,1.24,2.425,5.2,5.98,NA,NA,NA,NA,NA,4,2016-04-03,"","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>1.2 to 6.0 °C","Historical daily maximum<br>7.7 °C<br>2016-04-03","DATE: Apr-03</b><br>Normal: 3.7 °C<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-03","VPD",2001-04-03,0.333857097279297,0.0970146207557783,0.701130194311797,0.158725255470182,0.176391386324622,0.228011029137107,0.431339487345246,0.583985606513634,NA,NA,NA,NA,NA,4,2009-04-03,"","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.6 kPa","Historical daily maximum<br>0.7 kPa<br>2009-04-03","DATE: Apr-03</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-04","TMAX",2001-04-04,8.75217391304348,5.1,11.1,1.63007795831906,6.5,7.8,10.1,10.56,NA,NA,NA,NA,NA,4,2004-04-04,"","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>6.5 to 10.6 °C","Historical daily maximum<br>11.1 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: 8.8 °C<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-04","TMIN",2001-04-04,4.32608695652174,0.6,7.5,1.70005812502352,2.14,3.25,5.25,6.46,NA,NA,NA,NA,NA,4,1996-04-04,"","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>2.1 to 6.5 °C","Historical daily maximum<br>7.5 °C<br>1996-04-04","DATE: Apr-04</b><br>Normal: 4.3 °C<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-04","VPD",2001-04-04,0.308037969830822,0.0974596673818648,0.565662488761265,0.146226248832272,0.118388721219412,0.157838403961487,0.424934781128198,0.466530499061556,NA,NA,NA,NA,NA,4,2008-04-04,"","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.5 kPa","Historical daily maximum<br>0.6 kPa<br>2008-04-04","DATE: Apr-04</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-05","TMAX",2001-04-05,8.68095238095238,5.6,12,1.47126443837233,7.4,7.9,9.5,9.8,NA,NA,NA,NA,NA,4,2012-04-05,"","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>7.4 to 9.8 °C","Historical daily maximum<br>12.0 °C<br>2012-04-05","DATE: Apr-05</b><br>Normal: 8.7 °C<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-05","TMIN",2001-04-05,4.82272727272727,1.9,7,1.41654570402855,2.65,4,5.75,6.09,NA,NA,NA,NA,NA,4,2016-04-05,"","DATE: Apr-05<br><b>Minimum temperature</b><br>10-90 percentile<br>2.7 to 6.1 °C","Historical daily maximum<br>7.0 °C<br>2016-04-05","DATE: Apr-05</b><br>Normal: 4.8 °C<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-05","VPD",2001-04-05,0.266789595372308,0.124446370086563,0.639402703345641,0.13070535516694,0.14066224785903,0.159776639950656,0.311328925313949,0.419317265992099,NA,NA,NA,NA,NA,4,2012-04-05,"","DATE: Apr-05<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.4 kPa","Historical daily maximum<br>0.6 kPa<br>2012-04-05","DATE: Apr-05</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
"04-06","TMAX",2001-04-06,9.55,5.7,13.7,2.11631980660049,7.22,8.225,10.725,12.4,NA,NA,NA,NA,NA,4,1994-04-06,"","DATE: Apr-06<br><b>Maximum temperature</b><br>10-90 percentile<br>7.2 to 12.4 °C","Historical daily maximum<br>13.7 °C<br>1994-04-06","DATE: Apr-06</b><br>Normal: 9.6 °C<br>Period: 1991-2020","1051351","CAPE+ST+JAMES+CS",1993,2026
