"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,NA,NA,NA,157.4,2010-08-20,NA,4,"Daily record reached in NA","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-02",2001-04-02,NA,NA,NA,NA,NA,157.4,2010-08-20,NA,4,"Daily record reached in NA","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-03",2001-04-03,NA,NA,NA,NA,NA,157.4,2010-08-20,NA,4,"Daily record reached in NA","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-04",2001-04-04,NA,NA,NA,NA,NA,157.4,2010-08-20,NA,4,"Daily record reached in NA","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-05",2001-04-05,NA,NA,NA,NA,NA,157.4,2010-08-20,NA,4,"Daily record reached in NA","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-06",2001-04-06,NA,NA,NA,NA,NA,157.4,2010-08-20,NA,4,"Daily record reached in NA","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-07",2001-04-07,NA,NA,NA,NA,NA,157.4,2010-08-20,NA,4,"Daily record reached in NA","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-08",2001-04-08,NA,NA,NA,NA,NA,157.4,2010-08-20,NA,4,"Daily record reached in NA","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-09",2001-04-09,NA,NA,NA,NA,NA,157.4,2010-08-20,NA,4,"Daily record reached in NA","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-10",2001-04-10,12.8,NA,12.8,2016-04-10,NA,157.4,2010-08-20,NA,4,"Daily record reached in 2016","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-11",2001-04-11,14.4,NA,14.4,2016-04-11,NA,157.4,2010-08-20,NA,4,"Daily record reached in 2016","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-12",2001-04-12,15.5,NA,15.5,2016-04-12,NA,157.4,2010-08-20,NA,4,"Daily record reached in 2016","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-13",2001-04-13,17.1,NA,17.1,2016-04-13,NA,157.4,2010-08-20,NA,4,"Daily record reached in 2016","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-14",2001-04-14,19.1,NA,19.1,2016-04-14,NA,157.4,2010-08-20,NA,4,"Daily record reached in 2016","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-15",2001-04-15,20.8,NA,20.8,2016-04-15,NA,157.4,2010-08-20,NA,4,"Daily record reached in 2016","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-16",2001-04-16,22.2,NA,22.2,2016-04-16,NA,157.4,2010-08-20,NA,4,"Daily record reached in 2016","119BLM0","DEASE+LAKE+AUT",1994,2026
"BUI","04-17",2001-04-17,24.4,NA,24.4,2016-04-17,NA,157.4,2010-08-20,NA,4,"Daily record reached in 2016","119BLM0","DEASE+LAKE+AUT",1994,2026
