"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,10.2909090909091,4.5,14.3,2.44947206963325,7.14,8.825,11.825,12.87,10.1,"NA (ECCC AES NA; station_id 8040)",NA,8040,"",4,2019-04-01,"DATE: Apr-01<br>Value: 10.1 °C<br>Anomaly: -0.2 °C<br>Weather station: NA (ECCC AES NA; station_id 8040)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>7.1 to 12.9 °C","Historical daily maximum<br>14.3 °C<br>2019-04-01","DATE: Apr-01</b><br>Normal: 10.3 °C<br>Period: 1991-2020","1032731","ESTEVAN+POINT+CS",1994,2026
"04-01","TMIN",2001-04-01,3.20384615384615,-0.1,8.8,2.49839640877596,0.4,1.15,4.6,6.4,4.9,"NA (ECCC AES NA; station_id 8040)",NA,8040,"",4,2000-04-01,"DATE: Apr-01<br>Value: 4.9 °C<br>Anomaly: +1.7 °C<br>Weather station: NA (ECCC AES NA; station_id 8040)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>0.4 to 6.4 °C","Historical daily maximum<br>8.8 °C<br>2000-04-01","DATE: Apr-01</b><br>Normal: 3.2 °C<br>Period: 1991-2020","1032731","ESTEVAN+POINT+CS",1994,2026
"04-01","VPD",2001-04-01,0.484938448356565,0.182568561716632,0.846414870181575,0.199364482600594,0.224170935216212,0.30789680242206,0.620853450669375,0.747790056071151,0.369974976265307,"NA (ECCC AES NA; station_id 8040)",NA,8040,"",4,1998-04-01,"DATE: Apr-01<br>Value: 0.4 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 8040)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>0.8 kPa<br>1998-04-01","DATE: Apr-01</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","1032731","ESTEVAN+POINT+CS",1994,2026
"04-02","TMAX",2001-04-02,10.0954545454545,7.4,15.2,1.93624016434583,7.71,8.6,11.125,12,12.5,"NA (ECCC AES NA; station_id 8040)",NA,8040,"",4,2019-04-02,"DATE: Apr-02<br>Value: 12.5 °C<br>Anomaly: +2.4 °C<br>Weather station: NA (ECCC AES NA; station_id 8040)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>7.7 to 12.0 °C","Historical daily maximum<br>15.2 °C<br>2019-04-02","DATE: Apr-02</b><br>Normal: 10.1 °C<br>Period: 1991-2020","1032731","ESTEVAN+POINT+CS",1994,2026
"04-02","TMIN",2001-04-02,3.62307692307692,-0.6,8.7,2.57345024312617,0.75,2.05,6.1,7,2.7,"NA (ECCC AES NA; station_id 8040)",NA,8040,"",4,2016-04-02,"DATE: Apr-02<br>Value: 2.7 °C<br>Anomaly: -0.9 °C<br>Weather station: NA (ECCC AES NA; station_id 8040)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>0.8 to 7.0 °C","Historical daily maximum<br>8.7 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 3.6 °C<br>Period: 1991-2020","1032731","ESTEVAN+POINT+CS",1994,2026
"04-02","VPD",2001-04-02,0.429008427267113,0.169503700544532,0.704744087399439,0.185687239639777,0.184559081370524,0.253333664780491,0.568913959660154,0.693155493209902,0.70769788317038,"NA (ECCC AES NA; station_id 8040)",NA,8040,"",4,2026-04-02,"DATE: Apr-02<br>Value: 0.7 kPa<br>Anomaly: +0.3 kPa<br>Weather station: NA (ECCC AES NA; station_id 8040)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>0.7 kPa<br>2026-04-02","DATE: Apr-02</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","1032731","ESTEVAN+POINT+CS",1994,2026
"04-03","TMAX",2001-04-03,10.6590909090909,8.2,15,1.81912042872349,8.61,8.95,11.875,12.68,9.6,"NA (ECCC AES NA; station_id 8040)",NA,8040,"",4,1998-04-03,"DATE: Apr-03<br>Value: 9.6 °C<br>Anomaly: -1.1 °C<br>Weather station: NA (ECCC AES NA; station_id 8040)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>8.6 to 12.7 °C","Historical daily maximum<br>15.0 °C<br>1998-04-03","DATE: Apr-03</b><br>Normal: 10.7 °C<br>Period: 1991-2020","1032731","ESTEVAN+POINT+CS",1994,2026
"04-03","TMIN",2001-04-03,3.86538461538462,-1,8.3,2.25440764861944,1.15,2.625,5.275,6.85,6.7,"NA (ECCC AES NA; station_id 8040)",NA,8040,"",4,2016-04-03,"DATE: Apr-03<br>Value: 6.7 °C<br>Anomaly: +2.8 °C<br>Weather station: NA (ECCC AES NA; station_id 8040)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>1.1 to 6.8 °C","Historical daily maximum<br>8.3 °C<br>2016-04-03","DATE: Apr-03</b><br>Normal: 3.9 °C<br>Period: 1991-2020","1032731","ESTEVAN+POINT+CS",1994,2026
"04-03","VPD",2001-04-03,0.458534568044575,0.198724576580598,0.974052321898141,0.181505150967607,0.273727830261237,0.365241487293091,0.533523600487974,0.658780345121679,0.214026895896708,"NA (ECCC AES NA; station_id 8040)",NA,8040,"",4,1998-04-03,"DATE: Apr-03<br>Value: 0.2 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 8040)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 0.7 kPa","Historical daily maximum<br>1.0 kPa<br>1998-04-03","DATE: Apr-03</b><br>Normal: 0.5 kPa<br>Period: 1991-2020","1032731","ESTEVAN+POINT+CS",1994,2026
"04-04","TMAX",2001-04-04,10.4681818181818,6.1,13.8,1.89168263814605,8.24,9.425,11.65,12.8,11.6,"NA (ECCC AES NA; station_id 8040)",NA,8040,"",4,1998-04-04,"DATE: Apr-04<br>Value: 11.6 °C<br>Anomaly: +1.1 °C<br>Weather station: NA (ECCC AES NA; station_id 8040)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>8.2 to 12.8 °C","Historical daily maximum<br>13.8 °C<br>1998-04-04","DATE: Apr-04</b><br>Normal: 10.5 °C<br>Period: 1991-2020","1032731","ESTEVAN+POINT+CS",1994,2026
