"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"1022795","FANNY+ISLAND","04-01","BUI",2000,2026,1.16666666666667,0.635085296108588,1.9,2012-04-01,NA,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-02","BUI",2000,2026,1.23333333333333,0.665832811847939,2.8,2026-04-02,2.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-03","BUI",2000,2026,0.533333333333333,0.321455025366432,2.7,2026-04-03,2.7,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-04","BUI",2000,2026,1.03333333333333,0.55075705472861,2.2,2026-04-04,2.2,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-05","BUI",2000,2026,1.4,0.556776436283002,3.3,2026-04-05,3.3,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-06","BUI",2000,2026,1.43333333333333,0.850490054811538,4.1,2026-04-06,4.1,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-07","BUI",2000,2026,1.76666666666667,1.36503968196288,5.2,2026-04-07,5.2,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-08","BUI",2000,2026,2.6,2.02977831301844,5.8,2026-04-08,5.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-09","BUI",2000,2026,3.4,2.28691932520585,6.6,2026-04-09,6.6,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-10","BUI",2000,2026,4.1,2.1,8.2,2026-04-10,8.2,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-11","BUI",2000,2026,6.55,6.47276344899662,16,2004-04-11,8.7,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-12","BUI",2000,2026,5.85,7.11688133946323,16.4,2004-04-12,9.2,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-13","BUI",2000,2026,5.975,7.83597473196539,17.6,2004-04-13,10.1,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-14","BUI",2000,2026,6.175,8.0875933791621,18.1,2004-04-14,9.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-15","BUI",2000,2026,4,2.93598365118064,7.4,2004-04-15,6.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-16","BUI",2000,2026,3.25,3.19843711834389,7.8,2004-04-16,7.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-17","BUI",2000,2026,2.525,2.07263921928862,9.6,2021-04-17,8.9,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-18","BUI",2000,2026,2.475,1.67207455974108,10.8,2021-04-18,10.6,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-19","BUI",2000,2026,2.325,1.76328292303495,13.2,2021-04-19,11.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-20","BUI",2000,2026,2.375,2.4971650592889,13.5,2021-04-20,12.6,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-21","BUI",2000,2026,2.95,2.68017412369669,13.8,2021-04-21,12.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-22","BUI",2000,2026,3.45,3.1838132273528,14.4,2021-04-22,13.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-23","BUI",2000,2026,2.375,1.89626826512847,15.4,2021-04-23,14.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-24","BUI",2000,2026,1.95,1.33041346956501,16.3,2026-04-24,16.3,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-25","BUI",2000,2026,2.35,2.05669638012031,16.9,2026-04-25,16.9,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-26","BUI",2000,2026,3.3,2.28910462845192,18.9,2026-04-26,18.9,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-27","BUI",2000,2026,2.55,0.574456264653803,19.6,2026-04-27,19.6,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-28","BUI",2000,2026,2,1.04243305140746,20.6,2026-04-28,20.6,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-29","BUI",2000,2026,5.76,5.64207408671669,21.4,2026-04-29,21.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","04-30","BUI",2000,2026,4.1,2.76676706645138,22,2026-04-30,22,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-01","BUI",2000,2026,3.94,3.56973388363895,22.8,2026-05-01,22.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-02","BUI",2000,2026,4.93333333333333,4.07218205224996,23.4,2026-05-02,23.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-03","BUI",2000,2026,5.5,3.95727178748188,24.5,2026-05-03,24.5,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-04","BUI",2000,2026,3.71666666666667,2.53883175233545,27.7,2026-05-04,27.7,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-05","BUI",2000,2026,4.35,2.93308711087823,31.3,2026-05-05,31.3,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-06","BUI",2000,2026,5.31666666666667,3.26828191358497,29.7,2026-05-06,29.7,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-07","BUI",2000,2026,6.18333333333333,3.77275319450752,30.7,2026-05-07,30.7,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-08","BUI",2000,2026,7.63333333333333,3.83284054803571,33,2026-05-08,33,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-09","BUI",2000,2026,8.68333333333333,4.22677970406155,34.6,2026-05-09,34.6,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-10","BUI",2000,2026,8.55714285714286,4.96684243856435,35.4,2026-05-10,35.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-11","BUI",2000,2026,8.31428571428571,5.09785202198879,36.4,2026-05-11,36.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-12","BUI",2000,2026,9.98571428571429,5.50255351978472,38,2026-05-12,38,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-13","BUI",2000,2026,11.4,6.06272765895572,39.2,2026-05-13,39.2,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-14","BUI",2000,2026,11.6,7.49510951665596,40.4,2026-05-14,40.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-15","BUI",2000,2026,11.1,8.22400667036973,35.5,2026-05-15,35.5,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-16","BUI",2000,2026,11.9375,8.73186897028842,28.4,2016-05-16,18.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-17","BUI",2000,2026,12.5375,9.1531317825415,29.9,2016-05-17,19.5,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-18","BUI",2000,2026,12.0875,9.93456268359537,31,2016-05-18,21.7,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-19","BUI",2000,2026,11.59,9.59935761739642,32.2,2016-05-19,22.6,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-20","BUI",2000,2026,11.67,9.55813208157791,34.3,2016-05-20,23.9,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-21","BUI",2000,2026,11.09,9.84789317570007,35.7,2016-05-21,25.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-22","BUI",2000,2026,10.84,10.7631263529185,37.3,2016-05-22,26.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-23","BUI",2000,2026,10.9090909090909,10.7641492506797,38.3,2016-05-23,27.5,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-24","BUI",2000,2026,11.2272727272727,11.365921951966,39.5,2016-05-24,28.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-25","BUI",2000,2026,10.4818181818182,11.8164138537729,40.9,2016-05-25,14.3,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-26","BUI",2000,2026,10.3833333333333,11.772451149213,42.2,2016-05-26,7.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-27","BUI",2000,2026,10.4083333333333,11.8873086129959,43.4,2016-05-27,9.7,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-28","BUI",2000,2026,8.73571428571428,8.34631260293634,29,2016-05-28,10.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-29","BUI",2000,2026,9.37857142857143,8.74362876362234,30.2,2016-05-29,12,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-30","BUI",2000,2026,9.73571428571429,9.14940999719126,31.4,2016-05-30,13.9,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","05-31","BUI",2000,2026,9.87857142857143,9.92124205712389,33.3,2016-05-31,15.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-01","BUI",2000,2026,9.51428571428571,9.26671937160546,32.8,2023-06-01,16.9,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-02","BUI",2000,2026,7.84285714285714,6.10998102549166,35,2023-06-02,21.1,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-03","BUI",2000,2026,8.73333333333333,5.79207175698776,36.1,2023-06-03,23.2,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-04","BUI",2000,2026,9.94375,5.62648128644063,36,2023-06-04,25,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-05","BUI",2000,2026,10.15,6.22757309605168,37.5,2023-06-05,25.3,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-06","BUI",2000,2026,10.2375,7.33220067010353,38.8,2023-06-06,13.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-07","BUI",2000,2026,10.76875,8.13229928535999,40,2023-06-07,15.3,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-08","BUI",2000,2026,10.55625,7.45975591647162,41.6,2023-06-08,13.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-09","BUI",2000,2026,10.69375,8.2017452411057,42.8,2023-06-09,14.3,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-10","BUI",2000,2026,10.31875,7.90022942704831,42.6,2023-06-10,13.9,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-11","BUI",2000,2026,10.96875,7.76408129358093,43.9,2023-06-11,15.1,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-12","BUI",2000,2026,10.98125,8.11346360481556,45.4,2023-06-12,16.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-13","BUI",2000,2026,10.75625,8.86333035602307,46.5,2023-06-13,17.3,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-14","BUI",2000,2026,11.56875,9.18750736961156,47.7,2023-06-14,20.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-15","BUI",2000,2026,12.25,8.90385684221544,49.1,2023-06-15,23.2,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-16","BUI",2000,2026,13.15,9.22055674385591,50.3,2023-06-16,24.2,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-17","BUI",2000,2026,12.775,8.70674068370784,51.8,2023-06-17,26,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-18","BUI",2000,2026,12.69375,9.84523361835564,52.9,2023-06-18,27.2,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-19","BUI",2000,2026,12.6,8.42986753553499,54.1,2023-06-19,28.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-20","BUI",2000,2026,12.8875,8.1373111857255,55.8,2023-06-20,29.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-21","BUI",2000,2026,13.475,8.36759622990179,56.7,2023-06-21,30.7,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-22","BUI",2000,2026,13.7125,8.36690902703422,57.5,2023-06-22,31.9,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-23","BUI",2000,2026,14.34375,9.69845133685442,58.4,2023-06-23,34,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-24","BUI",2000,2026,11.8,8.13183046224321,59.3,2023-06-24,35.5,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-25","BUI",2000,2026,11.725,8.00687204843439,60.3,2023-06-25,36.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-26","BUI",2000,2026,12.2117647058824,8.42747607182462,61.3,2023-06-26,16.7,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-27","BUI",2000,2026,11.8529411764706,8.78301753720346,62.4,2023-06-27,8.3,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-28","BUI",2000,2026,11.9277777777778,9.20535685192279,63.2,2023-06-28,9.2,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-29","BUI",2000,2026,11.5388888888889,9.78625319690774,64,2023-06-29,9.9,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","06-30","BUI",2000,2026,10.9722222222222,9.10273427283418,65.4,2023-06-30,10.8,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","07-01","BUI",2000,2026,11.7888888888889,9.34690190188164,66.2,2023-07-01,11.9,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","07-02","BUI",2000,2026,11.9894736842105,8.27915016685771,67.8,2023-07-02,5.2,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","07-03","BUI",2000,2026,12.4526315789474,8.79427644810044,69,2023-07-03,5.6,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","07-04","BUI",2000,2026,13.2631578947368,9.27812304571684,70.4,2023-07-04,3,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","07-05","BUI",2000,2026,13.6526315789474,9.39446458890983,71.4,2023-07-05,4.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","07-06","BUI",2000,2026,14.0894736842105,10.3406906462255,72.2,2023-07-06,5.4,88.3,2023-07-23,NA
"1022795","FANNY+ISLAND","07-07","BUI",2000,2026,13.6631578947368,10.8939438081856,72.8,2023-07-07,3,88.3,2023-07-23,NA
