"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,8.875,4.5,16.2,2.66811090276879,6.44,7.3,10.025,11.4,8.1,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2013-04-01,"DATE: Apr-01<br>Value: 8.1 °C<br>Anomaly: -0.8 °C<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>6.4 to 11.4 °C","Historical daily maximum<br>16.2 °C<br>2013-04-01","DATE: Apr-01</b><br>Normal: 8.9 °C<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-01","TMIN",2001-04-01,4.02,0.8,8.1,2.0666779852548,1.86,2.55,5.425,6.75,5.8,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2000-04-01,"DATE: Apr-01<br>Value: 5.8 °C<br>Anomaly: +1.8 °C<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>1.9 to 6.8 °C","Historical daily maximum<br>8.1 °C<br>2000-04-01","DATE: Apr-01</b><br>Normal: 4.0 °C<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-01","VPD",2001-04-01,0.332745819405492,0.155014227300426,0.906535727024059,0.189965598521774,0.194687470104503,0.231676344960191,0.351721459425441,0.620068654441094,0.15785686928533,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2013-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.6 kPa","Historical daily maximum<br>0.9 kPa<br>2013-04-01","DATE: Apr-01</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-02","TMAX",2001-04-02,9.195,6.1,16.3,2.78633413192618,7.02,7.5,10.65,12.33,12.1,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2004-04-02,"DATE: Apr-02<br>Value: 12.1 °C<br>Anomaly: +2.9 °C<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>7.0 to 12.3 °C","Historical daily maximum<br>16.3 °C<br>2004-04-02","DATE: Apr-02</b><br>Normal: 9.2 °C<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-02","TMIN",2001-04-02,4.6,2,8.4,1.77051880591686,2.49,3.375,5.475,7.14,6.4,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2016-04-02,"DATE: Apr-02<br>Value: 6.4 °C<br>Anomaly: +1.8 °C<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>2.5 to 7.1 °C","Historical daily maximum<br>8.4 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 4.6 °C<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-02","VPD",2001-04-02,0.327754142894663,0.0882195676665329,1.07387298831634,0.241825962595626,0.138074259035699,0.192472341736222,0.349759218630092,0.594673213295371,0.450515794238574,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2004-04-02,"DATE: Apr-02<br>Value: 0.5 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.6 kPa","Historical daily maximum<br>1.1 kPa<br>2004-04-02","DATE: Apr-02</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-03","TMAX",2001-04-03,9.45,6.7,13.3,1.91407528862538,7.25,7.95,10.95,11.77,9.8,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2025-04-03,"DATE: Apr-03<br>Value: 9.8 °C<br>Anomaly: +0.4 °C<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>7.2 to 11.8 °C","Historical daily maximum<br>13.3 °C<br>2025-04-03","DATE: Apr-03</b><br>Normal: 9.4 °C<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-03","TMIN",2001-04-03,4.52,1.9,8.7,1.78372761668544,2.75,3.275,5.475,6.78,7.7,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2016-04-03,"DATE: Apr-03<br>Value: 7.7 °C<br>Anomaly: +3.2 °C<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>2.8 to 6.8 °C","Historical daily maximum<br>8.7 °C<br>2016-04-03","DATE: Apr-03</b><br>Normal: 4.5 °C<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-03","VPD",2001-04-03,0.342570125525429,0.135997069874285,0.588395897392993,0.123951670169614,0.215879201043455,0.24947582139853,0.419027959610515,0.495645698171872,0.160556169376217,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2025-04-03,"DATE: Apr-03<br>Value: 0.2 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.5 kPa","Historical daily maximum<br>0.6 kPa<br>2025-04-03","DATE: Apr-03</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-04","TMAX",2001-04-04,9.25,7.1,15.3,1.97763814475221,7.38,7.7,9.825,10.62,13.9,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2025-04-04,"DATE: Apr-04<br>Value: 13.9 °C<br>Anomaly: +4.6 °C<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>7.4 to 10.6 °C","Historical daily maximum<br>15.3 °C<br>2025-04-04","DATE: Apr-04</b><br>Normal: 9.2 °C<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-04","TMIN",2001-04-04,4.68,1.7,8.7,1.99304052299892,2.39,3.25,6.3,7.1,8,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2016-04-04,"DATE: Apr-04<br>Value: 8.0 °C<br>Anomaly: +3.3 °C<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>2.4 to 7.1 °C","Historical daily maximum<br>8.7 °C<br>2016-04-04","DATE: Apr-04</b><br>Normal: 4.7 °C<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-04","VPD",2001-04-04,0.31664158711031,0.12266460891265,0.913783305475067,0.180693135429962,0.163550110114163,0.20753348360429,0.366533429280839,0.469222990980546,0.515491518739023,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2025-04-04,"DATE: Apr-04<br>Value: 0.5 kPa<br>Anomaly: +0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-04<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.5 kPa","Historical daily maximum<br>0.9 kPa<br>2025-04-04","DATE: Apr-04</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-05","TMAX",2001-04-05,9.17,5.4,13.3,2.03550071429482,7.45,7.9,10.275,12.27,17,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2026-04-05,"DATE: Apr-05<br>Value: 17.0 °C<br>Anomaly: +7.8 °C<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-05<br><b>Maximum temperature</b><br>10-90 percentile<br>7.4 to 12.3 °C","Historical daily maximum<br>13.3 °C<br>2026-04-05","DATE: Apr-05</b><br>Normal: 9.2 °C<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-05","TMIN",2001-04-05,5.29,2.9,8,1.52967144735139,3.08,4.15,6.5,6.91,5.2,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2013-04-05,"DATE: Apr-05<br>Value: 5.2 °C<br>Anomaly: -0.1 °C<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-05<br><b>Minimum temperature</b><br>10-90 percentile<br>3.1 to 6.9 °C","Historical daily maximum<br>8.0 °C<br>2013-04-05","DATE: Apr-05</b><br>Normal: 5.3 °C<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-05","VPD",2001-04-05,0.27628485293848,0.125387246053989,0.663220931077965,0.140513239646094,0.156981387651675,0.173801952453877,0.303995855774089,0.484850380022051,1.05316492878853,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2026-04-05,"DATE: Apr-05<br>Value: 1.1 kPa<br>Anomaly: +0.8 kPa<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-05<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.5 kPa","Historical daily maximum<br>0.7 kPa<br>2026-04-05","DATE: Apr-05</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-06","TMAX",2001-04-06,10.065,7.1,15.3,2.17963661867608,8.02,8.2,11.35,11.88,10.5,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2007-04-06,"DATE: Apr-06<br>Value: 10.5 °C<br>Anomaly: +0.4 °C<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-06<br><b>Maximum temperature</b><br>10-90 percentile<br>8.0 to 11.9 °C","Historical daily maximum<br>15.3 °C<br>2007-04-06","DATE: Apr-06</b><br>Normal: 10.1 °C<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-06","TMIN",2001-04-06,4.795,2.2,7.9,1.7267172992644,2.89,3.475,6.175,7.25,7.1,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2016-04-06,"DATE: Apr-06<br>Value: 7.1 °C<br>Anomaly: +2.3 °C<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-06<br><b>Minimum temperature</b><br>10-90 percentile<br>2.9 to 7.2 °C","Historical daily maximum<br>7.9 °C<br>2016-04-06","DATE: Apr-06</b><br>Normal: 4.8 °C<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-06","VPD",2001-04-06,0.379422132535688,0.142518101957847,0.844328473428681,0.169833593695876,0.224055887313859,0.290264538089284,0.430828674708552,0.572367052483301,0.260958243169804,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2004-04-06,"DATE: Apr-06<br>Value: 0.3 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-06<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.6 kPa","Historical daily maximum<br>0.8 kPa<br>2004-04-06","DATE: Apr-06</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-07","TMAX",2001-04-07,11.05,7.9,19.8,3.14115298978944,8.18,9.1,12.85,15.38,9,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2016-04-07,"DATE: Apr-07<br>Value: 9.0 °C<br>Anomaly: -2.1 °C<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-07<br><b>Maximum temperature</b><br>10-90 percentile<br>8.2 to 15.4 °C","Historical daily maximum<br>19.8 °C<br>2016-04-07","DATE: Apr-07</b><br>Normal: 11.0 °C<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-07","TMIN",2001-04-07,5.395,2.1,8.6,1.91571753768934,2.46,4.3,7.275,7.54,6.3,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2007-04-07,"DATE: Apr-07<br>Value: 6.3 °C<br>Anomaly: +0.9 °C<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-07<br><b>Minimum temperature</b><br>10-90 percentile<br>2.5 to 7.5 °C","Historical daily maximum<br>8.6 °C<br>2007-04-07","DATE: Apr-07</b><br>Normal: 5.4 °C<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
"04-07","VPD",2001-04-07,0.439497813518816,0.139332912723867,1.24400391958331,0.257599926714552,0.232036133139328,0.271580786649876,0.488876466318301,0.720965587321572,0.193350597378696,"NA (ECCC AES NA; station_id 29733)",NA,29733,"",4,2016-04-07,"DATE: Apr-07<br>Value: 0.2 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 29733)","DATE: Apr-07<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.7 kPa","Historical daily maximum<br>1.2 kPa<br>2016-04-07","DATE: Apr-07</b><br>Normal: 0.4 kPa<br>Period: 1991-2020","1022795","FANNY+ISLAND",2000,2026
