"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,2.6,3.88100788742077,10.1,2012-04-01,0.6,93.1,2018-08-24,NA,4,"Daily record reached in 2012","1063461","HERBERT+ISLAND+AUT",1994,2026
"BUI","04-02",2001-04-02,3.11,3.85902981474763,10.4,2012-04-02,0.5,93.1,2018-08-24,NA,4,"Daily record reached in 2012","1063461","HERBERT+ISLAND+AUT",1994,2026
"BUI","04-03",2001-04-03,3.5,3.93728614939557,10.8,2012-04-03,0.5,93.1,2018-08-24,NA,4,"Daily record reached in 2012","1063461","HERBERT+ISLAND+AUT",1994,2026
"BUI","04-04",2001-04-04,3.45,3.81058467371551,11.3,2012-04-04,0.4,93.1,2018-08-24,NA,4,"Daily record reached in 2012","1063461","HERBERT+ISLAND+AUT",1994,2026
"BUI","04-05",2001-04-05,2.77,3.35858766613455,11.7,2012-04-05,0.9,93.1,2018-08-24,NA,4,"Daily record reached in 2012","1063461","HERBERT+ISLAND+AUT",1994,2026
"BUI","04-06",2001-04-06,2.86,3.58087512581306,12.2,2012-04-06,1.6,93.1,2018-08-24,NA,4,"Daily record reached in 2012","1063461","HERBERT+ISLAND+AUT",1994,2026
"BUI","04-07",2001-04-07,3.28,3.72403604231275,12.8,2012-04-07,2.1,93.1,2018-08-24,NA,4,"Daily record reached in 2012","1063461","HERBERT+ISLAND+AUT",1994,2026
"BUI","04-08",2001-04-08,3.79,3.89228581798522,13.6,2012-04-08,2.8,93.1,2018-08-24,NA,4,"Daily record reached in 2012","1063461","HERBERT+ISLAND+AUT",1994,2026
"BUI","04-09",2001-04-09,3.5,3.98385631155431,13.9,2012-04-09,3.7,93.1,2018-08-24,NA,4,"Daily record reached in 2012","1063461","HERBERT+ISLAND+AUT",1994,2026
"BUI","04-10",2001-04-10,3.34,4.19528836249005,14.3,2012-04-10,4.1,93.1,2018-08-24,NA,4,"Daily record reached in 2012","1063461","HERBERT+ISLAND+AUT",1994,2026
"BUI","04-11",2001-04-11,3.44,4.27218393278608,14.6,2012-04-11,4.5,93.1,2018-08-24,NA,4,"Daily record reached in 2012","1063461","HERBERT+ISLAND+AUT",1994,2026
"BUI","04-12",2001-04-12,3.65,4.55759439470722,15.2,2012-04-12,5.3,93.1,2018-08-24,NA,4,"Daily record reached in 2012","1063461","HERBERT+ISLAND+AUT",1994,2026
