"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,1.80769230769231,0,16,0,0,2.4,4.6,8.6,8.6,"NA (ECCC AES NA; station_id 8259)",NA,8259,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 8.6 mm<br>Weather station: NA (ECCC AES NA; station_id 8259)",475.744680851064,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 8.6 mm<br>Anomaly: +6.8 mm<br>Percent of normal: <b>476%</b><br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>1.8 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 2.4 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 4.6 mm","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-02",2001-04-02,3.28461538461538,0,16.6,0,0,5.5,9.7,0.2,8.8,"NA (ECCC AES NA; station_id 8259)",NA,8259,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.2 mm<br>Weather station: NA (ECCC AES NA; station_id 8259)",267.91569086651,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 8.8 mm<br>Anomaly: +5.5 mm<br>Percent of normal: <b>268%</b><br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>3.3 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 5.5 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 9.7 mm","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-03",2001-04-03,4.32307692307692,0,20.2,0,0,6.35,14.3,8.2,17,"NA (ECCC AES NA; station_id 8259)",NA,8259,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 8.2 mm<br>Weather station: NA (ECCC AES NA; station_id 8259)",393.238434163701,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 17.0 mm<br>Anomaly: +12.7 mm<br>Percent of normal: <b>393%</b><br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>4.3 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 6.4 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 14.3 mm","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-04",2001-04-04,5.03846153846154,0,24.4,0,0.05,6.7,15.7,0,17,"NA (ECCC AES NA; station_id 8259)",NA,8259,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8259)",337.404580152672,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 17.0 mm<br>Anomaly: +12.0 mm<br>Percent of normal: <b>337%</b><br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>5.0 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 6.7 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 15.7 mm","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-05",2001-04-05,8.45384615384615,0,59.6,0,0.4,12,16.6,0,17,"NA (ECCC AES NA; station_id 8259)",NA,8259,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8259)",201.091901728844,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 17.0 mm<br>Anomaly: +8.5 mm<br>Percent of normal: <b>201%</b><br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>8.5 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.4 to 12.0 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 16.6 mm","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-06",2001-04-06,10.8461538461538,0,59.6,0,1,15.25,19.8,0.8,17.8,"NA (ECCC AES NA; station_id 8259)",NA,8259,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.8 mm<br>Weather station: NA (ECCC AES NA; station_id 8259)",164.113475177305,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 17.8 mm<br>Anomaly: +7.0 mm<br>Percent of normal: <b>164%</b><br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>10.8 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>1.0 to 15.2 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 19.8 mm","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-07",2001-04-07,15.5538461538462,0,73.2,0,1.85,18.2,36.6,0,17.8,"NA (ECCC AES NA; station_id 8259)",NA,8259,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8259)",114.441147378833,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 17.8 mm<br>Anomaly: +2.2 mm<br>Percent of normal: <b>114%</b><br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>15.6 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>1.8 to 18.2 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 36.6 mm","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-08",2001-04-08,18.1538461538462,0,79.6,0,3.95,20.15,46.7,0,17.8,"NA (ECCC AES NA; station_id 8259)",NA,8259,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8259)",98.0508474576271,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 17.8 mm<br>Anomaly: -0.4 mm<br>Percent of normal: <b>98%</b><br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>18.2 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>4.0 to 20.1 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 46.7 mm","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-09",2001-04-09,20.0307692307692,0,84,0,6.9,22.1,47.5,0,17.8,"NA (ECCC AES NA; station_id 8259)",NA,8259,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8259)",88.863287250384,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 17.8 mm<br>Anomaly: -2.2 mm<br>Percent of normal: <b>89%</b><br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>20.0 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>6.9 to 22.1 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 47.5 mm","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-10",2001-04-10,22.7538461538462,0,85,0,10.4,32.55,49,0,17.8,"NA (ECCC AES NA; station_id 8259)",NA,8259,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8259)",78.2285327924273,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 17.8 mm<br>Anomaly: -5.0 mm<br>Percent of normal: <b>78%</b><br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>22.8 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>10.4 to 32.5 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 49.0 mm","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-11",2001-04-11,24.1153846153846,0,87,0,11.65,33.85,50.8,0,17.8,"NA (ECCC AES NA; station_id 8259)",NA,8259,"","DATE: Apr-11<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8259)",73.8118022328549,"DATE: Apr-11<br><b>Cumulative precipitation</b><br>Value: 17.8 mm<br>Anomaly: -6.3 mm<br>Percent of normal: <b>74%</b><br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-11<br><b>Normal cumulative precipitation</b><br>24.1 mm<br>Period: 1991-2020","DATE: Apr-11<br><b>25-75 percentile</b><br>11.6 to 33.8 mm","DATE: Apr-11<br><b>10-90 percentile</b><br>0.0 to 50.8 mm","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-12",2001-04-12,24.7769230769231,0,87,0,15,34.7,51.7,0,17.8,"NA (ECCC AES NA; station_id 8259)",NA,8259,"","DATE: Apr-12<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8259)",71.8410431542999,"DATE: Apr-12<br><b>Cumulative precipitation</b><br>Value: 17.8 mm<br>Anomaly: -7.0 mm<br>Percent of normal: <b>72%</b><br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-12<br><b>Normal cumulative precipitation</b><br>24.8 mm<br>Period: 1991-2020","DATE: Apr-12<br><b>25-75 percentile</b><br>15.0 to 34.7 mm","DATE: Apr-12<br><b>10-90 percentile</b><br>0.0 to 51.7 mm","1063461","HERBERT+ISLAND+AUT",1994,2026
