"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,8.47727272727273,4.3,14,2.4373935763203,5.83,6.85,10.05,11.66,9,"NA (ECCC AES NA; station_id 8259)",NA,8259,"",4,2019-04-01,"DATE: Apr-01<br>Value: 9.0 °C<br>Anomaly: +0.5 °C<br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>5.8 to 11.7 °C","Historical daily maximum<br>14.0 °C<br>2019-04-01","DATE: Apr-01</b><br>Normal: 8.5 °C<br>Period: 1991-2020","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-01","TMIN",2001-04-01,4.3695652173913,0.1,7.9,1.91725058413645,2.22,3.3,5.35,6.9,6.1,"NA (ECCC AES NA; station_id 8259)",NA,8259,"",4,2016-04-01,"DATE: Apr-01<br>Value: 6.1 °C<br>Anomaly: +1.7 °C<br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>2.2 to 6.9 °C","Historical daily maximum<br>7.9 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 4.4 °C<br>Period: 1991-2020","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-01","VPD",2001-04-01,0.274409273296667,0.116940088865198,0.720186006136724,0.131733585143908,0.18751162426393,0.195906456630715,0.287800205564209,0.446974941710164,0.206457356709083,"NA (ECCC AES NA; station_id 8259)",NA,8259,"",4,2019-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.4 kPa","Historical daily maximum<br>0.7 kPa<br>2019-04-01","DATE: Apr-01</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-02","TMAX",2001-04-02,8.69166666666667,6.3,13.4,1.99976447888607,6.96,7.4,9.15,12.06,10.6,"NA (ECCC AES NA; station_id 8259)",NA,8259,"",4,2004-04-02,"DATE: Apr-02<br>Value: 10.6 °C<br>Anomaly: +1.9 °C<br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>7.0 to 12.1 °C","Historical daily maximum<br>13.4 °C<br>2004-04-02","DATE: Apr-02</b><br>Normal: 8.7 °C<br>Period: 1991-2020","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-02","TMIN",2001-04-02,5.224,1,9.2,1.86843963420461,3.44,4.1,6.4,7.58,5.8,"NA (ECCC AES NA; station_id 8259)",NA,8259,"",4,2006-04-02,"DATE: Apr-02<br>Value: 5.8 °C<br>Anomaly: +0.6 °C<br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>3.4 to 7.6 °C","Historical daily maximum<br>9.2 °C<br>2006-04-02","DATE: Apr-02</b><br>Normal: 5.2 °C<br>Period: 1991-2020","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-02","VPD",2001-04-02,0.233487192945249,0.0503860126166125,0.521713101082017,0.103724436757644,0.155749905785013,0.174717420119381,0.246913978507877,0.352956164625712,0.355975649201364,"NA (ECCC AES NA; station_id 8259)",NA,8259,"",4,2024-04-02,"DATE: Apr-02<br>Value: 0.4 kPa<br>Anomaly: +0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.4 kPa","Historical daily maximum<br>0.5 kPa<br>2024-04-02","DATE: Apr-02</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-03","TMAX",2001-04-03,8.70833333333333,6.3,11.8,1.79707895030329,6.8,7.15,10.5,11.3,8.5,"NA (ECCC AES NA; station_id 8259)",NA,8259,"",4,2025-04-03,"DATE: Apr-03<br>Value: 8.5 °C<br>Anomaly: -0.2 °C<br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>6.8 to 11.3 °C","Historical daily maximum<br>11.8 °C<br>2025-04-03","DATE: Apr-03</b><br>Normal: 8.7 °C<br>Period: 1991-2020","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-03","TMIN",2001-04-03,5.088,2.6,8.6,1.7795879672928,3.24,3.8,6.3,7.9,6.9,"NA (ECCC AES NA; station_id 8259)",NA,8259,"",4,2016-04-03,"DATE: Apr-03<br>Value: 6.9 °C<br>Anomaly: +1.8 °C<br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>3.2 to 7.9 °C","Historical daily maximum<br>8.6 °C<br>2016-04-03","DATE: Apr-03</b><br>Normal: 5.1 °C<br>Period: 1991-2020","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-03","VPD",2001-04-03,0.245361534764204,0.0849533983073582,0.510282993728797,0.0970021480193015,0.185299780856826,0.19221734166083,0.26491147979832,0.325307340970273,0.114853080775956,"NA (ECCC AES NA; station_id 8259)",NA,8259,"",4,2025-04-03,"DATE: Apr-03<br>Value: 0.1 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.3 kPa","Historical daily maximum<br>0.5 kPa<br>2025-04-03","DATE: Apr-03</b><br>Normal: 0.2 kPa<br>Period: 1991-2020","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-04","TMAX",2001-04-04,9.16666666666667,7.2,12.4,1.39242255788613,7.63,8.225,9.775,11.25,10.4,"NA (ECCC AES NA; station_id 8259)",NA,8259,"",4,2025-04-04,"DATE: Apr-04<br>Value: 10.4 °C<br>Anomaly: +1.2 °C<br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>7.6 to 11.2 °C","Historical daily maximum<br>12.4 °C<br>2025-04-04","DATE: Apr-04</b><br>Normal: 9.2 °C<br>Period: 1991-2020","1063461","HERBERT+ISLAND+AUT",1994,2026
"04-04","TMIN",2001-04-04,5.536,2.7,8.2,1.5813707134424,3.72,4.2,6.6,7.5,6.6,"NA (ECCC AES NA; station_id 8259)",NA,8259,"",4,2019-04-04,"DATE: Apr-04<br>Value: 6.6 °C<br>Anomaly: +1.1 °C<br>Weather station: NA (ECCC AES NA; station_id 8259)","DATE: Apr-04<br><b>Minimum temperature</b><br>10-90 percentile<br>3.7 to 7.5 °C","Historical daily maximum<br>8.2 °C<br>2019-04-04","DATE: Apr-04</b><br>Normal: 5.5 °C<br>Period: 1991-2020","1063461","HERBERT+ISLAND+AUT",1994,2026
