"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,1.51851851851852,0,13,0,0,2.2,4.8,0,0,"NA (ECCC AES NA; station_id 6823)",NA,6823,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6823)",0,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 0.0 mm<br>Anomaly: -1.5 mm<br>Percent of normal: <b>0%</b><br>Weather station: NA (ECCC AES NA; station_id 6823)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>1.5 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 2.2 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 4.8 mm","1063496","HOLLAND+ROCK",1994,2026
"04-02",2001-04-02,3.7037037037037,0,24.2,0,0,5.1,8.08,0.6,0.6,"NA (ECCC AES NA; station_id 6823)",NA,6823,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.6 mm<br>Weather station: NA (ECCC AES NA; station_id 6823)",16.2,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 0.6 mm<br>Anomaly: -3.1 mm<br>Percent of normal: <b>16%</b><br>Weather station: NA (ECCC AES NA; station_id 6823)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>3.7 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 5.1 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 8.1 mm","1063496","HOLLAND+ROCK",1994,2026
"04-03",2001-04-03,4.81481481481481,0,27.8,0,0,7.8,11,7.6,8.2,"NA (ECCC AES NA; station_id 6823)",NA,6823,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 7.6 mm<br>Weather station: NA (ECCC AES NA; station_id 6823)",170.307692307692,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 8.2 mm<br>Anomaly: +3.4 mm<br>Percent of normal: <b>170%</b><br>Weather station: NA (ECCC AES NA; station_id 6823)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>4.8 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 7.8 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 11.0 mm","1063496","HOLLAND+ROCK",1994,2026
"04-04",2001-04-04,5.81481481481481,0,32.8,0,0,9.2,11.36,3,11.2,"NA (ECCC AES NA; station_id 6823)",NA,6823,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 3.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6823)",192.611464968153,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 11.2 mm<br>Anomaly: +5.4 mm<br>Percent of normal: <b>193%</b><br>Weather station: NA (ECCC AES NA; station_id 6823)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>5.8 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.0 to 9.2 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 11.4 mm","1063496","HOLLAND+ROCK",1994,2026
"04-05",2001-04-05,6.86666666666667,0,32.8,0,0,10.1,15.84,4.6,15.8,"NA (ECCC AES NA; station_id 6823)",NA,6823,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 4.6 mm<br>Weather station: NA (ECCC AES NA; station_id 6823)",230.097087378641,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 15.8 mm<br>Anomaly: +8.9 mm<br>Percent of normal: <b>230%</b><br>Weather station: NA (ECCC AES NA; station_id 6823)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>6.9 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.0 to 10.1 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 15.8 mm","1063496","HOLLAND+ROCK",1994,2026
"04-06",2001-04-06,8.19259259259259,0,33,0,0,12,22.32,9.6,25.4,"NA (ECCC AES NA; station_id 6823)",NA,6823,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 9.6 mm<br>Weather station: NA (ECCC AES NA; station_id 6823)",310.03616636528,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 25.4 mm<br>Anomaly: +17.2 mm<br>Percent of normal: <b>310%</b><br>Weather station: NA (ECCC AES NA; station_id 6823)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>8.2 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.0 to 12.0 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 22.3 mm","1063496","HOLLAND+ROCK",1994,2026
"04-07",2001-04-07,9.41481481481481,0,44.6,0,0,13.5,25.28,0,25.4,"NA (ECCC AES NA; station_id 6823)",NA,6823,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6823)",269.78756884343,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 25.4 mm<br>Anomaly: +16.0 mm<br>Percent of normal: <b>270%</b><br>Weather station: NA (ECCC AES NA; station_id 6823)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>9.4 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.0 to 13.5 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 25.3 mm","1063496","HOLLAND+ROCK",1994,2026
"04-08",2001-04-08,10.637037037037,0,44.6,0,0,17.9,26.84,0,25.4,"NA (ECCC AES NA; station_id 6823)",NA,6823,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6823)",238.788300835655,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 25.4 mm<br>Anomaly: +14.8 mm<br>Percent of normal: <b>239%</b><br>Weather station: NA (ECCC AES NA; station_id 6823)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>10.6 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>0.0 to 17.9 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 26.8 mm","1063496","HOLLAND+ROCK",1994,2026
"04-09",2001-04-09,12.4,0,44.6,0,0,21.7,28.76,0,25.4,"NA (ECCC AES NA; station_id 6823)",NA,6823,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6823)",204.838709677419,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 25.4 mm<br>Anomaly: +13.0 mm<br>Percent of normal: <b>205%</b><br>Weather station: NA (ECCC AES NA; station_id 6823)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>12.4 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>0.0 to 21.7 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 28.8 mm","1063496","HOLLAND+ROCK",1994,2026
"04-10",2001-04-10,13.2740740740741,0,44.6,0,0,22.7,31.8,0,25.4,"NA (ECCC AES NA; station_id 6823)",NA,6823,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 6823)",191.350446428571,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 25.4 mm<br>Anomaly: +12.1 mm<br>Percent of normal: <b>191%</b><br>Weather station: NA (ECCC AES NA; station_id 6823)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>13.3 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>0.0 to 22.7 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 31.8 mm","1063496","HOLLAND+ROCK",1994,2026
