"AES","NAME","MD","variable","por_start","por_end","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record"
"1054222","KINDAKUN+ROCKS+AUT","04-01","BUI",1994,2026,1.52142857142857,1.3098317986136,5.5,2024-04-01,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-02","BUI",1994,2026,1.90769230769231,1.59606888868742,5,2013-04-02,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-03","BUI",1994,2026,1.9,1.71733245739745,6,2013-04-03,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-04","BUI",1994,2026,2.04285714285714,1.92182376752048,6.7,2013-04-04,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-05","BUI",1994,2026,1.75333333333333,2.17579760963543,7.2,2013-04-05,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-06","BUI",1994,2026,2.12666666666667,2.29112158019562,7.7,2013-04-06,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-07","BUI",1994,2026,2.27333333333333,2.08479758067323,8.3,2013-04-07,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-08","BUI",1994,2026,2.08666666666667,2.27089241950216,8.4,2013-04-08,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-09","BUI",1994,2026,1.9,1.91431851702254,6.6,2013-04-09,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-10","BUI",1994,2026,1.46666666666667,1.28155411605634,4.2,2013-04-10,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-11","BUI",1994,2026,1.58666666666667,1.49038186222125,4.7,2013-04-11,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-12","BUI",1994,2026,1.7,1.48804761828569,5,2012-04-12,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-13","BUI",1994,2026,1.78666666666667,1.77315967642377,6,2012-04-13,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-14","BUI",1994,2026,1.98666666666667,2.06081352406092,6.9,2012-04-14,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-15","BUI",1994,2026,2.24666666666667,2.30151089090458,7.4,2012-04-15,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-16","BUI",1994,2026,2.32666666666667,1.97826282619975,6.3,2001-04-16,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-17","BUI",1994,2026,1.84,1.80031743232766,5.9,2004-04-17,NA,47.7,2023-09-04,NA
"1054222","KINDAKUN+ROCKS+AUT","04-18","BUI",1994,2026,1.7,1.65313554884563,5.9,2004-04-18,NA,47.7,2023-09-04,NA
