"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,0.971428571428571,0.836090676330994,2.7,2016-04-01,NA,66.9,2001-09-22,NA,4,"Daily record reached in 2016","1054503","LANGARA+ISLAND+RCS",1994,2026
"BUI","04-02",2001-04-02,1.01428571428571,0.552052447473883,2.1,2025-04-02,NA,66.9,2001-09-22,NA,4,"Daily record reached in 2025","1054503","LANGARA+ISLAND+RCS",1994,2026
"BUI","04-03",2001-04-03,1.05714285714286,1.02446269308541,2.7,2001-04-03,NA,66.9,2001-09-22,NA,4,"Daily record reached in 2001","1054503","LANGARA+ISLAND+RCS",1994,2026
"BUI","04-04",2001-04-04,1.52857142857143,1.11760798988179,3.2,2001-04-04,NA,66.9,2001-09-22,NA,4,"Daily record reached in 2001","1054503","LANGARA+ISLAND+RCS",1994,2026
"BUI","04-05",2001-04-05,1.64285714285714,1.0580755216542,3.3,2010-04-05,NA,66.9,2001-09-22,NA,4,"Daily record reached in 2010","1054503","LANGARA+ISLAND+RCS",1994,2026
"BUI","04-06",2001-04-06,2.04285714285714,1.13850361272614,3.6,2010-04-06,NA,66.9,2001-09-22,NA,4,"Daily record reached in 2010","1054503","LANGARA+ISLAND+RCS",1994,2026
"BUI","04-07",2001-04-07,2.34285714285714,1.28043891284349,4,2010-04-07,NA,66.9,2001-09-22,NA,4,"Daily record reached in 2010","1054503","LANGARA+ISLAND+RCS",1994,2026
"BUI","04-08",2001-04-08,2.35714285714286,1.14725344897737,4.3,2001-04-08,NA,66.9,2001-09-22,NA,4,"Daily record reached in 2001","1054503","LANGARA+ISLAND+RCS",1994,2026
"BUI","04-09",2001-04-09,2.73333333333333,1.86297253513482,5.2,2001-04-09,NA,66.9,2001-09-22,NA,4,"Daily record reached in 2001","1054503","LANGARA+ISLAND+RCS",1994,2026
"BUI","04-10",2001-04-10,2.9,2.27156333832011,6.2,2001-04-10,NA,66.9,2001-09-22,NA,4,"Daily record reached in 2001","1054503","LANGARA+ISLAND+RCS",1994,2026
"BUI","04-11",2001-04-11,2.82857142857143,2.44793401716242,6.7,2001-04-11,NA,66.9,2001-09-22,NA,4,"Daily record reached in 2001","1054503","LANGARA+ISLAND+RCS",1994,2026
"BUI","04-12",2001-04-12,2.6,2.84839135887843,7.6,2001-04-12,NA,66.9,2001-09-22,NA,4,"Daily record reached in 2001","1054503","LANGARA+ISLAND+RCS",1994,2026
"BUI","04-13",2001-04-13,3.31666666666667,3.20338362777028,8.3,2001-04-13,NA,66.9,2001-09-22,NA,4,"Daily record reached in 2001","1054503","LANGARA+ISLAND+RCS",1994,2026
