"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,7.17272727272727,0.7,10.8,2.2284271237551,4.91,6,8.5,9.37,8.2,"NA (ECCC AES NA; station_id 6819)",NA,6819,"",4,2016-04-01,"DATE: Apr-01<br>Value: 8.2 °C<br>Anomaly: +1.0 °C<br>Weather station: NA (ECCC AES NA; station_id 6819)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>4.9 to 9.4 °C","Historical daily maximum<br>10.8 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 7.2 °C<br>Period: 1991-2020","1054503","LANGARA+ISLAND+RCS",1994,2026
"04-01","TMIN",2001-04-01,2.41666666666667,-1.4,7.2,2.1390096584262,0.2,0.6,3.525,4.9,4.8,"NA (ECCC AES NA; station_id 6819)",NA,6819,"",4,2016-04-01,"DATE: Apr-01<br>Value: 4.8 °C<br>Anomaly: +2.4 °C<br>Weather station: NA (ECCC AES NA; station_id 6819)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>0.2 to 4.9 °C","Historical daily maximum<br>7.2 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 2.4 °C<br>Period: 1991-2020","1054503","LANGARA+ISLAND+RCS",1994,2026
"04-01","VPD",2001-04-01,0.28146208245021,0.0913276805322305,0.406742007715855,0.0861287543081838,0.191203035191584,0.219275763062959,0.354201439197402,0.36838276947543,0.227262043684931,"NA (ECCC AES NA; station_id 6819)",NA,6819,"",4,2010-04-01,"DATE: Apr-01<br>Value: 0.2 kPa<br>Anomaly: -0.1 kPa<br>Weather station: NA (ECCC AES NA; station_id 6819)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.4 kPa","Historical daily maximum<br>0.4 kPa<br>2010-04-01","DATE: Apr-01</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","1054503","LANGARA+ISLAND+RCS",1994,2026
"04-02","TMAX",2001-04-02,7.21818181818182,3.7,11.2,1.92047522978692,4.52,6.25,8.4,9.27,7.4,"NA (ECCC AES NA; station_id 6819)",NA,6819,"",4,2006-04-02,"DATE: Apr-02<br>Value: 7.4 °C<br>Anomaly: +0.2 °C<br>Weather station: NA (ECCC AES NA; station_id 6819)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>4.5 to 9.3 °C","Historical daily maximum<br>11.2 °C<br>2006-04-02","DATE: Apr-02</b><br>Normal: 7.2 °C<br>Period: 1991-2020","1054503","LANGARA+ISLAND+RCS",1994,2026
"04-02","TMIN",2001-04-02,2.6304347826087,-2.2,7.2,2.02202301547208,0.38,1.65,3.45,4.6,2.9,"NA (ECCC AES NA; station_id 6819)",NA,6819,"",4,2016-04-02,"DATE: Apr-02<br>Value: 2.9 °C<br>Anomaly: +0.3 °C<br>Weather station: NA (ECCC AES NA; station_id 6819)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>0.4 to 4.6 °C","Historical daily maximum<br>7.2 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 2.6 °C<br>Period: 1991-2020","1054503","LANGARA+ISLAND+RCS",1994,2026
"04-02","VPD",2001-04-02,0.275984107482173,0.100642861546808,0.482015879672961,0.111327020261665,0.118740276861196,0.192365536473315,0.361051930369477,0.403266695395339,0.277305931431961,"NA (ECCC AES NA; station_id 6819)",NA,6819,"",4,2006-04-02,"DATE: Apr-02<br>Value: 0.3 kPa<br>Anomaly: +0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 6819)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.1 to 0.4 kPa","Historical daily maximum<br>0.5 kPa<br>2006-04-02","DATE: Apr-02</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","1054503","LANGARA+ISLAND+RCS",1994,2026
"04-03","TMAX",2001-04-03,7.48260869565217,4.3,10.2,1.74737521960876,5.34,6.05,8.9,9.66,7.8,"NA (ECCC AES NA; station_id 6819)",NA,6819,"",4,1995-04-03,"DATE: Apr-03<br>Value: 7.8 °C<br>Anomaly: +0.3 °C<br>Weather station: NA (ECCC AES NA; station_id 6819)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>5.3 to 9.7 °C","Historical daily maximum<br>10.2 °C<br>1995-04-03","DATE: Apr-03</b><br>Normal: 7.5 °C<br>Period: 1991-2020","1054503","LANGARA+ISLAND+RCS",1994,2026
"04-03","TMIN",2001-04-03,2.40416666666667,-0.1,7.1,1.67863276836076,0.52,1.375,2.975,4.46,3.4,"NA (ECCC AES NA; station_id 6819)",NA,6819,"",4,2016-04-03,"DATE: Apr-03<br>Value: 3.4 °C<br>Anomaly: +1.0 °C<br>Weather station: NA (ECCC AES NA; station_id 6819)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>0.5 to 4.5 °C","Historical daily maximum<br>7.1 °C<br>2016-04-03","DATE: Apr-03</b><br>Normal: 2.4 °C<br>Period: 1991-2020","1054503","LANGARA+ISLAND+RCS",1994,2026
"04-03","VPD",2001-04-03,0.311854965592814,0.131569049725247,0.506633542741845,0.110432089027379,0.194198559003677,0.225909493231617,0.425701574720363,0.447992502629318,0.278693753826302,"NA (ECCC AES NA; station_id 6819)",NA,6819,"",4,2017-04-03,"DATE: Apr-03<br>Value: 0.3 kPa<br>Anomaly: 0.0 kPa<br>Weather station: NA (ECCC AES NA; station_id 6819)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 0.4 kPa","Historical daily maximum<br>0.5 kPa<br>2017-04-03","DATE: Apr-03</b><br>Normal: 0.3 kPa<br>Period: 1991-2020","1054503","LANGARA+ISLAND+RCS",1994,2026
"04-04","TMAX",2001-04-04,7.81818181818182,4,11.2,1.72616733825365,5.66,6.975,9.05,9.39,8.6,"NA (ECCC AES NA; station_id 6819)",NA,6819,"",4,2025-04-04,"DATE: Apr-04<br>Value: 8.6 °C<br>Anomaly: +0.8 °C<br>Weather station: NA (ECCC AES NA; station_id 6819)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>5.7 to 9.4 °C","Historical daily maximum<br>11.2 °C<br>2025-04-04","DATE: Apr-04</b><br>Normal: 7.8 °C<br>Period: 1991-2020","1054503","LANGARA+ISLAND+RCS",1994,2026
