"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,7.63333333333333,6.46090808890928,14.3,2013-04-01,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2013","1145297","NAKUSP+CS",1994,2026
"BUI","04-02",2001-04-02,8.53333333333333,6.82959247198055,15.7,2013-04-02,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2013","1145297","NAKUSP+CS",1994,2026
"BUI","04-03",2001-04-03,9.5,6.96347614342147,16.7,2013-04-03,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2013","1145297","NAKUSP+CS",1994,2026
"BUI","04-04",2001-04-04,7.2,6.88282887578453,17.3,2013-04-04,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2013","1145297","NAKUSP+CS",1994,2026
"BUI","04-05",2001-04-05,5.05,2.87576076890968,12.2,2021-04-05,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2021","1145297","NAKUSP+CS",1994,2026
"BUI","04-06",2001-04-06,3.75,0.859651092013498,13.7,2021-04-06,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2021","1145297","NAKUSP+CS",1994,2026
"BUI","04-07",2001-04-07,3.88571428571429,2.25198325291921,14.7,2021-04-07,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2021","1145297","NAKUSP+CS",1994,2026
"BUI","04-08",2001-04-08,4.37142857142857,3.05271151913305,11.3,2021-04-08,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2021","1145297","NAKUSP+CS",1994,2026
"BUI","04-09",2001-04-09,7.3875,6.32284689496297,20.7,2009-04-09,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","04-10",2001-04-10,8.375,6.8309693936617,22.2,2009-04-10,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","04-11",2001-04-11,9.2625,6.81446727820409,22.9,2009-04-11,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","04-12",2001-04-12,9.0875,5.40038027761538,18.7,2009-04-12,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","04-13",2001-04-13,9.91,5.21375318002514,16.3,2004-04-13,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2004","1145297","NAKUSP+CS",1994,2026
"BUI","04-14",2001-04-14,8.83,5.00001111109877,15.3,2016-04-14,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2016","1145297","NAKUSP+CS",1994,2026
"BUI","04-15",2001-04-15,10.5727272727273,5.46865447968527,17.2,2016-04-15,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2016","1145297","NAKUSP+CS",1994,2026
"BUI","04-16",2001-04-16,11.9818181818182,5.67958065033294,19.8,2010-04-16,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2010","1145297","NAKUSP+CS",1994,2026
"BUI","04-17",2001-04-17,12.3727272727273,5.74388212084665,21.6,2010-04-17,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2010","1145297","NAKUSP+CS",1994,2026
"BUI","04-18",2001-04-18,11.4428571428571,5.29988596186665,23,2016-04-18,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2016","1145297","NAKUSP+CS",1994,2026
"BUI","04-19",2001-04-19,11.4714285714286,6.74188156473896,25.4,2016-04-19,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2016","1145297","NAKUSP+CS",1994,2026
"BUI","04-20",2001-04-20,12.4333333333333,7.98638722780088,28,2016-04-20,NA,260.4,2017-08-12,NA,4,"Daily record reached in 2016","1145297","NAKUSP+CS",1994,2026
"BUI","04-21",2001-04-21,13.5,9.06379102210039,30.3,2016-04-21,9.1,260.4,2017-08-12,NA,4,"Daily record reached in 2016","1145297","NAKUSP+CS",1994,2026
"BUI","04-22",2001-04-22,13.76875,9.0500621544827,30.7,2016-04-22,10.8,260.4,2017-08-12,NA,4,"Daily record reached in 2016","1145297","NAKUSP+CS",1994,2026
"BUI","04-23",2001-04-23,13.7722222222222,8.08890347804473,30.9,2021-04-23,12.7,260.4,2017-08-12,NA,4,"Daily record reached in 2021","1145297","NAKUSP+CS",1994,2026
"BUI","04-24",2001-04-24,13.2578947368421,6.61927453136954,33,2021-04-24,14.6,260.4,2017-08-12,NA,4,"Daily record reached in 2021","1145297","NAKUSP+CS",1994,2026
"BUI","04-25",2001-04-25,13.25,7.18992350446095,27.9,2009-04-25,16.3,260.4,2017-08-12,NA,4,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","04-26",2001-04-26,14.2045454545455,7.70098801779463,29.9,2009-04-26,18.2,260.4,2017-08-12,NA,4,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","04-27",2001-04-27,14.6909090909091,8.33346147087632,30.1,2009-04-27,20.5,260.4,2017-08-12,NA,4,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","04-28",2001-04-28,15.8272727272727,8.64474416808281,33,2009-04-28,22.5,260.4,2017-08-12,NA,4,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","04-29",2001-04-29,16.6590909090909,8.80755406784475,35.7,2009-04-29,24.8,260.4,2017-08-12,NA,4,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","04-30",2001-04-30,17.5954545454545,9.55896374502947,37.9,2009-04-30,27.2,260.4,2017-08-12,NA,4,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","05-01",2001-05-01,18.6090909090909,10.4006368436383,40.4,2009-05-01,29.5,260.4,2017-08-12,NA,5,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","05-02",2001-05-02,19.7304347826087,10.5525281237423,43.3,2009-05-02,32,260.4,2017-08-12,NA,5,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","05-03",2001-05-03,18.7130434782609,11.0646572615787,43.3,2009-05-03,34.9,260.4,2017-08-12,NA,5,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","05-04",2001-05-04,19.8782608695652,12.2777683981229,46.1,2009-05-04,37.8,260.4,2017-08-12,NA,5,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","05-05",2001-05-05,19.8260869565217,12.7170328654598,46.4,2009-05-05,41.9,260.4,2017-08-12,NA,5,"Daily record reached in 2009","1145297","NAKUSP+CS",1994,2026
"BUI","05-06",2001-05-06,19.9478260869565,12.5744643683219,47.1,1998-05-06,43.5,260.4,2017-08-12,NA,5,"Daily record reached in 1998","1145297","NAKUSP+CS",1994,2026
"BUI","05-07",2001-05-07,19.875,13.5362074837629,50.3,1998-05-07,25.1,260.4,2017-08-12,NA,5,"Daily record reached in 1998","1145297","NAKUSP+CS",1994,2026
"BUI","05-08",2001-05-08,21.7916666666667,13.7830682728663,53.4,1998-05-08,27.3,260.4,2017-08-12,NA,5,"Daily record reached in 1998","1145297","NAKUSP+CS",1994,2026
"BUI","05-09",2001-05-09,23.1875,14.5939330009008,55.7,1998-05-09,25.8,260.4,2017-08-12,NA,5,"Daily record reached in 1998","1145297","NAKUSP+CS",1994,2026
"BUI","05-10",2001-05-10,24.504,15.5954181305493,58.1,1998-05-10,28.1,260.4,2017-08-12,NA,5,"Daily record reached in 1998","1145297","NAKUSP+CS",1994,2026
"BUI","05-11",2001-05-11,25.78,15.3132295744562,60.9,1998-05-11,30.4,260.4,2017-08-12,NA,5,"Daily record reached in 1998","1145297","NAKUSP+CS",1994,2026
