"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,3.39259259259259,0,25.6,0,0,2.8,11.8,7.4,7.4,"NA (ECCC AES NA; station_id 8045)","",8045,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 7.4 mm<br>Weather station: NA (ECCC AES NA; station_id 8045)",218.122270742358,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 7.4 mm<br>Anomaly: +4.0 mm<br>Percent of normal: <b>218%</b><br>Weather station: NA (ECCC AES NA; station_id 8045)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>3.4 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 2.8 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 11.8 mm","1036B06","PORT+ALBERNI+AUT",1994,2026
"04-02",2001-04-02,6.57777777777778,0,53.6,0,0,3.2,24.84,0,7.4,"NA (ECCC AES NA; station_id 8045)","",8045,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8045)",112.5,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 7.4 mm<br>Anomaly: +0.8 mm<br>Percent of normal: <b>112%</b><br>Weather station: NA (ECCC AES NA; station_id 8045)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>6.6 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 3.2 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 24.8 mm","1036B06","PORT+ALBERNI+AUT",1994,2026
"04-03",2001-04-03,10.3407407407407,0,92.4,0,0.1,8.95,29.7600000000001,0.4,7.8,"NA (ECCC AES NA; station_id 8045)","",8045,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.4 mm<br>Weather station: NA (ECCC AES NA; station_id 8045)",75.4297994269341,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 7.8 mm<br>Anomaly: -2.5 mm<br>Percent of normal: <b>75%</b><br>Weather station: NA (ECCC AES NA; station_id 8045)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>10.3 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.1 to 8.9 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 29.8 mm","1036B06","PORT+ALBERNI+AUT",1994,2026
"04-04",2001-04-04,11.8666666666667,0,92.4,0,0.6,13.5,29.8400000000001,0,7.8,"NA (ECCC AES NA; station_id 8045)","",8045,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8045)",65.7303370786517,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 7.8 mm<br>Anomaly: -4.1 mm<br>Percent of normal: <b>66%</b><br>Weather station: NA (ECCC AES NA; station_id 8045)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>11.9 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.6 to 13.5 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 29.8 mm","1036B06","PORT+ALBERNI+AUT",1994,2026
"04-05",2001-04-05,18.8222222222222,0,101,0,1.2,21.8,56.24,0,7.8,"NA (ECCC AES NA; station_id 8045)","",8045,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8045)",41.4403778040142,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 7.8 mm<br>Anomaly: -11.0 mm<br>Percent of normal: <b>41%</b><br>Weather station: NA (ECCC AES NA; station_id 8045)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>18.8 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>1.2 to 21.8 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 56.2 mm","1036B06","PORT+ALBERNI+AUT",1994,2026
"04-06",2001-04-06,22.2962962962963,0,128,0.52,2,24.5,59.12,0,7.8,"NA (ECCC AES NA; station_id 8045)","",8045,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8045)",34.9833887043189,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 7.8 mm<br>Anomaly: -14.5 mm<br>Percent of normal: <b>35%</b><br>Weather station: NA (ECCC AES NA; station_id 8045)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>22.3 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>2.0 to 24.5 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.5 to 59.1 mm","1036B06","PORT+ALBERNI+AUT",1994,2026
"04-07",2001-04-07,28.9222222222222,0,139.8,0.52,2.6,38.35,88.44,0,7.8,"NA (ECCC AES NA; station_id 8045)","",8045,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8045)",26.9688820591625,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 7.8 mm<br>Anomaly: -21.1 mm<br>Percent of normal: <b>27%</b><br>Weather station: NA (ECCC AES NA; station_id 8045)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>28.9 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>2.6 to 38.4 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.5 to 88.4 mm","1036B06","PORT+ALBERNI+AUT",1994,2026
"04-08",2001-04-08,32.7333333333333,0,139.8,0.6,2.6,43.1,101.12,0,7.8,"NA (ECCC AES NA; station_id 8045)","",8045,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8045)",23.8289205702648,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 7.8 mm<br>Anomaly: -24.9 mm<br>Percent of normal: <b>24%</b><br>Weather station: NA (ECCC AES NA; station_id 8045)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>32.7 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>2.6 to 43.1 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.6 to 101.1 mm","1036B06","PORT+ALBERNI+AUT",1994,2026
"04-09",2001-04-09,33.9111111111111,0,141.6,1.08,4.9,44.35,101.2,0,7.8,"NA (ECCC AES NA; station_id 8045)","",8045,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8045)",23.0013106159895,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 7.8 mm<br>Anomaly: -26.1 mm<br>Percent of normal: <b>23%</b><br>Weather station: NA (ECCC AES NA; station_id 8045)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>33.9 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>4.9 to 44.4 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>1.1 to 101.2 mm","1036B06","PORT+ALBERNI+AUT",1994,2026
"04-10",2001-04-10,38.1074074074074,0,168.6,1.08,4.9,63.8,101.2,0,7.8,"NA (ECCC AES NA; station_id 8045)","",8045,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 8045)",20.4684614636991,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 7.8 mm<br>Anomaly: -30.3 mm<br>Percent of normal: <b>20%</b><br>Weather station: NA (ECCC AES NA; station_id 8045)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>38.1 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>4.9 to 63.8 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>1.1 to 101.2 mm","1036B06","PORT+ALBERNI+AUT",1994,2026
