"variable","MD","PLOT_DATE","clim_mean","clim_sd","clim_max","clim_max_date","value","rec_all_val","rec_all_date","value_record","MONTH","hover_histmax","AES","NAME","por_start","por_end"
"BUI","04-01",2001-04-01,NA,NA,24,2024-04-01,NA,279.5,2010-08-06,NA,4,"Daily record reached in 2024","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-02",2001-04-02,14.9,NA,25.6,2024-04-02,NA,279.5,2010-08-06,NA,4,"Daily record reached in 2024","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-03",2001-04-03,6.5,NA,16.2,2026-04-03,16.2,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-04",2001-04-04,4.1,NA,18,2026-04-04,18,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-05",2001-04-05,NA,NA,20,2026-04-05,20,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-06",2001-04-06,10.15,5.86898628384835,23.3,2026-04-06,23.3,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-07",2001-04-07,7.9,NA,24.9,2026-04-07,24.9,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-08",2001-04-08,10.05,0.353553390593274,27.2,2026-04-08,27.2,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-09",2001-04-09,11.85,1.06066017177982,29.8,2026-04-09,29.8,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-10",2001-04-10,13.6,2.12132034355964,33.2,2026-04-10,33.2,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-11",2001-04-11,15.25,2.89913780286485,35.5,2026-04-11,35.5,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-12",2001-04-12,14.8333333333333,3.54447927534262,38.1,2026-04-12,38.1,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-13",2001-04-13,14.4666666666667,5.07378885383826,40.4,2026-04-13,40.4,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-14",2001-04-14,12.25,4.45477272147525,42.4,2026-04-14,42.4,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-15",2001-04-15,11.35,8.1317279836453,42.7,2026-04-15,42.7,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-16",2001-04-16,11.9,5.95930644734212,44.5,2026-04-16,44.5,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-17",2001-04-17,11.8285714285714,5.09500221972941,46.4,2026-04-17,46.4,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-18",2001-04-18,13.0857142857143,5.85560374667679,49,2026-04-18,49,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-19",2001-04-19,15.2666666666667,6.4738448132981,52,2026-04-19,52,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-20",2001-04-20,18.95,10.825762922637,55.3,2026-04-20,55.3,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-21",2001-04-21,18.7,11.3332475486949,58.4,2026-04-21,58.4,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-22",2001-04-22,18.8555555555556,8.1540037881876,61.2,2026-04-22,61.2,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-23",2001-04-23,19.0909090909091,7.45941747664716,63.8,2026-04-23,63.8,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-24",2001-04-24,18.2083333333333,6.3481505299981,66.3,2026-04-24,66.3,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-25",2001-04-25,18.0615384615385,7.05638463397256,68.8,2026-04-25,68.8,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-26",2001-04-26,21.2285714285714,9.97662102281965,71.4,2026-04-26,71.4,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-27",2001-04-27,22.5642857142857,10.2546505129554,74.7,2026-04-27,74.7,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-28",2001-04-28,21.18125,8.50703385440542,77.3,2026-04-28,77.3,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-29",2001-04-29,22.5375,9.06244080440437,80.6,2026-04-29,80.6,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","04-30",2001-04-30,23.8588235294118,9.31484425685217,84.1,2026-04-30,84.1,279.5,2010-08-06,NA,4,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","05-01",2001-05-01,25.7176470588235,9.08475613969066,87,2026-05-01,87,279.5,2010-08-06,NA,5,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","05-02",2001-05-02,26.3,9.91036296598904,90.7,2026-05-02,90.7,279.5,2010-08-06,NA,5,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","05-03",2001-05-03,26.9388888888889,10.6461889833537,94.8,2026-05-03,94.8,279.5,2010-08-06,NA,5,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","05-04",2001-05-04,28.4611111111111,11.5361905675339,98.6,2026-05-04,98.6,279.5,2010-08-06,NA,5,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
"BUI","05-05",2001-05-05,30.7882352941176,12.9076470722272,103.3,2026-05-05,103.3,279.5,2010-08-06,NA,5,"Daily record reached in 2026","1086558","PUNTZI+MOUNTAIN+AUT",1994,2026
