"MD","PLOT_DATE","clim_mean","clim_min","clim_max","q10","q25","q75","q90","PRECIP","PRECIP_CUM","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","hover_bar","pct_normal","hover_value","hover_mean","hover_band25","hover_band10","AES","NAME","por_start","por_end"
"04-01",2001-04-01,1.62,0,11,0,0,1.3,6.66,11.6,11.6,"NA (ECCC AES NA; station_id 96)",NA,96,"","DATE: Apr-01<br><b>Daily precipitation</b><br>Value: 11.6 mm<br>Weather station: NA (ECCC AES NA; station_id 96)",716.049382716049,"DATE: Apr-01<br><b>Cumulative precipitation</b><br>Value: 11.6 mm<br>Anomaly: +10.0 mm<br>Percent of normal: <b>716%</b><br>Weather station: NA (ECCC AES NA; station_id 96)","DATE: Apr-01<br><b>Normal cumulative precipitation</b><br>1.6 mm<br>Period: 1991-2020","DATE: Apr-01<br><b>25-75 percentile</b><br>0.0 to 1.3 mm","DATE: Apr-01<br><b>10-90 percentile</b><br>0.0 to 6.7 mm","1017101","SATURNA+ISLAND+CS",1988,2026
"04-02",2001-04-02,2.44666666666667,0,11.2,0,0,3.8,8.96,0,11.6,"NA (ECCC AES NA; station_id 96)",NA,96,"","DATE: Apr-02<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 96)",474.114441416894,"DATE: Apr-02<br><b>Cumulative precipitation</b><br>Value: 11.6 mm<br>Anomaly: +9.2 mm<br>Percent of normal: <b>474%</b><br>Weather station: NA (ECCC AES NA; station_id 96)","DATE: Apr-02<br><b>Normal cumulative precipitation</b><br>2.4 mm<br>Period: 1991-2020","DATE: Apr-02<br><b>25-75 percentile</b><br>0.0 to 3.8 mm","DATE: Apr-02<br><b>10-90 percentile</b><br>0.0 to 9.0 mm","1017101","SATURNA+ISLAND+CS",1988,2026
"04-03",2001-04-03,4.54,0,36.4,0,0,6.95,11.68,0.4,12,"NA (ECCC AES NA; station_id 96)",NA,96,"","DATE: Apr-03<br><b>Daily precipitation</b><br>Value: 0.4 mm<br>Weather station: NA (ECCC AES NA; station_id 96)",264.31718061674,"DATE: Apr-03<br><b>Cumulative precipitation</b><br>Value: 12.0 mm<br>Anomaly: +7.5 mm<br>Percent of normal: <b>264%</b><br>Weather station: NA (ECCC AES NA; station_id 96)","DATE: Apr-03<br><b>Normal cumulative precipitation</b><br>4.5 mm<br>Period: 1991-2020","DATE: Apr-03<br><b>25-75 percentile</b><br>0.0 to 6.9 mm","DATE: Apr-03<br><b>10-90 percentile</b><br>0.0 to 11.7 mm","1017101","SATURNA+ISLAND+CS",1988,2026
"04-04",2001-04-04,6.66666666666667,0,44.4,0,0.2,8.35,12.12,0,12,"NA (ECCC AES NA; station_id 96)",NA,96,"","DATE: Apr-04<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 96)",180,"DATE: Apr-04<br><b>Cumulative precipitation</b><br>Value: 12.0 mm<br>Anomaly: +5.3 mm<br>Percent of normal: <b>180%</b><br>Weather station: NA (ECCC AES NA; station_id 96)","DATE: Apr-04<br><b>Normal cumulative precipitation</b><br>6.7 mm<br>Period: 1991-2020","DATE: Apr-04<br><b>25-75 percentile</b><br>0.2 to 8.4 mm","DATE: Apr-04<br><b>10-90 percentile</b><br>0.0 to 12.1 mm","1017101","SATURNA+ISLAND+CS",1988,2026
"04-05",2001-04-05,8.25333333333333,0,45.2,0,0.5,11.5,15.98,0,12,"NA (ECCC AES NA; station_id 96)",NA,96,"","DATE: Apr-05<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 96)",145.395799676898,"DATE: Apr-05<br><b>Cumulative precipitation</b><br>Value: 12.0 mm<br>Anomaly: +3.7 mm<br>Percent of normal: <b>145%</b><br>Weather station: NA (ECCC AES NA; station_id 96)","DATE: Apr-05<br><b>Normal cumulative precipitation</b><br>8.3 mm<br>Period: 1991-2020","DATE: Apr-05<br><b>25-75 percentile</b><br>0.5 to 11.5 mm","DATE: Apr-05<br><b>10-90 percentile</b><br>0.0 to 16.0 mm","1017101","SATURNA+ISLAND+CS",1988,2026
"04-06",2001-04-06,9.7,0,47,0,0.5,12.35,24.48,0,12,"NA (ECCC AES NA; station_id 96)",NA,96,"","DATE: Apr-06<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 96)",123.711340206186,"DATE: Apr-06<br><b>Cumulative precipitation</b><br>Value: 12.0 mm<br>Anomaly: +2.3 mm<br>Percent of normal: <b>124%</b><br>Weather station: NA (ECCC AES NA; station_id 96)","DATE: Apr-06<br><b>Normal cumulative precipitation</b><br>9.7 mm<br>Period: 1991-2020","DATE: Apr-06<br><b>25-75 percentile</b><br>0.5 to 12.4 mm","DATE: Apr-06<br><b>10-90 percentile</b><br>0.0 to 24.5 mm","1017101","SATURNA+ISLAND+CS",1988,2026
"04-07",2001-04-07,11.2533333333333,0,47.4,0,0.85,15.7,24.78,0,12,"NA (ECCC AES NA; station_id 96)",NA,96,"","DATE: Apr-07<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 96)",106.635071090047,"DATE: Apr-07<br><b>Cumulative precipitation</b><br>Value: 12.0 mm<br>Anomaly: +0.7 mm<br>Percent of normal: <b>107%</b><br>Weather station: NA (ECCC AES NA; station_id 96)","DATE: Apr-07<br><b>Normal cumulative precipitation</b><br>11.3 mm<br>Period: 1991-2020","DATE: Apr-07<br><b>25-75 percentile</b><br>0.8 to 15.7 mm","DATE: Apr-07<br><b>10-90 percentile</b><br>0.0 to 24.8 mm","1017101","SATURNA+ISLAND+CS",1988,2026
"04-08",2001-04-08,12.58,0,53.6,0,1.35,16.3,28.38,0,12,"NA (ECCC AES NA; station_id 96)",NA,96,"","DATE: Apr-08<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 96)",95.389507154213,"DATE: Apr-08<br><b>Cumulative precipitation</b><br>Value: 12.0 mm<br>Anomaly: -0.6 mm<br>Percent of normal: <b>95%</b><br>Weather station: NA (ECCC AES NA; station_id 96)","DATE: Apr-08<br><b>Normal cumulative precipitation</b><br>12.6 mm<br>Period: 1991-2020","DATE: Apr-08<br><b>25-75 percentile</b><br>1.4 to 16.3 mm","DATE: Apr-08<br><b>10-90 percentile</b><br>0.0 to 28.4 mm","1017101","SATURNA+ISLAND+CS",1988,2026
"04-09",2001-04-09,12.82,0,54.4,0,1.35,17,28.38,0,12,"NA (ECCC AES NA; station_id 96)",NA,96,"","DATE: Apr-09<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 96)",93.603744149766,"DATE: Apr-09<br><b>Cumulative precipitation</b><br>Value: 12.0 mm<br>Anomaly: -0.8 mm<br>Percent of normal: <b>94%</b><br>Weather station: NA (ECCC AES NA; station_id 96)","DATE: Apr-09<br><b>Normal cumulative precipitation</b><br>12.8 mm<br>Period: 1991-2020","DATE: Apr-09<br><b>25-75 percentile</b><br>1.4 to 17.0 mm","DATE: Apr-09<br><b>10-90 percentile</b><br>0.0 to 28.4 mm","1017101","SATURNA+ISLAND+CS",1988,2026
"04-10",2001-04-10,13.94,0,54.4,0,2.7,22.3,29.64,0,12,"NA (ECCC AES NA; station_id 96)",NA,96,"","DATE: Apr-10<br><b>Daily precipitation</b><br>Value: 0.0 mm<br>Weather station: NA (ECCC AES NA; station_id 96)",86.0832137733142,"DATE: Apr-10<br><b>Cumulative precipitation</b><br>Value: 12.0 mm<br>Anomaly: -1.9 mm<br>Percent of normal: <b>86%</b><br>Weather station: NA (ECCC AES NA; station_id 96)","DATE: Apr-10<br><b>Normal cumulative precipitation</b><br>13.9 mm<br>Period: 1991-2020","DATE: Apr-10<br><b>25-75 percentile</b><br>2.7 to 22.3 mm","DATE: Apr-10<br><b>10-90 percentile</b><br>0.0 to 29.6 mm","1017101","SATURNA+ISLAND+CS",1988,2026
