"MD","variable","PLOT_DATE","clim_mean","clim_min","clim_max","clim_sd","q10","q25","q75","q90","value","ECCC_SOURCE","ECCC_AES","ECCC_STATION_ID","ECCC_STATION_NAME","MONTH","clim_max_date","hover_value","hover_band","hover_histmax","hover_mean","AES","NAME","por_start","por_end"
"04-01","TMAX",2001-04-01,7.29259259259259,-8.6,17.9,5.68269477827377,1.94,4.75,9.8,14.48,3.5,"NA (ECCC AES NA; station_id 6842)",NA,6842,"",4,2016-04-01,"DATE: Apr-01<br>Value: 3.5 °C<br>Anomaly: -3.8 °C<br>Weather station: NA (ECCC AES NA; station_id 6842)","DATE: Apr-01<br><b>Maximum temperature</b><br>10-90 percentile<br>1.9 to 14.5 °C","Historical daily maximum<br>17.9 °C<br>2016-04-01","DATE: Apr-01</b><br>Normal: 7.3 °C<br>Period: 1991-2020","1157631","SPARWOOD+CS",1994,2026
"04-01","TMIN",2001-04-01,-3.9962962962963,-12.6,2.3,3.61039966693242,-8.82,-6,-1.65,-0.399999999999999,-6.7,"NA (ECCC AES NA; station_id 6842)",NA,6842,"",4,2005-04-01,"DATE: Apr-01<br>Value: -6.7 °C<br>Anomaly: -2.7 °C<br>Weather station: NA (ECCC AES NA; station_id 6842)","DATE: Apr-01<br><b>Minimum temperature</b><br>10-90 percentile<br>-8.8 to -0.4 °C","Historical daily maximum<br>2.3 °C<br>2005-04-01","DATE: Apr-01</b><br>Normal: -4.0 °C<br>Period: 1991-2020","1157631","SPARWOOD+CS",1994,2026
"04-01","VPD",2001-04-01,0.618636486212603,0.0871389643847901,1.58292182440542,0.389441663604531,0.28389695355549,0.336328908166298,0.729351938519967,1.19938858398839,0.415268659634547,"NA (ECCC AES NA; station_id 6842)",NA,6842,"",4,2016-04-01,"DATE: Apr-01<br>Value: 0.4 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 6842)","DATE: Apr-01<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.2 kPa","Historical daily maximum<br>1.6 kPa<br>2016-04-01","DATE: Apr-01</b><br>Normal: 0.6 kPa<br>Period: 1991-2020","1157631","SPARWOOD+CS",1994,2026
"04-02","TMAX",2001-04-02,7.3,-2.6,18,5.73424262318386,0.24,3.7,9.1,16.12,5.1,"NA (ECCC AES NA; station_id 6842)",NA,6842,"",4,2016-04-02,"DATE: Apr-02<br>Value: 5.1 °C<br>Anomaly: -2.2 °C<br>Weather station: NA (ECCC AES NA; station_id 6842)","DATE: Apr-02<br><b>Maximum temperature</b><br>10-90 percentile<br>0.2 to 16.1 °C","Historical daily maximum<br>18.0 °C<br>2016-04-02","DATE: Apr-02</b><br>Normal: 7.3 °C<br>Period: 1991-2020","1157631","SPARWOOD+CS",1994,2026
"04-02","TMIN",2001-04-02,-4.81851851851852,-14,0.8,3.75848138696766,-10,-6.45,-2.05,-0.92,0.4,"NA (ECCC AES NA; station_id 6842)",NA,6842,"",4,1996-04-02,"DATE: Apr-02<br>Value: 0.4 °C<br>Anomaly: +5.2 °C<br>Weather station: NA (ECCC AES NA; station_id 6842)","DATE: Apr-02<br><b>Minimum temperature</b><br>10-90 percentile<br>-10.0 to -0.9 °C","Historical daily maximum<br>0.8 °C<br>1996-04-02","DATE: Apr-02</b><br>Normal: -4.8 °C<br>Period: 1991-2020","1157631","SPARWOOD+CS",1994,2026
"04-02","VPD",2001-04-02,0.651208374700317,0.211859809184296,1.56700381820967,0.417090326312623,0.244952648032836,0.324680468996639,0.769241496909765,1.32679636572398,0.249607424814953,"NA (ECCC AES NA; station_id 6842)",NA,6842,"",4,2016-04-02,"DATE: Apr-02<br>Value: 0.2 kPa<br>Anomaly: -0.4 kPa<br>Weather station: NA (ECCC AES NA; station_id 6842)","DATE: Apr-02<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.2 to 1.3 kPa","Historical daily maximum<br>1.6 kPa<br>2016-04-02","DATE: Apr-02</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","1157631","SPARWOOD+CS",1994,2026
"04-03","TMAX",2001-04-03,8.00740740740741,-1.4,17.5,4.84902257604767,1.32,4.95,10.85,14.88,9.4,"NA (ECCC AES NA; station_id 6842)",NA,6842,"",4,2016-04-03,"DATE: Apr-03<br>Value: 9.4 °C<br>Anomaly: +1.4 °C<br>Weather station: NA (ECCC AES NA; station_id 6842)","DATE: Apr-03<br><b>Maximum temperature</b><br>10-90 percentile<br>1.3 to 14.9 °C","Historical daily maximum<br>17.5 °C<br>2016-04-03","DATE: Apr-03</b><br>Normal: 8.0 °C<br>Period: 1991-2020","1157631","SPARWOOD+CS",1994,2026
"04-03","TMIN",2001-04-03,-5.05925925925926,-14,3.6,3.94912446569921,-10.08,-6.6,-2.5,-1.52,1.1,"NA (ECCC AES NA; station_id 6842)",NA,6842,"",4,2024-04-03,"DATE: Apr-03<br>Value: 1.1 °C<br>Anomaly: +6.2 °C<br>Weather station: NA (ECCC AES NA; station_id 6842)","DATE: Apr-03<br><b>Minimum temperature</b><br>10-90 percentile<br>-10.1 to -1.5 °C","Historical daily maximum<br>3.6 °C<br>2024-04-03","DATE: Apr-03</b><br>Normal: -5.1 °C<br>Period: 1991-2020","1157631","SPARWOOD+CS",1994,2026
"04-03","VPD",2001-04-03,0.688849528165567,0.228444940524033,1.43619486390007,0.351838243969298,0.30897093668754,0.446899572626232,0.90106221852783,1.24080272969761,0.517991303848371,"NA (ECCC AES NA; station_id 6842)",NA,6842,"",4,2004-04-03,"DATE: Apr-03<br>Value: 0.5 kPa<br>Anomaly: -0.2 kPa<br>Weather station: NA (ECCC AES NA; station_id 6842)","DATE: Apr-03<br><b>Vapour pressure deficit</b><br>10-90 percentile<br>0.3 to 1.2 kPa","Historical daily maximum<br>1.4 kPa<br>2004-04-03","DATE: Apr-03</b><br>Normal: 0.7 kPa<br>Period: 1991-2020","1157631","SPARWOOD+CS",1994,2026
"04-04","TMAX",2001-04-04,7.8037037037037,0,16.5,4.37145297808419,2.84,4.6,11.1,13.54,12.6,"NA (ECCC AES NA; station_id 6842)",NA,6842,"",4,2004-04-04,"DATE: Apr-04<br>Value: 12.6 °C<br>Anomaly: +4.8 °C<br>Weather station: NA (ECCC AES NA; station_id 6842)","DATE: Apr-04<br><b>Maximum temperature</b><br>10-90 percentile<br>2.8 to 13.5 °C","Historical daily maximum<br>16.5 °C<br>2004-04-04","DATE: Apr-04</b><br>Normal: 7.8 °C<br>Period: 1991-2020","1157631","SPARWOOD+CS",1994,2026
